especie_original,cat_ameaca_cncflora_1,cat_ameaca_cncflora_0
Abarema acreana,DD,NA
Abarema cochliacarpos,LC,NA
Abarema filamentosa,LC,NA
Abarema obovata,LC,NA
Abarema turbinata,NT,NA
Abarema villifera,DD,NA
Abatia angeliana,VU,NA
Abatia microphylla,EN,NA
Abildgaardia papillosa,CR,NA
Abuta selloana,LC,NA
Abutilon anodoides,EN,CR
Abutilon costicalyx,LC,NA
Abutilon esculentum,EN,NA
Abutilon hirsutum,DD,NA
Abutilon macrophyllum,CR,NA
Abutilon monteiroi,DD,NA
Abutilon nigricans,CR,NA
Abutilon venosum,DD,NA
Acalypha ampliata,DD,NA
Acalypha aspericocca,DD,NA
Acalypha fragilis,CR*,NA
Acalypha juruana,DD,NA
Acalypha peckoltii,DD,NA
Acalypha pohliana,DD,NA
Acalypha radicans,DD,NA
Acalypha subsana,DD,NA
Acanthocladus brasiliensis,LC,NA
Acanthocladus pulcherrimus,NT,NT
Acanthocladus santosii,EN,NT
Acanthostachys pitcairnioides,DD,NA
Acanthosyris paulo-alvinii,CR,VU
Acca sellowiana,LC,NA
Accara elegans,EN,NA
Achatocarpus praecox,LC,NA
Achetaria caparaoense,CR,NA
Achetaria latifolia,CR,CR
Acianthera adiri,CR,NA
Acianthera aphthosa,LC,NA
Acianthera auriculata,LC,NA
Acianthera bidentata,VU,NA
Acianthera bragae,LC,NA
Acianthera crinita,LC,NA
Acianthera exdrasii,DD,NA
Acianthera glumacea,LC,NA
Acianthera heringeri,CR,NA
Acianthera karlii,LC,NA
Acianthera langeana,EN,NA
Acianthera ophiantha,DD,NA
Acianthera papillosa,VU,NA
Acianthera pavimentata,DD,NA
Acianthera pectinata,LC,NA
Acianthera pernambucensis,DD,NA
Acianthera saurocephala,LC,NA
Acianthera strupifolia,LC,NA
Acianthera subrotundifolia,VU,NA
Acianthera teres,LC,NA
Acianthera translucida,LC,NA
Acianthera tricarinata,LC,NA
Acicarpha tribuloides,LC,NA
Acioa edulis,LC,NA
Acioa longipendula,LC,NA
Acmanthera cowanii,VU,NA
Acmanthera duckei,DD,NA
Acmanthera fernandesii,CR,DD
Acmanthera latifolia,VU,NA
Acmanthera longifolia,CR,NA
Acmanthera parviflora,EN,NA
Acmella pusilla,EN,NA
Acmella serratifolia,LC,NA
Acosmium diffusissimum,LC,NA
Acritopappus catolesensis,EN,VU
Acritopappus connatifolius,EN,EN
Acritopappus harleyi,CR,NA
Acritopappus irwinii,VU,VU
Acritopappus pereirae,CR,NA
Acritopappus pintoi,EN,CR
Acritopappus prunifolius,VU,NA
Acritopappus subtomentosus,CR,NA
Acroceras excavatum,DD,NA
Acroceras fluminense,LC,NA
Acrocomia emensis,VU,NA
Acrocomia hassleri,LC,NA
Actinocephalus aggregatus,DD,NA
Actinocephalus cabralensis,DD,NA
Actinocephalus callophyllus,DD,NA
Actinocephalus ciliatus,DD,NA
Actinocephalus cipoensis,CR,NA
Actinocephalus claussenianus,VU,NA
Actinocephalus compactus,DD,NA
Actinocephalus coutoensis,DD,NA
Actinocephalus deflexus,EN,NA
Actinocephalus diffusus,DD,NA
Actinocephalus falcifolius,EN,NA
Actinocephalus fimbriatus,DD,NA
Actinocephalus glabrescens,DD,NA
Actinocephalus graminifolius,DD,NA
Actinocephalus herzogii,NA,EN
Actinocephalus heterotrichus,DD,NA
Actinocephalus nodifer,DD,NA
Actinocephalus robustus,NA,EN
Actinocephalus stereophyllus,EN,NA
Actinostemon mandiocanus,DD,NA
Actinostemon roselii,EN,NA
Adamantinia miltonioides,CR,NA
Adelothecium bogotense,LC,NA
Adenocalymma bullatum,DD,NA
Adenocalymma campicola,LC,NA
Adenocalymma dichilum,EN,NA
Adenocalymma fruticosum,EN,NA
Adenocalymma magnoalatum,EN,NA
Adenocalymma nervosum,NT,NA
Adenocalymma paulistarum,LC,NA
Adenocalymma reticulatum,NT,NA
Adenocalymma subspicatum,EN,NA
Adenocalymma ubatubense,CR,NA
Adenophaedra cearensis,CR,NA
Adesmia paranensis,NT,NA
Adiantum diphyllum,CR,NA
Adiantum discolor,EN,NA
Adiantum mynsseniae,EN,NA
Adiantum papillosum,EN,NA
Adiantum tetragonum,EN,NA
Aechmea alopecurus,EN,NA
Aechmea amicorum,EN,NA
Aechmea apocalyptica,VU,NA
Aechmea azurea,VU,NA
Aechmea bambusoides,VU,NA
Aechmea blanchetiana,NT,NA
Aechmea blumenavii,LC,NA
Aechmea bromeliifolia,LC,NA
Aechmea bromeliifolia var. albobracteata,LC,NA
Aechmea caesia,EN,NA
Aechmea calyculata,LC,NA
Aechmea candida,DD,NA
Aechmea capixabae,DD,NA
Aechmea cariocae,EN,EN
Aechmea castanea,EN,NA
Aechmea caudata,LC,NA
Aechmea cylindrata,LC,NA
Aechmea dealbata,DD,NA
Aechmea depressa,EN,NA
Aechmea distichantha,LC,NA
Aechmea echinata,EN,NA
Aechmea entringeri,DD,NA
Aechmea eurycorymbus,NT,NA
Aechmea fasciata,VU,NA
Aechmea fosteriana,EN,NA
Aechmea gamosepala,LC,NA
Aechmea gracilis,LC,NA
Aechmea grazielae,DD,NA
Aechmea guarapariensis,DD,NA
Aechmea gustavoi,CR,NA
Aechmea kertesziae,EN,NA
Aechmea kleinii,EN,NA
Aechmea lingulata,DD,NA
Aechmea maasii,NT,NA
Aechmea macrochlamys,EN,NA
Aechmea marginalis,CR,NA
Aechmea muricata,EN,NA
Aechmea mutica,EN,NA
Aechmea nudicaulis,LC,NA
Aechmea orlandiana,CR,NA
Aechmea paratiensis,DD,NA
Aechmea pectinata,LC,NA
Aechmea pedicellata,DD,NA
Aechmea pimenti-velosoi,DD,NA
Aechmea podantha,DD,NA
Aechmea prava,DD,NA
Aechmea recurvata var. albobracteata,DD,NA
Aechmea recurvata var. ortgiesii,DD,NA
Aechmea rubrolilacina,DD,NA
Aechmea setigera,LC,NA
Aechmea sphaerocephala,EN,NA
Aechmea squarrosa,DD,NA
Aechmea triangularis,EN,NA
Aechmea vanhoutteana,VU,NA
Aechmea werdermannii,EN,NA
Aechmea winkleri,CR,NA
Aegiphila australis,NT,NA
Aegiphila duckei,DD,NA
Aegiphila exiguiflora,DD,NA
Aeschynomene bradei,EN,NA
Aeschynomene denticulata,LC,NA
Aeschynomene fructipendula,EN,NA
Aeschynomene graminoides,EN,NA
Aeschynomene laca-buendiana,EN,NA
Aeschynomene montevidensis,LC,NA
Aeschynomene selloi,LC,NA
Aeschynomene sensitiva var. hispidula,DD,NA
Aeschynomene simplicifolia,VU,NA
Agalinis angustifolia,NT,NA
Agalinis bandeirensis,CR,NA
Agalinis brachyphylla,VU,NA
Agalinis communis,LC,NA
Agalinis itambensis,EN,NA
Agalinis nana,EN,NA
Agalinis ramulifera,EN,NA
Agalinis schwackeana,CR,NA
Agarista chlorantha,LC,NA
Agarista niederleinii,LC,NA
Agarista nummularia,LC,NA
Agarista organensis,CR,NA
Agarista pulchella,LC,NA
Agarista pulchra,NT,NT
Agarista uleana,VU,NA
Agenium leptocladum,LC,NA
Agonandra fluminensis,DD,NA
Agrianthus almasensis,EN,NA
Agrianthus giuliettiae,EN,NA
Agrimonia parviflora,DD,NA
Agrostis lenis,VU,NA
Agrostis longiberbis,EN,NA
Agrostis ramboi,CR,NA
Aguiaria excelsa,DD,NA
Aiouea acarodomatifera,LC,NA
Aiouea benthamiana,DD,EN
Aiouea bracteata,EN,VU
Aiouea lehmannii,DD,EN
Aiouea macedoana,DD,NA
Aiouea piauhyensis,LC,NA
Aiouea trinervis,LC,NA
Aiphanes ulei,LC,NA
Akrosida macrophylla,DD,NA
Alatiglossum barbatum,LC,NA
Alatiglossum croesus,CR,NA
Alatiglossum longipes,LC,NA
Alatococcus siqueirae,EN,NA
Albizia burkartiana,EN,VU
Albizia decandra,LC,NT
Albizia edwallii,LC,NA
Albizia glabripetala,EN,EN
Albizia niopoides,LC,NA
Albizia polycephala,LC,NA
Albizia robsonii,EN,NA
Alcantarea benzingii,CR,NA
Alcantarea duarteana,EN,NA
Alcantarea farneyi,CR,CR
Alcantarea geniculata,EN,EN
Alcantarea glaziouana,EN,EN
Alcantarea heloisae,EN,NA
Alcantarea imperialis,VU,NA
Alcantarea martinellii,VU,NA
Alcantarea nahoumii,VU,NA
