"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","629686","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizzini","M. A. G. Magenta","M. M. Arbo","5371","1992","11","28","South America","Brazil","Bahia","Morro do Chapéu","Morrao al Sur de Morro do Chapéu","-41.22","-11.58","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629686","NY00629686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","823005","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizzini","V. W. Steinmann","R. M. Harley","22868","1980","05","31","South America","Brazil","Bahia","Morro do Chapéu","Rio do Ferro Doido, 19.5 km SE of Morro do Chapeu on the BA 052 highway to Mundo Novo. D6.","-41.03","-11.63","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823005","NY00823005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","642548","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizzini","J. A. Kallunki","W. W. Thomas","12793","2002","03","10","South America","Brazil","Bahia","Morro do Chapéu","Cachoeira de Ferro Doido, 29.1 km E of Morro do Chapéu on road to Mundo Novo","-41.001517","-11.625","920","920","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642548","NY00642548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","823003","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizzini","V. W. Steinmann","R. M. Harley","19202","1977","03","01","South America","Brazil","Bahia","Morro do Chapéu","19.5 km SE of Morro do Chapéu on the BA 052 road to Mundo Novo by the Rio Ferro Doido.","-41.03","-11.63","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823003","NY00823003_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","527344","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizzini","K. J. Wurdack","R. C. Forzza","1289","1999","04","23","South America","Brazil","Bahia","Jacobina","Estrada para a torre nova","-40.5181","-11.1808",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527344","NY00527344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","823004","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizzini","V. W. Steinmann","H. S. Irwin","32288","1971","02","16","South America","Brazil","Bahia",NA,"Serra do Tombador. Summit of Morro do Chapéu, ca. 7 km S of the town of Morro do Chapéu.",NA,NA,"1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823004","NY00823004_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","823007","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizzini","V. W. Steinmann","R. M. Harley","22752","1980","05","30","South America","Brazil","Bahia","Morro do Chapéu","Summit of Morro do Chapeu. Ca. 8 km SW of the town of Morro do Chapeu to the west of the road to Utinga.D6.","-41.2","-11.58","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823007","NY00823007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","823006","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizzini","V. W. Steinmann","L. P. de Queiroz","4277","1995","03","14","South America","Brazil","Bahia","Morro do Chapéu","Morrão, em torno da estação retransmissora da Telebahia, a ca. 6 km W da BA-046 (Morro do Chapéu - Uitnga), entrando a ca. 1 km do entroncamento para Morro do Chapéu com a BA - 052 (estrada do feijão)","-41.1558","-11.5503",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823006","NY00823006_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","642549","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizzini","J. A. Kallunki","W. W. Thomas","12933","2002","03","11","South America","Brazil","Bahia","Morro do Chapéu","12 km NE of town of Morro do Chapéu on road to Jacobina","-41.083233","-11.476683","910","910","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642549","NY00642549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1281247","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizzini","I. Cordeiro","R. de Mello-Silva","2153","2003","02","05","South America","Brazil","Bahia","Morro do Chapéu","Alto do Morro do Chapéu, 6.7 km da estrada Morro do Chapéu - Utinga, próximo à torre repetidora de TV.","-41.2075","-11.5914","1210","1210","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1681179' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281247","NY01281247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-19 15:43:57-03","UNEB","HUNEB","7636","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Euphorbiaceae","Euphorbia","appariciana","Euphorbia appariciana","Rizz.",NA,"Queiroz, L.P.de","4036","1994","06","19",NA,"Brasil","Bahia","Morro do Chapéu","Morrão, em torno da estação retransmissora da Telebahia, ca. 6 km W da BA 046.","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,"HUNEB0007636",NA,"Dicotyledoneae","98143","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2013-07-03 10:46:05-03","EBDA","BAH","10314","S","Plantae",NA,NA,"Euphorbiaceae","Euphorbia","apariciana","Euphorbia apariciana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
