"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","individualCount","fieldNumber","infraspecificEpithet","typeStatus"
"1","2016-10-28 16:29:00-02","NY","NYBG","00896247","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasya","petrosa","Thrasya petrosa","A. F. M. Glaziou","22436","South America","Brazil","Brésil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896247","NY00896247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00896222","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasya","petrosa","Thrasya petrosa","W. R. Anderson","9422","South America","Brazil","Serra do Caiapó, ca. 30 km (straight line) S of Caiapônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896222","NY00896222_01","(Trin.) Chase","G. Davidse","1973","04","29","Goiás","Caiapônia","-51.8167","-17.2167","950","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00896242","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasya","petrosa","Thrasya petrosa","H. S. Irwin","18607","South America","Brazil","15 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896242","NY00896242_01","(Trin.) Chase","G. Davidse","1968","01","15","Goiás","Cocalzinho de Goiás","-48.77","-15.8","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02634152","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasya","petrosa","Thrasya petrosa","T. C. Plowman","8517","South America","Brazil","Range of low hills ca. 20 km west of Redenção, near Corrego São João and Troncamento Santa Teresa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2927186' target='other'> <mi>dwc_moreinfo</mi></a>","NY02634152","NY02634152_01","(Trin.) Chase",NA,"1980","02","08","Pará","Conceição do Araguaia","-50.17","-8.05","350","620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-28 16:30:00-02","NY","NYBG","00896223","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasya","petrosa","Thrasya petrosa","P. W. Richards","6436","South America","Brazil","Plot 4, P/C transect, Xavantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896223","NY00896223_01",NA,NA,"1968","07","14","Mato Grosso",NA,"-52.23","-14.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00896255","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasya","petrosa","Thrasya petrosa","E. P. Heringer","4381","South America","Brazil","Bacia do Rio São Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896255","NY00896255_01","(Trin.) Chase","T. de S. Filgueiras","1980","04","15","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00896244","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasya","petrosa","Thrasya petrosa","W. R. Anderson","6603","South America","Brazil","Ca. 3 km E of Alto Paraíso on road to Nova Roma.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896244","NY00896244_01","(Trin.) Chase","A. G. Burman","1973","03","07","Goiás","Alto Paraíso de Goiás","-47.4976","-14.0977","1350","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-28 16:29:00-02","NY","NYBG","00896248","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasya","petrosa","Thrasya petrosa","A. F. M. Glaziou","22436","South America","Brazil","Brazil: Chiefly Province of Goyaz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896248","NY00896248_01",NA,NA,"1896",NA,NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-28 16:29:00-02","NY","NYBG","00896249","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasya","petrosa","Thrasya petrosa","A. F. M. Glaziou","22436","South America","Brazil","Entre Sta. Luzia & Cabeceiras do Rio Gama","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896249","NY00896249_01",NA,NA,"1895","04","23","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 18:13:00-03","NY","NYBG","786943","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasya","petrosa","Thrasya petrosa","E. Hassler","9828","South America","Paraguay","Sierra de Amambay","sheet","Custos herbarii nostri T. Rojas leg. mens.: Dec. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786943",NA,NA,NA,"1907",NA,NA,"Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
