"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","74195","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","harleyi","Stigmaphyllon harleyi","W.R.Anderson","isotype","R. M. Harley","19026","1977","02","25","South America","Brazil","Bahia","Serra do Açuruá. Sao Ináacio, on rocky hillside called Pedra du Mulher just south of town","-42.73","-11.12","500","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00074195","NY00074195_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02282274","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","harleyi","Stigmaphyllon harleyi","W.R.Anderson",NA,"S. A. Mori","12349","1979","07","20","South America","Brazil","Bahia","9-11 km ao N de Rio de Contas, na estrada para o povoado Mato Grosso","-41.77","-13.53","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2334759' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282274",NA,"A. M. Amorim","Rio de Contas",NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:55:33-03","NBC","NL-BOTANY","U 0003838","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Stigmaphyllon","harleyi","Stigmaphyllon harleyi","W.R.Anderson","isotype","Harley RM; et al.",NA,"1977","02","25","Southern America","Brazil","Bahia","Estado da BahiaSerra do AçuruáSao Ignácio, on rocky hillside called Pedra da Mulher just South of town.","-42.733333","-11.116667",NA,NA,NA,"on rocky hillside? Metamorphosed sandstones.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003838 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003838","NL-U0003838","Anderson WR",NA,"Magnoliopsidae","-42.733333","-11.116667","50245",NA,NA
"4","2019-02-15 11:45:03-02","IPA","IPA","41520","S","Plantae","Plantae",NA,"Malpighiaceae","Stigmaphyllon","harleyi","Stigmaphyllon harleyi","W.R. Anderson",NA,"Harley, R.M.","19026","1977","02","25","Southern America","Brasil","Bahia","Serra do Açuruá, São Inácio, on rocky hillside called Pedra da Mulher just south of town.","-42.733333","-11.116667","500","600",NA,"Twiggy shrub to 50cm with intricate branches. Leaves softly hairy, glaucous sepals yellow-green pale green glands.","IPA0041520","IPA0041520","Anderson, W.R.",NA,NA,"-42.733333","-11.116667",NA,"1979",NA
"5","2019-08-20 10:17:43-03","UNICAMP","UEC","42473","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Stigmaphyllon","harleyi","Stigmaphyllon harleyi","W.R.Anderson","isotypus","Harley, RM","19026","1977","02","25",NA,"Brazil","Bahia","On rocky hillside called Pedra da Mulher","-42.733333","-12.166667",NA,NA,NA,"Flor, Twiggy shrub to ca. 50 cm. With intricate branches. Leaves softly hairy, glaucous, sepals yellow gren with palew green glands. Petals yellow. Anthers dull yellow. Matamorphosed sandstones.","UEC0055476",NA,"Anderson, WR","Santo Inácio",NA,"-42.733333","-12.166667",NA,"1979",NA
"6","2015-08-13 05:50:00-03","MO","MOBOT","1845655","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","harleyi","Stigmaphyllon harleyi","W.R. Anderson","Isotype","R.M. Harley","Harley 19026","1977","2","25","South America","Brazil","Bahia","Serra do Acuruá. São Inácio, on rocky hillside called Pedra da Mulher just South of town. Metamorphosed sandstones.","-42.73333","-11.11666","500.00000000","600.00000000",NA,NA,NA,NA,"W.R. Anderson",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-07 09:32:11-03","UEFS","HUEFS","98654","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Stigmaphyllon","harleyi","Stigmaphyllon harleyi","W.R.Anderson",NA,"Santos, A.K.A.","378","2005","07","22",NA,"Brasil","Bahia","Serra Nua.","-41.322222","-11.455833","934","934",NA,NA,"HUEFS0098654","HUEFS0098654","A.Amorim","Morro do Chapéu","Rosanae","41W19'20''","11S27'21''",NA,"2005","12"
"8","2020-07-23 12:11:52-03","CEPLAC","CEPEC","113572","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","harleyi","Stigmaphyllon harleyi",NA,NA,"A. K. A. Santos","378","2005","07","22",NA,"Brasil","Bahia","Serra Nua.","-41.322222","-11.455833",NA,NA,NA,NA,NA,NA,"A. M. Amorim","MORRO DO CHAPÉU",NA,"41W19'20","11S27'21","30/12/2005",NA,NA
"9","2020-07-23 12:11:52-03","CEPLAC","CEPEC","19416","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","harleyi","Stigmaphyllon harleyi",NA,"Holótipo","R. M. Harley","19026","1977","02","25",NA,"Brasil","Bahia","São Inacio. Encosta Pedra da Mulher. Ao S da cidade.","-42.733333","-11.116667",NA,NA,NA,NA,NA,NA,"W. R. Anderson","gentio do ouro",NA,"42W44'0","11S7'0","30/12/1979",NA,NA
"10","2019-11-21 10:09:12-03","IBt","SP","327404","S","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","harleyi","Stigmaphyllon harleyi","W.R.Anderson",NA,"Alvarenga, D; Mendonça, RC; Aparecida da Silva, M; Oliveira, FCA","1053","1997","11","10",NA,"Brasil","Bahia","Fazenda Estrondo. Cerrado próximmo ao córrego Riachão","-45.465556","-11.11","505","505",NA,NA,"SP021198","SP021198","Mamede, MCH","Formosa do Rio Preto",NA,"-45.465556","-11.11",NA,"2001","06"
