"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1550354","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Alseis","latifolia","Alseis latifolia","Gleason","B. Bremer","A. H. Gentry","49342","1985","01","08","South America","Brazil","São Paulo","Ubatuba","Agriculture Experiment Station. Along Río Comprido.","-45","-23.5","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1816436' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550354","NY01550354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1550336","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Alseis","latifolia","Alseis latifolia","Gleason","B. M. Boom","G. E. Schatz","879","1983","03","07","South America","Brazil","Maranhão","Barra do Corda","Cocal Grande, 34km NE of Barra do Corda along the Rio Mearim.","-45.1","-5.4",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1816356' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550336","NY01550336_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02636754","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Alseis","latifolia","Alseis latifolia","Gleason","M. R. de V. Barbosa","L.A. Gomes","1098","2013","05","22","South America","Brazil","Sergipe","Maruim","Mata do Caititu, Borda de mata.","-37.1271","-10.7168",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2294631' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636754","NY02636754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","130808","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Alseis","latifolia","Alseis latifolia","Gleason",NA,"B. A. Krukoff","2043","1933","03","24","South America","Brazil","Maranhão",NA,"Near Coroatasinho. Region of River Grajahu.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00130808","NY00130808_01 NY00130808_02","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1550362","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Alseis","latifolia","Alseis latifolia","Gleason","M. R. de V. Barbosa","A. B. Anderson","2001","1985","03","20","South America","Brazil","Maranhão","Lago Verde","Fazenda São Francisco, estrada Alto Alegre-Lago Verde km 9.","-44.8219","-3.9572",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1816475' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550362","NY01550362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1550337","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Alseis","latifolia","Alseis latifolia","Gleason","B. M. Boom","M. G. A. Lobo","335","1983","04","02","South America","Brazil","Maranhão","Santa Luzia","Fazenda Agripec da Varig, margem esquerda do rio Pindaré.","-45.6581","-3.9633",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1816358' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550337","NY01550337_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1034265","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Alseis","latifolia","Alseis latifolia","Gleason","N. M. Bacigalupo; E. L. Cabral","A. C. Cervi","CA7114","1994","10","20","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.42","-9.25",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034265","NY01034265_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:23:21-03","UFBA","ALCB","034046","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Alseis","latifolia","Alseis latifolia","Gleason.","Jardim, JG","Atkins, S; Saar, E; Passos Júnior, LA; Funch, L; Guedes, ML; Stannard, B","PCD4662","1997","01","29","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Remanso/Maribus","-41.316667","-12.65","380","380",NA,"6,0 m. Folhas subcoriáceas, levemente discolores. Inflorescência castanha. Ocasional.; Pântano do Rio Santo Antonio, com variada flora aquática e ilhas de matas mesófilas; árvores com ca. de 8-12 m",NA,NA,NA,"2012","06","-41.316667","-12.65",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:22:23-03","NBC","NL-BOTANY","U 0005903","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Alseis","latifolia","Alseis latifolia","Gleason","Gleason HA","Krukoff BA",NA,"1933","03","24","Southern America","Brazil","Maranhão",NA,"Near Coroatasinho.State of Maranhao. Region of River Grajahu.",NA,NA,NA,NA,NA,"On terra firma - high land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005903 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005903","NL-U0005903","type",NA,NA,NA,NA,"Magnoliopsidae","16100 A",NA,NA,NA,NA,NA,NA
"10","2019-11-27 13:52:12-03","UFS","ASE","16331","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Alseis","latifolia","Alseis latifolia","Gleason","Barbosa, MR","Pereira, TC; Carregosa, T; Conceição, GG","19","2010","06","02","Southern America","Brasil","Sergipe","Nossa Senhora da Glória","Mata do Assentamento Adão Negro","-37.419861","-10.1035",NA,NA,NA,"Árvore ca 8m.; Árvore ca 8m.; Caatinga.","ASE0022810","ASE0022810",NA,"2015","06","-37.419861","-10.1035",NA,NA,"09",NA,NA,NA,NA,NA
