"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","county","imagecode","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","3955697","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","elegans","Hymenophyllum elegans","Spreng.","R. C. Moran","6750","2004","02","05","South America","Ecuador","Pichincha","ca. 34 km NW of Quito, Maquipucuna Biological Station, along Camino del Río trail.","-78.58","8.13","1230","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244134' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","807857","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","elegans","Hymenophyllum elegans","Spreng.","A. C. Brade","19212","1943","08","09","South America","Brazil","Espírito Santo",NA,"-41.1844","-20.6036",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807857","A. C. Brade","Castelo","NY00807857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","920547","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","elegans","Hymenophyllum elegans","Spreng.","L. B. Damazio","1862","1907",NA,NA,"South America","Brazil","Minas Gerais","Serra do Frazão",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00920547","L. B. Damazio",NA,"NY00920547_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3955695","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","elegans","Hymenophyllum elegans","Spreng.","I. Jiménez-Pérez","2322","2004","05","22","South America","Bolivia","Cochabamba","Chapare, carretera Villa Tunari-Cochabamba; antes de llegar a la estación de bombeo Limatambo de Transredes, bajando por una zona de derrumbe y pasando el rio Espíritu Santo.",NA,NA,"1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244132' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955695",NA,"Chapare","NY03955695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3955687","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","elegans","Hymenophyllum elegans","Spreng.","J. A. Steyermark","104735","1971","02","20","South America","Venezuela","Trujillo","Selva virgen, arriba de Escuque, entre Escuque y La Mesa de San Pedro.",NA,NA,"1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244124' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955687",NA,NA,"NY03955687_01","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3955701","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","elegans","Hymenophyllum elegans","Spreng.","F. J. Ortega Mendoza","2359","1984","11","24","South America","Venezuela","Barinas","Dtto. Bolivar, entre Santo Domingo y Altamira, en el sitio denominado Quebradón, en el camino que lleva al tunel que vá hacia la represa. Selvas húmedas siempreverdes.",NA,NA,"1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244138' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955701",NA,NA,"NY03955701_01","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3955696","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","elegans","Hymenophyllum elegans","Spreng.","R. C. Moran","6855","2004","02","18","South America","Ecuador","Carchi","Estación Biológica La Guandera.","-77.7","0.58","3310","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244133' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3955689","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","elegans","Hymenophyllum elegans","Spreng.","B. Maguire","46931","1962","08","20","South America","Venezuela","Bolívar","Alto Río Cuyuni. At base of escapment of La Escalera. Río Uiri-yuk.",NA,NA,"850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244126' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955689",NA,NA,"NY03955689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3955688","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","elegans","Hymenophyllum elegans","Spreng.","J. A. Steyermark","100608","1968","01","10","South America","Venezuela","Táchira","Cabeceras del río Quinimarí, vecindades de “Las Copas”, al pié de la Peña de Pata de Judío (debajo del Páramo de Judío), 15 kms. al sur de San Vicente de la Revancha, 30 kms. al sur de Alquitrana, suroeste de Santa Ana.",NA,NA,"2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244125' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955688",NA,NA,"NY03955688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","807853","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","elegans","Hymenophyllum elegans","Spreng.","C. Spannagel","327","1923",NA,NA,"South America","Brazil","Rio de Janeiro","Serra da Estrella.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807853",NA,NA,"NY00807853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
