"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","individualCount","fieldNumber","order","preparationType"
"1","2021-03-21 19:33:06-03","UFC","EAC","50703","PreservedSpecimen","Plantae","Dicotyledon","Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H.Gentry","Araújo, R.S.","2018","05","02","Lima-Verde, L.W.; et al.","3558","2008","11","26","Southern America","Brasil","Ceará","Guaramiranga","Pico Alto, estrada para as Torres.","-38.96875","-4.206583","-38.96875","-4.206583","1060","1060","Escandente, flor amarela.; Mata ombrófila","EAC0050703","EAC0050703",NA,NA,NA,NA,NA
"2","2021-03-21 19:33:06-03","UFC","EAC","57982","PreservedSpecimen","Plantae","Dicotyledon","Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H.Gentry","Araújo, R.S.","2018","05","02","Loiola, M.I.B.; Fonseca, R.S.; Sampaio, V.S.; Moura, R.; Loiola, M.","2535","2015","03","28","Southern America","Brasil","Ceará","Guaramiranga","Pico Alto","-38.971944","-4.207778","-38.971944","-4.207778","1074","1074","Trepadeira; flores com pétalas amarelas na base e roxas no ápice.","EAC0057982","EAC0057982",NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","1021504","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry","A. Gentry, 1972 (MO)",NA,NA,NA,"Howard S. Irwin|et al.","Irwin 17393","1966","6","18","South America","Brazil","Mato Grosso",NA,"Upper Rio Araguai, 96 km S of Xavantina. Gallery forest,",NA,NA,NA,NA,"500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-04 19:00:00-03","MO","MOBOT","1027198","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry",NA,NA,NA,NA,"Leandro Aristeguieta|J. Lizot","Aristeguieta 7374","1970","1",NA,"South America","Venezuela","Amazonas",NA,"Mavaca, Alto Orinoco, Indios Guaicas (Yanomano)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fragment","1",NA,NA,NA
"5","2012-08-09 10:32:00-03","MO","MOBOT","1037725","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry","A. Gentry (MO)",NA,NA,NA,"E. Rutkis","Rutkis 750","1984","2","14","South America","Venezuela","Bolívar",NA,"Enuna quebrada, en zonz agricola Tarantanana, unos 28 km al NE del La Paragua","-63.25","7.0333333",NA,NA,"300.00000000",NA,NA,NA,NA,NA,"1",NA,NA,NA
"6","2012-03-18 05:12:00-03","MO","MOBOT","1154214","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry","A. Fuentes (USZ)",NA,NA,NA,"Fabiana Mamani M.|Antony Jardim","Mamani M. 1057","1997","11","5","South America","Bolivia","Santa Cruz","Chiquitos","Serranía Sunsas. Campamento Bocamina, 12 km camino a quebrada la vera. Vegetación arbóreo con Anadenthera colubrina, Poepigia procera, Phyllostylon rhamnoides Dalbergia riparia, Machaerium scleroxylum. Suelo rojos a oscuro.","-59.75","-17.83333",NA,NA,"450.00000000",NA,NA,NA,NA,NA,"8",NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1185205","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry","A. Jardim",NA,NA,NA,"Israel G. Vargas C.|et al.","Vargas Caballero 3887","1995","9","26","South America","Bolivia","Santa Cruz","Velasco","Parque Nal. Noel Kempff Mercado, Estación Los Fierros, alrededores de la pista de aterrizaje.","-60.93333","-14.55",NA,NA,"25.00000000","30.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-08-13 05:50:00-03","MO","MOBOT","1021494","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry","A. Gentry",NA,NA,NA,"R.M. Harley|et al.","Harley 10959","1968","11",NA,"South America","Brazil","Mato Grosso",NA,"approx. 43 km S from Xavantina, on Aragarcas road. Secondary vegetation by roadside.","-52.23333","-14.63333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2013-06-01 06:17:00-03","MO","MOBOT","3039998","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry",NA,NA,NA,NA,"Claudia Knab-Vispo","Knab-Vispo 341","1994",NA,NA,"South America","Venezuela","Bolívar",NA,"Boca Nichare, Rio Nichare, afluente izquierdo del río Caura.","-64.83333","6.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-06-27 13:41:00-03","MO","MOBOT","481644","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry","F. Firetti-Leggieri (SPF).",NA,NA,NA,"Alwyn H. Gentry|Rodolfo Vásquez|Nestor Jaramillo","Gentry 42846","1983","7","9","South America","Peru","Loreto","Maynas","Yanamono. Explorama Tourist Camp, Río Amazonas halfway between Indiana and mouth of Río Napo, mature forest on yellowish lateritic soil.","-72.83333","-3.46666",NA,NA,"130.00000000",NA,NA,NA,NA,NA,"1","83-175",NA,NA
"11","2008-05-27 22:02:00-03","MO","MOBOT","483721","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry",NA,NA,NA,NA,"Alwyn H. Gentry|et al.","Gentry 73898","1991","5","16","South America","Bolivia","Santa Cruz",NA,"Quiapaca, 10 km N of Santiago, valley of Río Tucuvaca dry forest. Transect 1.","-59.5","-18.33333",NA,NA,"300.00000000",NA,NA,NA,NA,NA,"3","619",NA,NA
"12","2016-06-27 13:41:00-03","MO","MOBOT","485426","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry","F. Firetti-Leggieri (SPF).",NA,NA,NA,"Alwyn H. Gentry|et al.","Gentry 56422","1987","2","23","South America","Peru","Loreto","Requena","J. Herrera, Río Ucayali; upland forest on well-drained soil. Transect 3","-73.75","-4.91666",NA,NA,NA,NA,NA,NA,NA,NA,"2","87-31",NA,NA
"13","2016-05-18 14:54:00-03","MO","MOBOT","486860","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry","F. Firetti-Leggieri (SPF)",NA,NA,NA,"Alwyn H. Gentry|Lourdes Vargas|Alan Perry|M. Apuríz","Gentry 77749","1992","7","3","South America","Bolivia","Pando","Abuna","Nuevo Mundo, Campamento 18, 18 km N of airstrip.","-66.7666667","-10.65",NA,NA,"160.00000000",NA,NA,NA,NA,NA,"4","970",NA,NA
"14","2011-06-18 05:22:00-03","MO","MOBOT","487646","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Anemopaegma","patelliforme","Anemopaegma patelliforme","A.H. Gentry","A. Gentry",NA,NA,NA,"John S. Brandbyge|Eduardo Asanza C.","Brandbyge 30678","1980","5","23","South America","Ecuador","Pastaza",NA,"Lorocachi. Secondary vegetation behind the air strip.","-75.96666","-1.63333",NA,NA,"200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
