"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount","previousCatalogNumber","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","4042407","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","formosum","Asplenium formosum","Willd.","G. S. Bunting","12040","1982","11","09","South America","Venezuela","Zulia","Dtto. Mara: cuenca del río Guasare, alrededores del Destacamento Guasare 1 (La Yolanda). En la Hacienda Chiquinquirá, en la orilla izquierda del Guasare ca. 3 km. río abajo del Destacamento, al borde de un caño, en bosque húmedo original.","-72.4917","10.8694","200","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4349739' target='other'> <mi>dwc_moreinfo</mi></a>","NY04042407","NY04042407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","809850","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","formosum","Asplenium formosum","Willd.","L. B. Smith","2122","1929","03","17","South America","Brazil","Rio de Janeiro","Road between Alto da Serra and Meio da Serra.","-43.18","-22.55","400","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809850","NY00809850_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4042437","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","formosum","Asplenium formosum","Willd.","E. P. Killip","23077","1929","05","08","South America","Peru","Ayacucho","Estrella, between Huanta and Río Apurimac",NA,NA,"500",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4349769' target='other'> <mi>dwc_moreinfo</mi></a>","NY04042437","NY04042437_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4042397","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","formosum","Asplenium formosum","Willd.","H. H. Smith","966","1898","08",NA,"South America","Colombia",NA,"Santa Marta. Masinga Vieja.",NA,NA,"305",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4349729' target='other'> <mi>dwc_moreinfo</mi></a>","NY04042397","NY04042397_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","875475","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","formosum","Asplenium formosum","Willd.","H. S. Irwin","24615","1969","03","17","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 60 km north of Veadeiros","-47.5167","-13.5744","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=964295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00875475","NY00875475_01","J. T. Mickel","Cavalcante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4042413","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","formosum","Asplenium formosum","Willd.","R. G. Taylor","TT.67","1939","02","17","South America","Ecuador","Galápagos","Galápagos Islands. Indefatigable Island, 6 miles NW of Academy Bay.",NA,NA,"122",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4349745' target='other'> <mi>dwc_moreinfo</mi></a>","NY04042413","NY04042413_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","875479","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","formosum","Asplenium formosum","Willd.","H. S. Irwin","34352","1972","01","16","South America","Brazil","Goiás","Serra dos Pirineus, ca. 20 km E. of Pirenópolis","-48.7633333","-15.85","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=964311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00875479","NY00875479_01","J. T. Mickel","Corumbá de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4042441","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","formosum","Asplenium formosum","Willd.","J. C. Solomon","9987","1983","04","21","South America","Bolivia","Tarija",NA,"-64.48","-22.37","600",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4349773' target='other'> <mi>dwc_moreinfo</mi></a>","NY04042441","NY04042441_01",NA,"Aniceto Arce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","875473","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","formosum","Asplenium formosum","Willd.","H. S. Irwin","14012","1966","03","16","South America","Brazil","Distrito Federal","Côrrego Landim, ca. 25 km N. of Brasília","-47.91666667","-15.5575","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=964290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00875473","NY00875473_01","C. V. Morton; D. B. Lellinger","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4042411","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","formosum","Asplenium formosum","Willd.","M. T. Murillo-Pulido","263","1961","07","19","South America","Colombia","Cundinamarca","Entre Nilo y Pueblo Nuevo, quebrada de Agua de Diosito.",NA,NA,"530",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4349743' target='other'> <mi>dwc_moreinfo</mi></a>","NY04042411","NY04042411_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
