"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","barcode","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","dayIdentified","coordinatePrecision","geoFlag","class","order","individualCount","imagecode","typeStatus"
"1","2021-03-30 12:52:23-03","EAO","IAN","70043","PreservedSpecimen","Plantae","Monocotiledônea","Eriocaulaceae","Paepalanthus","cipoensis","Paepalanthus cipoensis","Silveira","Moldenke, HN","1955","04","Black, GA; Magalhães, MG","12216","1951","04","09","Southern America","Brasil","Minas Gerais","Serra do Rola Moça","IAN070043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:43:57-03","UFMG","BHCB","161038","PreservedSpecimen","Plantae","Monocotyledon","Eriocaulaceae","Actinocephalus","cipoensis","Actinocephalus cipoensis","(Silveira) Sano",NA,"2013","10","Souza, FS; Miranda, E","1654","2012","08","31","Southern America","Brasil","Minas Gerais","Itabira","BHCB007092","Serra dos Alves, Cânion Boca da Serra.","-43.477778","-19.491667","-43.477778","-19.491667","1100","1100","Terrestre com flores brancas.; Campo rupestre quartzítico.",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:43:57-03","UFMG","BHCB","191577","PreservedSpecimen","Plantae","Monocotyledon","Eriocaulaceae","Actinocephalus","cipoensis","Actinocephalus cipoensis","(Silveira) Sano",NA,"2018","07","Paiva, JAM; Souza, JAM; Silva, SHA","1795","2018","05","23","Southern America","Brasil","Minas Gerais","Itabira","BHCB191577","Parque Nacional da Serra do Cipó, Serra dos Alves","-43.503611","-19.486667","-43.503611","-19.486667","1474","1474","Erva, 0,25m. Flor branca.; Campo Rupestre Quartzítico","23",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:44:03-03","UFMG","BHCB","24084","PreservedSpecimen","Plantae","Monocotyledon","Eriocaulaceae","Paepalanthus","cf. cipoensis","Paepalanthus cf. cipoensis","Silveira",NA,"2017","07","Scatena, VL; Moraes, ARS; Barros, AM","s.n.","1993","10","31","Southern America","Brasil","Minas Gerais","Santana do Riacho","BHCB013234","Serra do Cipó, Coletada no entroncamento para Conceição do Mato Dentro.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Herbáceo.; Campo rupestre.","04","26557","auto",NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2799678","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Actinocephalus","cipoensis","Actinocephalus cipoensis","(Silveira) Sano",NA,NA,NA,"G. Eiten & L. T. Eiten","11030","1969","3","11","South America - Neotropics","Brazil","Minas Gerais","Jaboticatubas","US01933359","Serra do Cipó (along road from village of Almeida to city of Conceição doato Dentro). At km 128, or 1 km along road north of Palácio.","-43.55","-19.28",NA,NA,"1250",NA,NA,NA,NA,NA,"Monocotyledonae","Eriocaulales","1","US01933359_01",NA
"6","2019-11-13 11:19:24-03","USP","SPF","206537","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Actinocephalus","cipoensis","Actinocephalus cipoensis","(Silveira) Sano","Sano, PT; Almeida, RB","2019","09","Melo-Pinna, GFA","s.n.","1996","01","27",NA,"Brasil","Minas Gerais",NA,"SPF00206537","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 18:26:42-03","USP","SPF","220615","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Actinocephalus","cipoensis","Actinocephalus cipoensis","(Silveira) Sano","Sano, PT","2015","10","Watanabe, MTC","309","2012","06","08",NA,"Brasil","Minas Gerais","Santana do Riacho","SPF00220615","Parque Nacional da Serra do Cipó, Rodovia MG 010, ca. 100 m do trevo que vai para Morro do Pilar, beira da rodovia, lado direito da estrada.","-43.554056","-19.259444","-43.554056","-19.259444","1287","1287","Erva ca. 30 cm alt. Brácteas involucrais castanho-escuras. Flores alvas.; Campo rupestre.",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 18:26:42-03","USP","SPF","221555","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Actinocephalus","cipoensis","Actinocephalus cipoensis","(Silveira) Sano","Echternacht, L","2012","03","Echternacht, L","2199","2012","03","11",NA,"Brasil","Minas Gerais","Santana do Riacho","SPF00221555","Parque Nacional da Serra do Cipó, Trilha para o Travessão, depois das pinturas rupestres.","-43.525833","-19.323056","-43.525833","-19.323056","1245","1245","Apenas um indivíduo observado.; Campo rupestre, vegetação herbácea. Solo arenoso quartzítico, úmido.","11",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-01 15:14:45-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae","Eriocaulaceae","Actinocephalus","cipoensis","Actinocephalus cipoensis","(Silveira) Sano","Trovó, MLO","2010","12","Eiten, G; Eiten, LT","11030","1969","03","11","Southern America","Brasil","Minas Gerais","Jaboticatubas","UB0007018","Serra do Cipó (along road from village of Almeida to city of Conceição do Mato Dentro). At km 128, or 1km along road nort of Palácio","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"Natural open rocky campo (campo rupestre vegetation)","07","31264","auto",NA,NA,NA,"UB0007018",NA
"10","2021-02-23 13:22:06-03","MN","R-TIPOS","180916","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Actinocephalus","cipoensis","Actinocephalus cipoensis","(Silveira) Sano","Ramos, R.","2016","01","Silveira, A.A.","HS - 554","1909","04",NA,NA,"Brasil","Minas Gerais",NA,"R000180916","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,"R000180916_001","Holotypus de Paepalanthus cipoensis Silveira"
