"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:25-03","UNESC","CRI","11767","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","flavescens","Eleocharis flavescens","(Poir.) Urb.","R. Trevisan","2013","05","21","P. Weber; R. Trevisan, S. Campestrini & S. Venturini","213","2010","01","21","Brasil","Paraná","Coronel Domingos Soares","-51.905278","-26.370278","51º54'19''W","26º22'13''S","Habitat: banhado em campo natural","CRI002004","CRI002004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","8656","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","flavescens","Eleocharis flavescens","(Poir.) Urb.","R. Trevisan","2010","10","29","Polliana Zocche",NA,"2007","12","12","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,"CRI002005","CRI002005","Mina do Trevo.","111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:39-03","E","E","373551","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","flavescens","Eleocharis flavescens",NA,NA,NA,NA,NA,"Gardner, George","150",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00373551 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373551",NA,"[illegible]",NA,NA,"isolectotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:432829",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:39-03","E","E","373552","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","flavescens","Eleocharis flavescens",NA,NA,NA,NA,NA,"Gardner, George","150",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00373552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373552",NA,"Rio [?illegible]",NA,NA,"isolectotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:432830",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:39-03","E","E","195617","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","flavescens","Eleocharis flavescens",NA,NA,NA,NA,NA,"Davis, P.H., Shepherd, G.J., Sakane, M. et Al,","60800","1976","09","09","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00195617 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00195617",NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:199927",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:39-03","E","E","373550","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","flavescens","Eleocharis flavescens",NA,NA,NA,NA,NA,"Gardner, George","150",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00373550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373550",NA,NA,NA,NA,"lectotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:432828",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","622993","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","flaccida","Eleocharis flaccida stricta","(Britton) Kük.",NA,NA,NA,NA,"H. Luederwaldt","9156","1910","11","01","Brazil","São Paulo",NA,NA,NA,NA,NA,"Ex.Herv.do Museu Paulista, n° 1706 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=740131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622993","NY00622993_01","Alto da Serra, S.Paulo. Bréjo da Est. Biologica.",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales","stricta",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","636862","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","flavescens","Eleocharis flavescens","(Poir.) Urb.","S. González; A. A. Reznicek",NA,NA,NA,"J. A. Steyermark","111386","1975","01","04","Venezuela","Bolívar",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=507006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636862",NA,"In submerged water 0.5 m. deep in nearly still laguna-like body of water above Salto Camá, km. 198 south of El Dorado on road to Santa Elena.","1100","1100",NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 12:10:00-02","NY","NYBG","622850","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","flavescens","Eleocharis flavescens",NA,"J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","2554","1966","09","27","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=507011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622850","NY00622850_01","20 km E. of Curitiba.","850","850",NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 12:10:00-02","NY","NYBG","622852","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","flavescens","Eleocharis flavescens",NA,"L. B. Smith",NA,NA,NA,"L. B. Smith","14303","1965","01","05","Brazil","Santa Catarina","Sao Joaquim","-49.93","-28.35",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=507014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622852","NY00622852_01","10 km south of Sao Joaquim.","1200","1300",NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
