"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","126970","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Columnea","sanguinea","trinitensis","Columnea sanguinea trinitensis","C.V.Morton","holotype","N. L. Britton","2528","1921","03","25","South America","Trinidad and Tobago","Trinidad. Ortoire River, Guayaguay Road","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527198' target='other'> <mi>dwc_moreinfo</mi></a>","NY00126970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1015251","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Columnea","sanguinea",NA,"Columnea sanguinea","(Pers.) Hanst.",NA,"W. W. Thomas","14173","2004","09","19","South America","Brazil","Serra Corcovado, 9.8 km SW of Coarci on road to Almadina, then N into Fazenda São José.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=827936' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015251","A. M. Amorim","Bahia","Almadina","-39.6033333","-14.7058333","650","750","NY01015251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01198600","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Columnea","sanguinea",NA,"Columnea sanguinea","(Pers.) Hanst.",NA,"J. L. Paixão","428","2005","06","05","South America","Brazil","Camacã: RPPN Serra Bonita. 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1310148' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198600","A. Chautems","Bahia","Camacan","-39.5653","-15.3917","850","850","NY01198600_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","04206025","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Columnea","sanguinea",NA,"Columnea sanguinea","(Pers.) Hanst.",NA,"M. M. M. Lopes","769","2006","06","05","South America","Brazil","Camacã. RPPN Serra Bonita, 9.7 km de Camacã, Fazenda Serra Bonita, 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e torre da embratel. Beira da estrada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4545152' target='other'> <mi>dwc_moreinfo</mi></a>","NY04206025","L. E. Skog","Bahia",NA,"-39.5653","-15.3917","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02282448","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Columnea","sanguinea",NA,"Columnea sanguinea","(Pers.) Hanst.",NA,"H. S. Irwin","54766","1963","08","13","South America","Suriname","Wilhelmina Gebergte. Upper slopes and summit of Juliana Top, 15 km north of Lucie Rivier.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2254747' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282448","L. E. Skog",NA,NA,"-56.533","3.642","1236",NA,"NY02282448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02282449","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Columnea","sanguinea",NA,"Columnea sanguinea","(Pers.) Hanst.",NA,"H. S. Irwin","55100","1963","08","27","South America","Suriname","Wilhelmina Gebergte. 1 km SE of Juliana Top, headwaters of West Rivier.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2254751' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282449","L. P. Kvist",NA,NA,NA,NA,"700","800","NY02282449_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 02:58:00-03","NY","NYBG","01211792","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Columnea","sanguinea",NA,"Columnea sanguinea",NA,NA,"N. A. Rosa","3341","1979","09","24","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1455165' target='other'> <mi>dwc_moreinfo</mi></a>","NY01211792","L. E. Skog","Amazonas",NA,NA,NA,NA,NA,"NY01211792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1583188","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Columnea","sanguinea",NA,"Columnea sanguinea","(Pers.) Hanst.",NA,"J. C. Betancur","15453","2011","07","26","South America","Colombia","Parque Nacional Natural Las Orquídeas, vereda Venados Abajo, sector de Venados, sitio Arenales","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1661506' target='other'> <mi>dwc_moreinfo</mi></a>","NY01583188","J. L. Clark","Antioquia","Frontino","-76.31075","6.54033","950","1000","NY01583188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","519514","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Dalbergaria","sanguinea",NA,"Dalbergaria sanguinea","(Pers.) Steud.",NA,"W. W. Thomas","12306","2000","10","15","South America","Brazil","Fazenda Riacháo, 7.8 km east of Boa Nova","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00519514","A. Chautems","Bahia","Boa Nova","-40.158317","-14.398617","780","850","NY00519514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","642510","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Dalbergaria","sanguinea",NA,"Dalbergaria sanguinea","(Pers.) Steud.",NA,"A. M. Amorim","2912","1999","04","21","South America","Brazil","Mun. de Jussari/Palmira. Entrada ca 7.5 km de Jussari. Faz. Teimoso, RPPN Serra do Teimoso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642510","A. Chautems","Bahia","Jussari","-39.5286","-15.1581",NA,NA,"NY00642510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01112523","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Dalbergaria","sanguinea",NA,"Dalbergaria sanguinea","(Pers.) Steud.",NA,"A. M. Amorim","4203","2004","07","29","South America","Brazil","Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel em direção à serra. Trilha sa base da Pedra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210929' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112523","A. Chautems","Bahia","Barro Preto","-39.2028","-14.7703","600","900","NY01112523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01112524","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Dalbergaria","sanguinea",NA,"Dalbergaria sanguinea","(Pers.) Steud.",NA,"A. M. Amorim","4369","2004","10","29","South America","Brazil","Camacã. Fazenda Serra Bonita, RPPN Serra Bonita, 9,7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210930' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112524","A. Chautems","Bahia",NA,"-39.5653","-15.3917","835","835","NY01112524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
