"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","class","order","continentOcean","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount"
"1","2020-10-27 11:22:06-03","PUCPR","HUCP","21574","S","Plantae","Lycopodiidae","Lycopodiaceae","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring.) B. Øllg.","Kersten, RA","2019","05","28","Ostrowski, NMAT; Barddal, HPO","s.n.","2010","06","20","Brasil","Paraná","Tijucas do Sul","Morro dos Perdidos, Trilha para cachoeira.","-49.1988983154297","-25.9281005859375","25228","Trilha para cachoeira.","HUCP00001063","HUCP00001063","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:41:40-03","NBC","NL-BOTANY","U.1016720","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub",NA,NA,NA,NA,"Maas PJM; Martinelli G",NA,"1977","10","20","Brazil",NA,NA,"Edo Rio de Janeiro, Mun Terezopolis, Parque Nacional da Serra dos Orgaos, Rio Beijaflor.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1016720 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1016720","NL-U1016720",NA,"Lycopsida","Lycopodiales","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:41:40-03","NBC","NL-BOTANY","U.1017441","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub",NA,NA,NA,NA,"Werff HH van der; Ruiz Zapata T; Vera B; Simonis JE",NA,"1979","02","01","Venezuela",NA,NA,"Del Estado Falcon. Sierra de San Luis, arriba de Sta Maria. Selva nublada.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017441 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017441","NL-U1017441",NA,"Lycopsida","Lycopodiales","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:33-02","BGBM","B","B 20 0113293","S","Plantae",NA,"Lycopodiaceae","Lycopodium","mollicomum","Lycopodium mollicomum","Mart.",NA,NA,NA,NA,"A. F. M. Glaziou","4677",NA,NA,NA,"Brazil",NA,NA,"Rio de Janeiro.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200113293 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200113293","B200113293",NA,NA,NA,"Middle and South America","type",NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:36:41-03","IAP","PACA-AGP","114863","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","A. Sehnem",NA,NA,NA,"F. de Oliveira","121","1978","04","03","Brasil","RJ","Itatiaia","Rezende, Abrigo rebouças","-44.5633010864258","-22.4960994720459","19648",NA,"PACA114863",NA,"auto","Lycopodiopsida","Lycopodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-09 19:01:10-03","UFJF","CESJ","68092","PreservedSpecimen","Plantae","Lycopodiopsida","Lycopodiaceae","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B. Øllg.","V.A.O. Dittrich","2018","09",NA,"S.G. Furtado; L. Menini Neto","316","2014","08","05","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta Nebular na Gruta do Pião","-43.896917","-21.712389",NA,"Epífita","CESJ068092",NA,NA,NA,NA,"América do Sul",NA,"-43.896917","-21.712389","1640","1640",NA,NA,NA
"7","2019-11-21 14:50:29-03","UFJF","CESJ","47038","PreservedSpecimen","Plantae","Lycopodiopsida","Lycopodiaceae","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B. Øllg.","B. Øllgaard","2014","08",NA,"P.L. Viana; N.F.O. Mota","1932","2006","02","26","Brasil","Minas Gerais","Rio Preto","Serra Negra, Ninho da Égua","-43.8278007507324","-22.0891990661621","20815","Planta epifita com ramos pendentes em beira de riacho.","CESJ047038","CESJ047038","auto",NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:50:29-03","UFJF","CESJ","3106","PreservedSpecimen","Plantae","Lycopodiopsida","Lycopodiaceae","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B. Øllg.","V.A.O. Dittrich","2017","09",NA,"A.C. Brade","14528","1935","05",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","19648","Epífita.","CESJ003106","CESJ003106","auto",NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:43:48-03","UNICAMP","UEC","190058","S","Plantae","Pteridophyta","Lycopodiaceae","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B.Ollg.","Gissi, DS","2015","09",NA,"Shepherd, GJ; Kinoshita, LS","9544","1995","04","07","Brazil","São Paulo","Queluz","Beira do Rio das Cruzes","-44.781667","-22.455556",NA,"Erva epífita pendente, com esporângios.; Mata.","UEC052110","UEC052110",NA,NA,NA,NA,NA,"-44.781667","-22.455556",NA,NA,NA,NA,NA
"10","2019-11-19 14:08:15-03","UFRPE","PEUFR","1218","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","I.C. Leão Barros","1994","10","18","Andrade-Lima",NA,"1972","12","28","Brasil","Pernambuco","Taquaritinga do Norte",NA,"-36.0442008972168","-7.90305995941162","25558","Epífita","PEUFR001218",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-06 09:56:07-03","UFOP","OUPR","11181","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B.Øllg.","Salino, A.","2013","04","17","Badini, J.","s.n.","1975","01","30","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Cachoeira do Maromba","-44.5633010864258","-22.4960994720459","19648","Erva. Barrancos úmidos",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-10-14 10:02:30-03","FURB","FURB","23057","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B.Øllg.","Gasper, AL de","2010","04","12","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","1666","2009","10","27","Brasil","Santa Catarina","Presidente Nereu","Braço do Salão - Fazenda Sabiá.","-49.2313889","-27.1813889",NA,NA,"FURB00179","FURB00179",NA,NA,NA,NA,NA,"-49.2313889","-27.1813889","533","533",NA,NA,NA
"13","2016-01-07 01:48:39-02","MNHN","RECOLNAT_MNHN_P","P00559117","PreservedSpecimen",NA,NA,"Pteridophyta","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub",NA,NA,NA,NA,"Glaziou, A.",NA,"1870","3","12","Brésil",NA,NA,"Rio Janeiro, Alto Macahé",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559117' target='other'> <mi>dwc_moreinfo</mi></a>","P00559117","P00559117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4677","hb",NA
"14","2016-01-12 02:44:21-02","MNHN","RECOLNAT_MNHN_P","P00559118","PreservedSpecimen",NA,NA,"Pteridophyta","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B.Øllg.",NA,NA,NA,NA,"Glaziou, A.",NA,"1870","3","12","Brésil",NA,NA,"Rio Janeiro, Alto Macahé",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559118' target='other'> <mi>dwc_moreinfo</mi></a>","P00559118","P00559118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4677","hb",NA
"15","2015-09-18 05:05:11-03","MNHN","RECOLNAT_MNHN_P","P00559119","PreservedSpecimen",NA,NA,"Pteridophyta","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B.Øllg.",NA,NA,NA,NA,"Glaziou, A.",NA,"1870","3","12","Brésil",NA,NA,"Rio Janeiro, Alto Macahé",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559119' target='other'> <mi>dwc_moreinfo</mi></a>","P00559119","P00559119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4677","hb",NA
"16","2020-09-29 14:53:04-03","UFPR","UPCB","57655","PreservedSpecimen","Plantae","Lycophyta","Lycopodiaceae","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B.Øllg.","Labiak, P.H.","2007","01","01","Labiak, P.H. | Paciencia, M.L.B.","3282","2004","04","20","Brasil","Paraná","Morretes","Parque Estadual do Marumbi","-48.834400177002","-25.476900100708","30514","Epífita. Floresta Atlântica.","UPCB0010971","UPCB0010971","auto",NA,NA,NA,NA,NA,NA,"600","600",NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","1058880","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","Robbin C. Moran (MO)",NA,NA,NA,"Alice Fay|Louis Fay","Fay 3608","1992","7","14","Ecuador","Pastaza","Pastaza","North of city of Puyo, in city park by the river.","-77.98333","-1.46666",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"950.00000000",NA,NA,NA,"1"
"18","2019-02-19 04:30:00-03","MO","MOBOT","1213351","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","B. Øllgaard",NA,NA,NA,"C.F.P. Martius","Martius s.n.","1817",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","2824034","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","M. Kessler, 2005 (GOEET)",NA,NA,NA,"Robert S. Williams","Williams 1393",NA,NA,NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Holotype",NA,NA,"1676.40000000",NA,NA,NA,NA
"20","2009-08-23 08:16:00-03","MO","MOBOT","3327587","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","B. Øllgaard",NA,NA,NA,"Calaway H. Dodson|Alwyn H. Gentry","Dodson 8927","1979","10","7","Ecuador","El Oro",NA,"Road from Pinas to Sta. Rosa km 19.","-79.88333","-3.5666",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"460.00000000",NA,NA,NA,NA
"21","2013-10-05 06:35:00-03","MO","MOBOT","3327966","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","B. Øllgaard",NA,NA,NA,"Julian A. Steyermark|Ronald L. Liesner|Ángel C. González","Steyermark 119923","1979","11","11","Venezuela","Táchira",NA,"Deforested area with Iriartea palm in pasture on ridge, cloud forest, Cerro Las Minas, bordering Quebrada Las Minas, 18 km southeast of Santa Ana.","-72.21666","7.6",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"1250.00000000",NA,NA,NA,NA
"22","2015-08-12 05:57:00-03","MO","MOBOT","39632","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub",NA,NA,NA,NA,"H. Balslev","Balslev 1966","1981","5","9","Ecuador","Carchi",NA,"Alrededores de Maldonado, 90 km ay Oeste de Tulcán. Selva de montaña.","-78.11666","0.91666",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"1500.00000000",NA,NA,NA,NA
"23","2011-06-08 17:17:00-03","MO","MOBOT","41634","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","B. Øllgaard",NA,NA,NA,"L.B. Holm-Nielsen|et al.","Holm-Nielsen 26370","1980","9","20","Ecuador","Napo",NA,"Creek 4 km NW of Borja. Montane forest.","-77.83333","-0.38333",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"1875.00000000",NA,NA,NA,NA
"24","2015-06-18 06:28:00-03","MO","MOBOT","41643","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","B. Øllgaard",NA,NA,NA,"L.B. Holm-Nielsen|Jaime L. Jaramillo|Flavio Coello|Eduardo Asanza C.","Holm-Nielsen 26417","1980","9","20","Ecuador","Napo",NA,"Ravine 5 km NW of Borja.","-77.85","-0.38333",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"1950.00000000",NA,NA,NA,NA
"25","2015-06-18 06:28:00-03","MO","MOBOT","41652","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","B. Øllgaard",NA,NA,NA,"L.B. Holm-Nielsen|Jaime L. Jaramillo|Flavio Coello|Eduardo Asanza C.","Holm-Nielsen 26451","1980","9","20","Ecuador","Napo",NA,"Ravine 5 km NW of Borja.","-77.85","-0.38333",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"1950.00000000",NA,NA,NA,NA
"26","2010-09-27 11:22:00-03","MO","MOBOT","1866879","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B. Øllg.","B. Øllgaard (AAU)",NA,NA,NA,"M. Kessler","Kessler 10038","1997","6","12","Bolivia","La Paz","Bautista Saavedra",NA,"-68.4833333","-15.0333333",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"1150.00000000",NA,NA,NA,"1"
"27","2020-09-12 05:00:02-03","US","US","3382310","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Huperzia","mollicoma","Huperzia mollicoma","(Spring) Holub","Smith, A. R., (UC)",NA,NA,NA,"N. L. Cuello, C. Oráa & A. Milla","1471","1999","3","17","Venezuela","Portuguesa","Sucre","Parque Nacional Guaramacal, sector El Paramito, camino Real Paramito - Batatal","-70.0714","9.3303",NA,"PORT, US","US00603488",NA,NA,"Pteridophyte","Lycopodiales","South America - Neotropics",NA,NA,NA,"1550","1950",NA,NA,"1"
"28","2020-09-12 05:00:02-03","US","US","1832159","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Phlegmariurus","mollicomus","Phlegmariurus mollicomus","(Spring) B. Øllg.",NA,NA,NA,NA,"R. S. Williams","1393",NA,NA,NA,"Bolivia",NA,NA,"New Brazil",NA,NA,NA,NA,"US01382445","US01382445_01",NA,"Pteridophyte","Lycopodiales","South America - Neotropics",NA,NA,NA,"1524",NA,NA,NA,"1"
