"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","order","continentOcean","preparationType","barcode","imagecode","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","previousCatalogNumber","sex"
"1","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2423","S","Plantae","Pterifophyta","Dryopteridaceae","Elaphoglossum","cf. strictum","Elaphoglossum cf. strictum","(Raddi) T.Moore","Carlos A. Ferreira Jr.","2012","11","28","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","CAF996","2012","11","28","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, mata do Pico Brumoso","-43.7144012451172","-19.1688995361328","26557","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","3075","S","Plantae","Pteridophyta","Schizaeaceae","Schizaea","elegans","Schizaea elegans","(Vahl) Sw.","Carlos A. Ferreira Jr.","2011","03","20","Carlos Alberto F. Jr.; Fernando Araújo e Willian Millikem","caf244","2011","03","20","Brasil","Minas Gerais","Santana do Pirapama","trilha da cachoeira do quartel",NA,NA,NA,NA,"254",NA,"43°46.513'","18°58.515'","661","661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02724099","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","strictum","Elaphoglossum strictum","(Raddi) T.Moore",NA,NA,NA,NA,"C. Mynssen","1291","2011","10","06","Brazil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina, estrada para pousada dos Veados.","-44.623056","-22.7525",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3013584' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Polypodiales","South America","sheet","NY02724099","NY02724099_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1145056","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","strictum","Elaphoglossum strictum","(Raddi) T.Moore",NA,NA,NA,NA,"M. J. M. Christenhusz","4966","2008","03","08","Brazil","São Paulo","Caraguatatuba","Parque Estadual do Serra do Mar, Núcleo Caraguatatuba. Estrada da Intermediaria, Rio Pardo. (Expedicão científica CNPq Proc. EXC no. 030/07-CR.)","-45.65","-23.67",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301995' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"715","715","Polypodiales","South America","sheet","NY01145056","NY01145056_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","720563","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","strictum","Elaphoglossum strictum","(Raddi) T.Moore","F. B. Matos",NA,NA,NA,"A. Salino","7746","2001","10","30","Brazil","São Paulo","Sao Luís do Paraitinga","Parque Estadual da Serra do Mar, Núcleo Santa Virginia, Trilha da Pirapitinga.","-45.16997","-23.41236",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2517848' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"900","950","Polypodiales","South America","sheet","NY00720563","NY00720563_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02696855","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","strictum","Elaphoglossum strictum","(Raddi) T.Moore",NA,NA,NA,NA,"F. B. Matos","2193","2013","02","10","Brazil","Rio de Janeiro","Itatiaia","Serra da Mantiqueira. Parque Nacional do Itatiaia, trilha para a Cachoeira Véu da Noiva.","-44.6197","-22.4278",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2974373' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1100",NA,"Polypodiales","South America","sheet","NY02696855","NY02696855_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02696793","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","strictum","Elaphoglossum strictum","(Raddi) T.Moore",NA,NA,NA,NA,"F. B. Matos","2254","2013","02","20","Brazil","São Paulo","Cunha","Parque Estadual da Serra do Mar, Nucleo Cunha, Trilha do Rio Parabuina.","-45.0244","-23.2336",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2974267' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1060",NA,"Polypodiales","South America","sheet","NY02696793","NY02696793_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1801241","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","strictum","Elaphoglossum strictum","(Raddi) T.Moore","F. B. Matos",NA,NA,NA,"F. B. Matos","2045","2012","02","08","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Margem do Rio Campo Belo, trilha entre as Churrasqueiras e Lagoa azul.","-44.615","-22.4514",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017736' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"800",NA,"Polypodiales","South America","sheet","NY01801241","NY01801241_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3882613","PreservedSpecimen","Plantae","Pteridophyta","Schizaeaceae","Schizaea","elegans","Schizaea elegans","(Vahl) Sw.",NA,NA,NA,NA,"B. M. Boom","8930","1989","06","29","Guyana",NA,NA,"Upper Potaro River region, Wokomung base camp and vicinity.","-59.83","5.08",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4172142' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1070","1160","Schizaeales","South America","sheet","NY03882613",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3882539","PreservedSpecimen","Plantae","Pteridophyta","Schizaeaceae","Schizaea","elegans","Schizaea elegans","(Vahl) Sw.",NA,NA,NA,NA,"H. F. Pittier","12135","1926","03","15","Venezuela","Aragua",NA,"Valle de En Medio, Chuao.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4172068' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"800","900","Schizaeales","South America","sheet","NY03882539","NY03882539_01",NA,NA,NA,NA,NA,NA,NA
