"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","previousCatalogNumber","dayIdentified","typeStatus","coordinatePrecision","geoFlag","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01805881","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","S. D. Knapp","A. M. Amorim","4978","2005","05","14","South America","Brazil","Bahia","Arataca","Serra do Peito-de-Moça. Estrada que liga Arataca a Una, ramal ca. 22,4 km de Arataca, com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.3417","-15.1736","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2124104' target='other'> <mi>dwc_moreinfo</mi></a>","NY01805881","NY01805881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01805867","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","S. D. Knapp","M. M. M. Lopes","548","2006","02","15","South America","Brazil","Bahia","Arataca","Serra do Peito de Moça - Serra das Lontras. Estrada Arataca - Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio RPPN Caminho das Pedras","-39.3417","-15.1736","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2123395' target='other'> <mi>dwc_moreinfo</mi></a>","NY01805867","NY01805867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00852519","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","S. D. Knapp","A. M. Amorim","2351","1998","04","09","South America","Brazil","Bahia","Jussari","Rodovia Jussari-Plamira, Entrada ca 7.5 km de Jussari, FazendaTeimoso, RPPN Serra do Teimoso.","-39.5286","-15.1581","500",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00852519","NY00852519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","669538","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","M. H. Nee","R. M. Silva","862","1993","05","15","South America","Brazil","Rio de Janeiro","Macaé","Forte Marechal Hermes.","-41.7867","-22.3708",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500301' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00852477","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","S. D. Knapp","S. C. de Sant'Ana","1066","2003","03","07","South America","Brazil","Bahia","Boa Nova","Fazenda São José, a 8.8 km de Boa Nova, na estrada para Dario Meira, a 1.4 km do ramal à esq.","-40.1544","-14.4039","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00852477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","684517","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","S. D. Knapp","W. W. Thomas","12602","2001","10","25","South America","Brazil","Bahia","Boa Nova","Fazenda Sao José entrance 8.8 km E of Boa Nova on road to Dario Meira","-40.145367","-14.39383","860","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684517","NY00684517_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00824952","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","S. D. Knapp","J. G. Jardim","1986","1999","02","10","South America","Brazil","Bahia","Una","6 km N do Distrito de Comamdatuba; Faz. [Fazenda] Bolandeira","-39.005","-15.3055556","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00824952","NY00824952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00829372","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","S. D. Knapp","P. Fiaschi","2249","2004","04","04","South America","Brazil","Bahia","Uruçuca","Estrada de Itacaré para Serra Grande, pouco após km 43, ramal à direita após acesso para a cachoeira do Tijuípe. Área explorada do plano de manejo","-39.0792","-14.3867",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00829372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00823682","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","S. D. Knapp","P. Fiaschi","1167","2002","11","16","South America","Brazil","Bahia","Camamu","Proximidades da Praia de Pratigi.","-38.9939","-13.7078","15","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823682","NY00823682_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","669537","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","S. D. Knapp","J. L. Hage","2053","1986","06","05","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra D. Parque Zoobotânico.","-39.22095","-14.7739696","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669537","NY00669537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00669536","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","S. D. Knapp","J. L. Hage","2065","1986","06","10","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra D. Parque Zoobotânico.","-39.22095","-14.7739696","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669536","NY00669536_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-02-10 11:46:00-02","BM","SOLANACEAE_SOURCE_BR","73183","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp",NA,"Giacomin, L.L.; Bohs, L.; Knapp, S.","1975","2013","11","02","Southern America","Brazil","Bahia","Jussari","RPPN Reserva Natural da Serra do Teimoso","-39.532","-15.156611","357","357",NA,"Arbusto ereto, 1,8 m. Flores senescidas. Frutos imaturos verdes; trilha que leva ao alto da serra. Subosque de Floresta Ombrófila Densa com afloramentos graníticos","BM001035177",NA,"Dicotyledoneae","-39.532","-15.156611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-02-10 11:46:00-02","BM","SOLANACEAE_SOURCE_BR","73185","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp",NA,"Giacomin, L.L.; Bohs, L.; Knapp, S.","1979","2013","11","03","Southern America","Brazil","Bahia","Jussari","RPPN Reserva Natural da Serra do Teimoso","-39.538111","-15.157361","611","611",NA,"Arbusto ereto, 1,5 m. Flores com pétalas alvas, estames amarelos; trilha que leva ao alto da serra, ca. 2 km da sede. Subosque de Floresta Ombrófila Densa com afloramentos graníticos",NA,NA,"Dicotyledoneae","-39.538111","-15.157361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-02-10 11:46:00-02","BM","SOLANACEAE_SOURCE_BR","73185","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp",NA,"Giacomin, L.L.; Bohs, L.; Knapp, S.","1979","2013","11","03","Southern America","Brazil","Bahia","Jussari","RPPN Reserva Natural da Serra do Teimoso","-39.538111","-15.157361","611","611",NA,"Arbusto ereto, 1,5 m. Flores com pétalas alvas, estames amarelos; trilha que leva ao alto da serra, ca. 2 km da sede. Subosque de Floresta Ombrófila Densa com afloramentos graníticos","BM001035142",NA,"Dicotyledoneae","-39.538111","-15.157361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-02-10 11:46:00-02","BM","SOLANACEAE_SOURCE_BR","73064","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bahianum","Solanum bahianum","S.Knapp","Knapp, S.","Fiaschi, P.; Paixão, J.L.; Paixão, L.L.; Clifton, B.C.","1167","2002","11","16","Southern America","Brazil","Bahia","Camamú","Praia de Pratigi, proximidades","-39.001111","-13.713056","15","20",NA,"arbusto ca. 2.5 m; flores creme-esvereadas",NA,NA,"Dicotyledoneae","-39.001111","-13.713056","2013","11","94410",NA,NA,NA,NA,NA,NA,NA
