"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","county","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00916261","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson","C. E. Anderson","P. W. Richards","6429","1968","07","14","South America","Brazil","Mato Grosso","Plot 3, P/C transect, Xavantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916261","NY00916261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00916260","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson","C. E. Anderson","H. S. Irwin","17439","1966","06","19","South America","Brazil","Mato Grosso","Ca. 70 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916260","NY00916260_01","-52.25","-15.27","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00916259","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson","C. E. Anderson","H. S. Irwin","16778","1966","06","08","South America","Brazil","Mato Grosso","Xavantina. Drainage of the Upper Rio Araguaia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916259","NY00916259_01","-52.33","-14.6667","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","67702","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson","C. E. Anderson","H. S. Irwin","16860","1966","06","10","South America","Brazil","Mato Grosso","Drainage of the upper Rio Araguaia. ca. 15 km S of Xavatina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067702","NY00067702_01","-52.353099822998","-14.6732997894287","400","400","isotype","Nova Xavantina","79739","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00916262","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson","C. E. Anderson","J. A. Ratter","R.112","1967","07","16","South America","Brazil","Mato Grosso","c. 3 km S of Xavantina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986930' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916262","NY00916262_01","-52.33","-14.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:32:53-03","MBM","MBM","76982","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E. Anderson",NA,"Irwin, H.S.; Souza, R.; Grear, J.W.; Reis dos Santos, R.; Souza, R.; Grear, J.W.; Reis dos Santos, R.","16860","1966","06","10","Southern America","Brazil","Mato Grosso","Ca 15 km S of Xavantina",NA,"Subshrub ca. 2m tall. Calyx glands green; corolla yellow. Sandy cerrado.; Subshrub ca. 2m tall. Calyx glands green; corolla yellow.; Sandy cerrado.","MBM076982","MBM076982",NA,NA,"400","400","ISOTYPE","Xavantina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-05 08:29:11-03","MNHN","RECOLNAT_MNHN_P","P05530410","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson",NA,"Richards, P.W.",NA,"1968","7","14",NA,"Brasil","Mato Grosso","Plot 3, P/c transect, Xavantina.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05530410' target='other'> <mi>dwc_moreinfo</mi></a>","P05530410","P05530410_01","-52.23333","-14.63333",NA,NA,NA,NA,NA,NA,"6429",NA,NA,NA,NA,NA,NA
"8","2009-07-17 14:12:00-03","MO","MOBOT","1844522","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E. Anderson",NA,"Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 16860","1966","6","10","South America","Brazil","Mato Grosso","Drainage of the upper Rio Araguaia. Sandy cerrado, ca. 15 km. S. of Xavantina.",NA,NA,NA,NA,NA,NA,"400.00000000",NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3081784","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E. Anderson",NA,"H. S. Irwin","16860","1966","6","10","South America - Neotropics","Brazil","Mato Grosso","15 km S of Xavantina.",NA,NA,"US00108595","US00108595_01",NA,NA,"400","400","Isotype",NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA
"10","2020-09-02 16:32:23-03","Cenargen","CEN","24932","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson","C. Anderson","Taciana Barbosa Cavalcanti","1472","1995","07","20",NA,"Brasil","GO","Estrada de acesso à barra do rio Bagagem com o rio Tocantinzinho.","Exsicatas","Glândulas verdes. Exsicata com mistura de materiais. Planta B: Heteropterys cochleosperma A.Juss. Det: C. Pessoa X/2019.","CEN00024932","CEN00024932","48.2833333","-14.016666","360","360",NA,"NIQUELANDIA",NA,NA,NA,NA,"2","2000","08","48.2833333","-14.016666"
"11","2020-10-26 09:32:28-03","UNEMAT","NX-FANEROGAMAS","1735","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson","Candida M.",NA,"19","1999","05","20",NA,"Brasil","Mato Grosso","Campus da UNEMAT. Estação Mário Viana. Trilha do Pequi.",NA,"[HABITAT=Cerrado]",NA,NA,"-52.353099822998","-14.6732997894287",NA,NA,NA,"Nova Xavantina","79739","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-10-26 09:32:28-03","UNEMAT","NX-FANEROGAMAS","1738","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson","Freitas G.P.",NA,"42","2001","05","02",NA,"Brasil","Mato Grosso","Parque do Bacaba. No interior do Campus da UNEMAT.",NA,"[HABITAT=Cerrado]",NA,NA,"-52.353099822998","-14.6732997894287",NA,NA,NA,"Nova Xavantina","79739","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-10-26 09:32:28-03","UNEMAT","NX-FANEROGAMAS","1736","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson","Freitas G.P.",NA,"38","2001","05","02",NA,"Brasil","Mato Grosso","Parque do Bacaba. No interior do Campus da UNEMAT.",NA,"[HABITAT=Cerrado]",NA,NA,"-52.353099822998","-14.6732997894287",NA,NA,NA,"Nova Xavantina","79739","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-10-26 09:32:28-03","UNEMAT","NX-FANEROGAMAS","1737","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","psilophylla","Peixotoa psilophylla","C.E.Anderson","Freitas G.P.",NA,"39","2001","05","02",NA,"Brasil","Mato Grosso","Parque do Bacaba. No interior do Campus da UNEMAT.",NA,"[HABITAT=Cerrado]",NA,NA,"-52.353099822998","-14.6732997894287",NA,NA,NA,"Nova Xavantina","79739","auto",NA,NA,NA,NA,NA,NA,NA
