"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","886665","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida","Alston","R. Y. Hirai","F. B. Matos","826","2005","10","06","South America","Brazil","Paraná","Antonina","Reserva Natural Rio Cachoeira (SPVS). Trilha do Corvo.","-48.68","-25.3","60","60","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886665","NY00886665_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02704007","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida","Alston",NA,"J. R. Pirani","6136","2011","01","22","South America","Brazil","Espírito Santo","Santa Teresa","Nova Valsugana, ES-080- estrada não pavimentada para Senta Leopoldina, ca. 1 km do entroncamento com a ES-261.","-40.53","-19.97","600",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989584' target='other'> <mi>dwc_moreinfo</mi></a>","NY02704007","NY02704007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-05-17 10:21:00-03","NY","NYBG","02687342","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida",NA,NA,"R. Engelmann","RE1257","2010","11","26","South America","Brazil","Rio de Janeiro","Cachoeiras de Macacu","Reserva Ecológica de Guapiaçu. Trilha verde. Parque Estadual dos Três Picos","-42.736667","-22.4025",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962825' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687342","NY02687342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","807195","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida","Alston","I. A. Valdespino","L. Sylvestre","664","1991","11","21","South America","Brazil","Rio de Janeiro","Magé","Cachoeiras de Macacu, Estação Ecológica Estadual de Paraíso. Trilha para a Serra Queimada.","-43.040599822998","-22.6527996063232",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807195","NY00807195_01","20531","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02425743","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida","Alston",NA,"J. Prado","327","1990","08","15","South America","Brazil","São Paulo","Iguape","Iguape, Reserva Ecologica da Jureia, trilha na margem do Rio Verde.","-47.5499992370605","-24.7000007629395",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2711638' target='other'> <mi>dwc_moreinfo</mi></a>","NY02425743","NY02425743_01","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02425723","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida","Alston",NA,"S. Aragaki","69","1993","05","12","South America","Brazil","São Paulo","Sete Barras","Fazenda Intervales, Base Saibadela, trilha para Base do Quilombo","-47.9199981689453","-24.3799991607666",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2711573' target='other'> <mi>dwc_moreinfo</mi></a>","NY02425723","NY02425723_01","34059","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2480387","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida","Alston",NA,"L. Sylvestre","664","1991","11","21","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Trilha para a Serra Queimada.","-42.88333","-22.48333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2706384' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480387","NY02480387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:58-03","UFRJ","RFA","10438","PreservedSpecimen","Plantae",NA,NA,"Selaginellaceae","Selaginella","valida","Selaginella valida","Alston","A. Sehnem","G.G. Hatschbach","23778","1970","02","18",NA,"Brasil","Mato Grosso do Sul","Aquidauana","Piraputanga","-55.7872009277344","-20.4710998535156",NA,NA,NA,NA,"RFA55619",NA,"212961","auto","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:58-03","UFRJ","RFA","24968","PreservedSpecimen","Plantae",NA,NA,"Selaginellaceae","Selaginella","valida","Selaginella valida","Alston","C. M. Mynssen","F. de B. Pereira","19/22","2000","07","18",NA,"Brasil","Rio de Janeiro","Guapimirim","Fazenda São Francisco de Paula","-42.9818992614746","-22.5372009277344","38","38",NA,"Herbáceo, folha verde, abundante no local","RFA30020",NA,"21463","auto","2001","01","10",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 09:58:48-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","20164","S","Plantae","Tracheophyta","Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida","Alston","Athayde, F.P.F.","Athayde, F.P.F.","231","1997","08","02","América do Sul","Brasil","São Paulo","Mongaguá","cachoeira da região","-46.6199989318848","-24.0799999237061",NA,NA,NA,"GEOGRAFIA: planta muito comum, no solo, interior da mata e próximo à corredeira;",NA,NA,"12311","auto",NA,NA,NA,"Lycopodiopsida",NA,NA,NA,NA,NA,NA,NA
"11","2021-04-08 20:48:28-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","14200","S","Plantae","Tracheophyta","Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida","Alston","Hirai, R.Y.","Athayde, F.P.F.","103","1997","02","10","América do Sul","Brasil","São Paulo","Mongaguá","na encosta do morro","-46.6199989318848","-24.0799999237061",NA,NA,NA,"GEOGRAFIA: terrestre, junto ao caule de uma grande árvore;",NA,NA,"12311","auto",NA,NA,NA,"Lycopodiopsida",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:42:12-03","NBC","NL-BOTANY","U.1033828","PreservedSpecimen","Plantae",NA,"Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida","Alston",NA,"Mosén CWH",NA,"1875","05","05","Southern America","Brazil",NA,NA,"PRov. S. Paulo: Santos.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1033828 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1033828","NL-U1033828",NA,NA,NA,NA,NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:19:45-03","ESALQ","ESA","61866","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Selaginellaceae","Selaginella","valida","Selaginella valida",NA,"Hiroi, R.Y","Kozera, C. et al.","779.0","1999","01","12",NA,"Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,"ESA061866",NA,"34059","auto","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-30 10:38:00-03","IAP","PACA-AGP","77395","PreservedSpecimen","Plantae","Pteridophyta","Selaginellales","Selaginellaceae","Selaginella","valida","Selaginella valida","Alston","A. Sehnem SJ","Hatschbach, G.","23231","1969","12","14",NA,"Brasil","PR","Morretes","Rio Mae Catira","-48.834400177002","-25.476900100708",NA,NA,NA,"Habitat: interior sombrio mata pluvial","PACA077395",NA,"30514","auto","1981",NA,NA,"Lycopodiopsida",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:19:27-03","UFV","VIC","017918","PreservedSpecimen","Plantae",NA,NA,"Selaginellaceae","Selaginella","valida","Selaginella valida","Alston",NA,"Da Silva, A.F.","1942","1997","03","04",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"VIC017918","VIC017918","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 14:50:32-03","UFJF","CESJ","1300","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Selaginellaceae","Selaginella","valida","Selaginella valida","A.H.G. Alston","G. Heringer","L. Krieger","CESJ1300","1946","12","29","América do Sul","Brasil","Espirito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863",NA,NA,NA,"erva rasteira da mata úmida. Sobre pedras.","CESJ001300","CESJ001300 CESJ001300_1","48150","auto","2010","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:44:04-03","UNICAMP","UEC","107563","S","Plantae","Pteridophyta",NA,"Selaginellaceae","Selaginella","valida","Selaginella valida","Alston","Hirai, RY","Kozera, C; Vanini, A; Hayashi, AH; Lima, CBK","779","1999","01","12",NA,"Brazil","São Paulo","Sete Barras","Fazenda Intervales, Núcleo Saibadela. Trilha da encosta, atrás de pesquisa, no trecho de floresta ombrófila densa, de terras baixas. Terreno pouco reclivoso.","-48.214167","-24.225278",NA,NA,NA,"Erva terrestre.; Floresta ombrófila densa, no subosque.","UEC067158","UEC067158",NA,NA,"2008",NA,NA,NA,"-48.214167","-24.225278",NA,NA,NA,NA,NA
