"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","order","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:39:17-03","E","E","134670","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala","B.Dubs & E.L.Egewarth","2320","1996","11","29","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143111","<a href=http://data.rbge.org.uk/herb/E00134670 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:17-03","E","E","134671","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala","Dubs, Balthasar","2239","1996","11","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143110","<a href=http://data.rbge.org.uk/herb/E00134671 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:17-03","E","E","190810","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala","Pennington, R.T.; Monro, A.K.; Daza, A.","3925","2002","11","03","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:213797","<a href=http://data.rbge.org.uk/herb/E00190810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00190810","Departamento Apurímac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:17-03","E","E","134672","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala","Dubs, Balthasar","2005","1995","12","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143107","<a href=http://data.rbge.org.uk/herb/E00134672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1146158","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala","D. Sasaki","1189","2006","12","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1332083' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146158","Mato Grosso","Magnoliophyta","Malpighiales","Pohl","M. F. A. Lucena","Alta Floresta","Propriedade particular de preservação ambiental delimitada pela Parque Estadual do Cristalino e pelos rio sTeles Pires e Cristalino.","-55.91833","-9.58375","301","301","NY01146158_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","230295","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala pavoniana","M. H. Nee","47858","1998","01","09","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=69341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230295","Santa Cruz","Magnoliophyta","Malpighiales","(Müll.Arg.) D.J.Rogers & Appan","M. H. Nee","Florida","Easternmost rocky foothills of the Andes, above narrowest point at La Angostura on highway from Santa Cruz to Samaipata.","-63.52","-18.17","700","800",NA,"pavoniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1065291","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala pubescens","W. R. Anderson","7373","1973","03","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226150' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065291","Goiás","Magnoliophyta","Malpighiales","(Pohl) D.J.Rogers & Appan","G. L. Webster","Teresina de Goiás","Chapada dos Veadeiros, 4 km by road S of Terezina.","-47.2647","-13.81255","1000","1000","NY01065291_01","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","818136","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala pubescens","H. S. Irwin","19200","1968","01","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818136","Goiás","Magnoliophyta","Malpighiales","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","Cocalzinho de Goiás","75 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.63","-15.35","700","700","NY00818136_01","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1027093","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala","E. P. Heringer","17614","1980","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132155' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027093","Minas Gerais","Magnoliophyta","Malpighiales","Pohl","J. M. Mendoza F.","Paracatu",NA,"-46.8744","-17.2222",NA,NA,"NY01027093_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1552389","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala","P. Clausen","s.n.","1840",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1941474' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552389","Minas Gerais","Magnoliophyta","Malpighiales","Pohl","D. J. Rogers",NA,NA,NA,NA,NA,NA,"NY01552389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1028385","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala pubescens","H. S. Irwin","14004","1966","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180999' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028385","Distrito Federal","Magnoliophyta","Malpighiales","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","Brasília","Côrrego Landim, ca. 25 km N. of Brasília","-47.91666667","-15.5575","950","950","NY01028385_01","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1065569","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala","L. M. M. Carreira","790","1983","05","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235965' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065569","Mato Grosso","Magnoliophyta","Malpighiales","Pohl","J. M. Mendoza F.","Vila Bela de Santíssima Trindade","Km 23 de Vila Bela, caminho da Cachoeira.",NA,NA,NA,NA,"NY01065569_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1028384","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala pubescens","H. S. Irwin","14004","1966","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180995' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028384","Distrito Federal","Magnoliophyta","Malpighiales","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","Brasília","Côrrego Landim, ca. 25 km N. of Brasília","-47.91666667","-15.5575","950","950","NY01028384_01","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1550665","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala","G. G. Hatschbach","60347","1994","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1825048' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550665","Tocantins","Magnoliophyta","Malpighiales","Pohl","A. C. Allem","Arraias","Rodovia Campos Belos a Taguatinga, 5 km N de Novo Alegre","-46.9381","-12.9317",NA,NA,"NY01550665_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1550688","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala pubescens","H. S. Irwin","10344","1965","11","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1825149' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550688","Goiás","Magnoliophyta","Malpighiales","(Pohl) D.J.Rogers & Appan","D. J. Rogers; S. G. Appan","Cabeceiras","Serra do Rio Preto, ca. 14 km E. of Cabeceiras","-46.85263","-15.8","1000","1000","NY01550688_01","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1028375","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","anomala","Manihot anomala","J. C. Gomes","2273","1964","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180547' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028375","Mato Grosso do Sul","Magnoliophyta","Malpighiales","Pohl","I. Cordeiro","Três Lagoas","Fazenda do Dr. José Mendes, margem esquerda do Sucuriú","-51.6781","-20.7511",NA,NA,"NY01028375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
