"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","county","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","58652","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","affinis","Stenopadus affinis","Maguire, Steyerm. & Wurdack","isotype","J. A. Steyermark","75110","1953","04","18","South America","Venezuela","Bolívar","Chimantá Massif: between Camp 2 and Camp 3, northwestern part of Abácapa-tepuí","850","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=716373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058652","NY00058652_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 18:26:00-02","NY","NYBG","02100148","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","cardonae","Stenopadus cardonae",NA,NA,"F. Cardona Puig","1181","1945","04","01","South America","Venezuela",NA,"Cerro Arepuchi, Río Caroní (Guayana)","600","800","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2272861' target='other'> <mi>dwc_moreinfo</mi></a>","NY02100148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-21 18:26:00-02","NY","NYBG","58637","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","cardonae","Stenopadus cardonae",NA,"holotype","F. Cardona Puig","1181","1945","04","01","South America","Venezuela",NA,"Cerro Arepuchi, Río Caroní (Guayana)","600","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058637","NY00058637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 18:26:00-02","NY","NYBG","58638","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","cardonae","Stenopadus cardonae",NA,NA,"F. Cardona Puig","1181","1945","04","01","South America","Venezuela",NA,"Cerro Arepuchi, Río Caroní (Guayana)","600","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058638","NY00058638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01214440","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","cardonae","Stenopadus cardonae","Maguire & Lasser",NA,"G. T. Prance","9918","1969","02","14","South America","Brazil","Roraima","Serra dos Surucucus","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1340334' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214440","NY01214440_01","H. Robinson","-63.55","2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 08:03:00-03","NY","NYBG","58645","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","eurylepis","Stenopadus eurylepis",NA,"holotype","G. H. H. Tate","935","1928","08",NA,"South America","Venezuela","Amazonas","Slopes of Mount Duida: Aguita","944.9","944.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=23188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058645","NY00058645_01 NY00058645_02 NY00058645_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","58654","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","neblinensis","Stenopadus neblinensis","Maguire & Wurdack","isotype","B. Maguire","42516","1957","12","25","South America","Venezuela","Amazonas","Cerro de Neblina, Río Yatua, summit: along Cañon Grande south southwest of Cumbre Camp","1050","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058654","NY00058654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","58653","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","neblinensis","Stenopadus neblinensis","Maguire & Wurdack","holotype","B. Maguire","42516",NA,NA,NA,"South America","Venezuela","Amazonas","Cerro de Neblina, Río Yatua, summit: along Cañon Grande south southwest of Cumbre Camp","1050","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058653","NY00058653_01 NY00058653_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","58657","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","steyermarkii","Stenopadus steyermarkii","Aristeg.","isotype","J. A. Steyermark","93808","1964","05","12","South America","Venezuela","Bolívar","Auyan-tepuí: cumbre de la parte norte de la sección sur (división occidental del cerro): a lo largo del Río Churún al pie de Second Wall de arenisca, desde el campamento norte, 5 km. hacia el noreste.","1660","1660","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058657","NY00058657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 08:03:00-03","NY","NYBG","58660","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","talaumifolius","Stenopadus talaumifolius",NA,"holotype","G. H. H. Tate","759","1928","08",NA,"South America","Venezuela","Amazonas","Summit of Mount Duida","1341.1","1341.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=728390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058660","NY00058660_01 NY00058660_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
