"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","00918642","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Droseraceae","Drosera","graomogolensis","Drosera graomogolensis","T.R.S.Silva","J. A. Kallunki","B. Maguire","49217","1960","08","16","South America","Brazil","Minas Gerais","Serra Grao Mogul, north base of mountain","600","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918642","NY00918642_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00918667","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Droseraceae","Drosera","graomogolensis","Drosera graomogolensis","T.R.S.Silva","P. M. Gonella","T. B. Cavalcanti","8510","1985","09","05","South America","Brazil","Minas Gerais","Jambeiro á 7 km de Grao Mogol",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918667","NY00918667_01","Grão Mogol","-42.8894","-16.5594",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00918643","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Droseraceae","Drosera","graomogolensis","Drosera graomogolensis","T.R.S.Silva","T. R. S. Silva","H. S. Irwin","23452","1969","02","17","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 16 km west of Grão Mogol","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918643","NY00918643_01","Cristália","-42.98155","-16.6439",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:30:06-03","UFRJ","RFA","5843","PreservedSpecimen","Plantae",NA,NA,"Droseraceae","Drosera","graomogolensis","Drosera graomogolensis","T.Silva","F. Rivadavia-Lopes","Mendes Magalhães","18091",NA,NA,NA,NA,"Brasil","Minas Gerais","Serra do Grão Mogol",NA,NA,NA,NA,"RFA30500",NA,"Minas Gerais",NA,NA,"2000","11","08",NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:13:40-03","UFBA","ALCB","104511","PreservedSpecimen","Plantae","Dicotyledon",NA,"Droseraceae","Drosera","graomogolensis","Drosera graomogolensis","T. Silva","Gonella, PM","Santos, JFS; Rivadavia-Lopes, R; Silva, NG; Gonella, PM; et al.","24","2011","09","06","Southern America","Brasil","Minas Gerais","Na margem direita do Rio do Peixe","790","790",NA,"Ervas vermelhas, face abaxial das folhas cobertas por tricomas brancos, corola rosa.; Crescendo em solo arenoso úmido em ilhas de vegetação e sobre areia com Sphagnum sp. Simpátrica com Genlisea spp., Utricularia spp., e outras Drosera spp.",NA,NA,"Botumirim","-43.008056","-16.919167","2011","09",NA,"-43.008056","-16.919167",NA,NA,NA,NA
"6","2019-10-09 11:13:40-03","UFBA","ALCB","104512","PreservedSpecimen","Plantae","Dicotyledon",NA,"Droseraceae","Drosera","graomogolensis","Drosera graomogolensis","T. Silva","Gonella, PM","Santos, JFS; Rivadavia-Lopes, R; Silva, NG; Gonella, PM; et al.","25","2011","09","07","Southern America","Brasil","Minas Gerais","Estrada Grão Mogol-Montes Claros, km 48, em região brejosa descendo do Morro do Jambeiro","730","730",NA,"Ervas vermelhas com tricomas brancos na face abaxial das folhas, corola rosa.; Crescendo e solo arenoso brejoso entre gramínea. Simpátrica com Utricularia spp., Genlisea aurea, e outras Drosera spp.",NA,NA,"Grão Mogol","-42.915","-16.588889","2011","09",NA,"-42.915","-16.588889",NA,NA,NA,NA
"7","2019-10-09 11:13:40-03","UFBA","ALCB","104514","PreservedSpecimen","Plantae","Dicotyledon",NA,"Droseraceae","Drosera","graomogolensis","Drosera graomogolensis","T. Silva","Gonella, PM","Santos, JFS; Rivadavia-Lopes, R; Silva, NG; Gonella, PM; et al.","27","2011","09","07","Southern America","Brasil","Minas Gerais","Capim Puba, Fazenda do Seu Zezito, na beira da estrada de terra","790","790",NA,"Ervas vermelhas com tricomas brancos na face abaxial das folhas, corola rosa.; Crescendo em solo seco entre gramíneas esparsas.",NA,NA,"Grão Mogol","-43.003889","-16.658333","2011","09",NA,"-43.003889","-16.658333",NA,NA,NA,NA
"8","2020-04-27 16:09:29-03","UFES","VIES","12441","S","Plantae",NA,NA,"Droseraceae","Drosera","graomogolensis","Drosera graomogolensis","T.Silva","Gonella, P.M.","Santos, J.F.S.; Rivadavia, F.; Silva, N.G.; Gonella, P.M.; et al.","25","2011","09","07",NA,"Brasil","Minas Gerais","Estrada Grão Mogol - Montes Claros.","730","730",NA,NA,"VIES012441","VIES012441","Grão Mogol","-42.8897018432617","-16.5594005584717","2011","09",NA,NA,NA,"67219","auto",NA,NA
"9","2020-12-11 11:34:57-03","UFMG","BHCB","200743","PreservedSpecimen","Plantae","Dicotyledon",NA,"Droseraceae","Drosera","graomogolensis","Drosera graomogolensis","T.Silva",NA,"Gonella, PM; Rivadavia, F; Silva, NG; Santos, JFS; Peres Júnior, AK; Rorbacher, CL","478","2011","09","06","Southern America","Brasil","Minas Gerais","Margem direita do Rio do Peixe.","790","790",NA,"Ervas vermelhas, face abaxial das folhas cobertas por tricomas brancoas, corola rosa.; Crescendo em solo arenoso úmido em ilhas de vegetação e sobre areia com Sphagnum sp. Campo rupestre, afloramentos de quartzito.","BHCB200743","BHCB200743","Botumirim","-43.008028","-16.919056","2013",NA,NA,"-43.008028","-16.919056",NA,NA,NA,NA
"10","2020-12-11 11:34:57-03","UFMG","BHCB","39828","PreservedSpecimen","Plantae","Dicotyledon",NA,"Droseraceae","Drosera","graomogolensis","Drosera graomogolensis","T.Silva",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
