"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","650298","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira","L. G. Clark","Y. E. J. Mexia","4018","1929","11","25","South America","Brazil","Espírito Santo","Serra da Caparaó","-41.80119","-20.445165","2650","2650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650298","NY00650298_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00861901","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira","L. G. Clark","A. C. Brade","17009","1941","09","24","South America","Brazil","Minas Gerais","Serra do Caparaó. Pico dos Cristais","-41.8122306","-20.4441481",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861901","NY00861901_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00861900","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira",NA,"L. G. Clark","702","1990","02","23","South America","Brazil","Minas Gerais","Parque Nacional do Caparaó, trail to Pico de Bandeira","-41.82","-20.45","2110","2110","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861900","NY00861900_01","Caparaó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","651034","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira",NA,"L. G. Clark","702","1990","02","23","South America","Brazil","Minas Gerais","Parque Nacional do Caparaó, trail to Pico de Bandeira","-41.82","-20.45","2110","2110","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651034","NY00651034_01","Caparaó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:53:12-03","EAO","IAN","63060","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira","Clark, LG","Drummond, RB","s.n.","1941","07","10","Southern America","Brasil","Minas Gerais","E.S.A.V. 3315.",NA,NA,NA,NA,NA,NA,"IAN063060","IAN063060 IAN063060_e IAN063060_e1",NA,"2015","07","09",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:53:12-03","EAO","IAN","66750","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira","Clark, LG","Brade, AK","17009","1941","09","24","Southern America","Brasil","Minas Gerais","Serra do Caparaó, Pico Cristal.",NA,NA,NA,NA,NA,NA,"IAN066750",NA,NA,"2015","07","09",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:40-03","PUCPR","HUCP","24087","S","Plantae","Monocotiledonea",NA,"Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira.",NA,"Bolson, H","085","2007","12","19",NA,"Brasil","Paraná",NA,"-54.5881004333496","-25.5478000640869",NA,NA,NA,NA,"HUCP00006631","HUCP00006631","Foz do Iguaçu",NA,NA,NA,"39570","auto",NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:40-03","PUCPR","HUCP","19426","S","Plantae","Monocotiledonea",NA,"Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira.",NA,"Bolson, M","085","2007","12","19",NA,"Brasil","Paraná","Refúgio Biológico Bela Vista","-54.5881004333496","-25.5478000640869",NA,NA,NA,NA,NA,NA,"Foz do Iguaçu",NA,NA,NA,"39570","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:18:36-03","ESALQ","ESA","69990","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Chusquea","baculifera","Chusquea baculifera","Alv. Silv.","Krieger, L.","Krieger, L. et al.",NA,"1977","09","29",NA,"Brasil","Minas Gerais",NA,"-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"ESA069990","ESA069990","Caparaó",NA,NA,NA,"15056","auto",NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:18:36-03","ESALQ","ESA","69980","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Chusquea","baculifera","Chusquea baculifera","Alvaro da Silveira","Krieger, L.","Krieger, L.",NA,"1977","09","28",NA,"Brasil","Minas Gerais",NA,"-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"ESA069980","ESA069980","Caparaó",NA,NA,NA,"15056","auto",NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:18:55-03","UFV","VIC","045108","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira",NA,"Costa, C.J.; et al.","65","2015","08","16",NA,NA,NA,"Campo de altitude.",NA,NA,NA,NA,NA,"Bambu ereto de cerca de 3 m de altura, entrenós de ca de 5 cm de comprimento. florido.","VIC045108","VIC045108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:18:55-03","UFV","VIC","2919","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira","Clark, L.G.","Chase, A.","10095","1929","11","26",NA,"Brasil","Minas Gerais","Santa Bárbara do Caparaó, Campo.",NA,NA,NA,NA,NA,"Abundantemente em flores.","VIC002919","VIC002919",NA,"2002","03","06",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:18:55-03","UFV","VIC","3315","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Chusquea","baculifera","Chusquea baculifera","Silveira","Clark, L.G.","Drummond, O.A.","s.n.","1941","07","10",NA,"Brasil",NA,"Pico do Calçado, Alto da Serra. Úmido. Campo rochoso.",NA,NA,NA,NA,NA,"Flor roxa.","VIC003315","VIC003315",NA,"2002","03","06",NA,NA,NA,NA,NA,NA,NA,NA
