"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","616884","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","stictophylla","Neomitranthes stictophylla","(G.M.Barroso & Peixoto) M.C.Souza","S. C. de Sant'Ana","354","1993","07","28","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Iléus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616884","NY00616884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01538522","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","stictophylla","Neomitranthes stictophylla","(G.M.Barroso & Peixoto) M.C.Souza","G. T. Prance","6038","1968","07","15","South America","Brazil","Rondônia",NA,"Basin of Rio Madeira. Trail from W. bank of Rio Madeira, 2km. below mouth of Rio Abunã","-65.45147","-9.654832","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792491' target='other'> <mi>dwc_moreinfo</mi></a>","NY01538522","NY01538522_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:21:42-03","UFBA","ALCB","129625","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Plinia","stictophylla","Plinia stictophylla","Barroso & Peixoto","Folli, DA","4881","1999","02","09","Southern America","Brasil","Espírito Santo","Linhares","Reserva Naturalda CVRD. Estrada Farinha Seca, Km 4,1. RFL-001/80 Bloco E.","-40.0722007751465","-19.3910999298096",NA,"forma do fuste cilíndrico, superfície da casca áspera, flores brancas, cor da exsudação: incolor, ca 13 metros, altura do fuste: 08, CAP do fuste: 61, diâmetro da Copa: 6, exsudação: seiva, descamação: ausente.; Mata de Tabuleiro.","ALCB047275","ALCB047275","Souza, MC","2005","11","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-24 17:09:37-03","UFES","SAMES","4177","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Neomitranthes","stictophylla","Neomitranthes stictophylla","(G.M.Barroso & Peixoto) M.C.Souza.","Ribeiro,M.; Fanticelle,B.S.","700","2011","12","02",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Coletado próximo a estrada de chão que dá acesso a sede da reserva.","-39.7322006225586","-18.5932998657227",NA,"Tronco pouco fissurado, fruto verde com partes roxeadas e roxo muito escuro quando maduro. Habito: Árvore","SAMES04177",NA,"Souza,M.C.","2011","12","41644","auto","16","-398050000.0","-182625000.0",NA,NA,NA,NA,NA
"5","2020-04-27 16:10:50-03","UFES","VIES","22686","S","Plantae",NA,NA,"Myrtaceae","Plinia","stictophylla","Plinia stictophylla","Barroso & Peixoto","Gomes, J.M.L.","3744","2011","04","23",NA,"Brasil","Espírito Santo","Linhares","Flona de Goytacazes.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES022686","VIES022686","Gomes, J.M.L.","2011","04","48094","auto","23",NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:31:39-03","UFRRJ","RBR","44414","S","Plantae",NA,NA,"Myrtaceae","Neomitranthes","stictophylla","Neomitranthes stictophylla","(G.M.Barroso & Peixoto) M.C.Souza.","G.L. Farias","465","1991","08","17",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale - ES - BRASIL. Coleta de fruto DAF. 388 e DAF. 823","-39.942778","-19.119167",NA,NA,"RBR00044414","RBR00044414","M.C. Souza","2015","07",NA,NA,"01","39º56'34''W","19º7'9''S","38","38",NA,NA,NA
"7","2020-06-29 09:31:39-03","UFRRJ","RBR","44437","S","Plantae",NA,NA,"Myrtaceae","Neomitranthes","stictophylla","Neomitranthes stictophylla","(G.M.Barroso & Peixoto) M.C.Souza.","G.S. Siqueira","1225","2017","12","12",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural do Vale - LINHARES - ES - BRASIL. Trilha do Pequi Vinagreiro.","-40.070556","-19.153333",NA,NA,"RBR00044437","RBR00044437","G.S. Siqueira","2017","12",NA,NA,"14","40º4'14''W","19º9'12''S",NA,NA,NA,NA,NA
"8","2020-06-29 09:31:39-03","UFRRJ","RBR","44441","S","Plantae",NA,NA,"Myrtaceae","Neomitranthes","stictophylla","Neomitranthes stictophylla","(G.M.Barroso & Peixoto) M.C.Souza.","D.A. Folli","7293","2014","11","03",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural do Vale - Linhares - ES - BRASIL Estrada: Jacarandá 3080 (m)","-39.943056","-19.119722",NA,NA,"RBR00044441","RBR00044441","M.C. Souza","2015","07",NA,NA,"01","39º56'35''W","19º7'11''S","32","32",NA,NA,NA
"9","2020-06-18 10:58:15-03","UFRRJ","RBR","45435","S","Plantae",NA,NA,"Myrtaceae","Neomitranthes","stictophylla","Neomitranthes stictophylla","(G.M.Barroso & Peixoto) M.C.Souza.","M.C. Souza; G. Siqueira","572","2008","01","11",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale (CVRD). Estrada Jacarandá, Km 3,072.","-39.942778","-19.119167",NA,NA,"RBR00045435","RBR00045435",NA,NA,NA,NA,NA,NA,"39º56'34''W","19º7'9''S",NA,NA,NA,NA,NA
"10","2020-06-18 10:58:15-03","UFRRJ","RBR","46806","S","Plantae",NA,NA,"Myrtaceae","Neomitranthes","stictophylla","Neomitranthes stictophylla","(G.M.Barroso & Peixoto) M.C.Souza.","M.C. Souza; V. Staggemeier, T. Silva","1129","2012","10","30",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Jacarandá Km3.","-39.943056","-19.119444",NA,NA,"RBR00046806","RBR00046806",NA,NA,NA,NA,NA,NA,"39º56'35''W","19º7'10''S","60","60",NA,NA,NA
