"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02098704","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Pleopeltis","monoides","Pleopeltis monoides","(Weath.) Salino","F. B. Matos","W. W. Thomas","14211","2004","09","21","South America","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9.6 km NNW of Camacan on road to Jacareci and Jussari; then 6 km up road to Serra Bonita.","-39.5653","-15.3914","820","820","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828248' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098704","NY02098704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","814600","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Pleopeltis","monoides","Pleopeltis monoides","(Weath.) Salino",NA,"T. S. dos Santos","844","1970","05","22","South America","Brazil","Bahia","Camacan","Camacan BR 101.","-39.49","-15.41",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814600","NY00814600_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","814598","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Pleopeltis","monoides","Pleopeltis monoides","(Weath.) Salino",NA,"A. M. Amorim","2471","1998","08","13","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7.5 km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso.","-39.5286111","-15.1580556",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814598","NY00814598_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1015876","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Pleopeltis","monoides","Pleopeltis monoides","(Weath.) Salino",NA,"F. B. Matos","281","2005","02","02","South America","Brazil","Bahia","Camacan","Fazenda Serra Bonita, 9.7 km W de Camacã na estrada para Jacareci, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917","835","835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115066' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015876","NY01015876_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","814599","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Pleopeltis","monoides","Pleopeltis monoides","(Weath.) Salino",NA,"R. S. Pinheiro","352","1967","11","07","South America","Brazil","Bahia","Itapebi","Itapebi, Fazenda Lombardia.","-39.524762","-15.872865",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814599","NY00814599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:26:06-03","UFBA","ALCB","034887","PreservedSpecimen","Plantae","Fern",NA,"Polypodiaceae","Polypodium","monoides","Polypodium monoides","Weath.","Matos, FB","Amorim, AMA; Leme, EMC; Hahoum, P; Mattos Silva, LA","1673","1995","04","07","Southern America","Brasil","Bahia","Una","Estrada São José-Una, Km 9. Ramal a direita a partir de São José.","-39.066667","-15.283333",NA,NA,NA,"Sob rochas no interior da mata. Frondes esverdeadas recobertas de pêlos castanhos. Soros marrons. Frequente.; Mata Higrófila Sul Baiana.","ALCB009629","ALCB009629","2007","09","-39.066667","-15.283333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:19:09-03","UFV","VIC","37571","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","monoides","Pleopeltis monoides","(Weath.) Salino","Schwartsburd, P.B.","Couto, D.R.; Araújo Neto, R.C.","2270","2012","06","26",NA,"Brasil","Espírito Santo","Ibitirama","Parque Nacional do Caparaó, Afloramento rochoso acima da base Pedra Roxa.","-41","-20",NA,NA,NA,"Epífita habitual, soros marrons. Vegetando sobre Pseudobombax campestre.","VIC037571","VIC037571","2012","10","-41","-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:19:09-03","UFV","VIC","021571","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","monoides","Pleopeltis monoides","(Weath.) Salino",NA,"Dias, J.; et al.","s.n.","2008","03","20",NA,"Brasil","Minas Gerais","Araponga","PESB, Trilha dos Muriquis.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Epífitas encontradas nos forófitos conforme relação 80/5;89/8 do caderno de campo de Jaqueline dias.","VIC021571","VIC021571",NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:19:09-03","UFV","VIC","031843","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","monoides","Pleopeltis monoides","(Weath.) Salino",NA,"Valente, G.E.; et al.","1987","2007","10","06",NA,"Brasil","Minas Gerais","Araponga","PESB, Trilha dos Muriquis, floresta ombrófila densa altomontana.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Epífita sobre tronco caido no subbosque de mata densa.","VIC031843",NA,NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:53:40-03","UFJF","CESJ","21579","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Pleopeltis","monoides","Pleopeltis monoides","(Weath.) Salino","F.S. Souza","T.S.Santos; L.A.M.Silva; C.B.Thompsom","s.n.","1978","11","09","América do Sul","Brasil","Bahia","Almadina","Fazenda Beija-Flor, km 3 da Rod Almadina-Floresta Azul.","-39.6371994018555","-14.7053003311157",NA,NA,NA,"Plantação de Cacau.","CESJ021579",NA,"2015","05",NA,NA,"14289","auto",NA,NA,NA,NA,NA,NA,NA
