"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:11-03","UNESC","CRI","3007","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","Regina Affonso","2011","06","23","Raquel Rejane Bonatto Negrelle","310","1992","08","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI002150","CRI002150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:11-03","UNESC","CRI","13634","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","Renato Colares","2018","05","24","Renato Colares; Thuany Machado",NA,"2016","09",NA,"Brasil","Santa Catarina","Treviso","Campo Morozini","-49.453333","-28.538333","49º27'12''W","28º32'18''S","149","149","CRI012241",NA,"Habitat: Terrestre Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:11-03","UNESC","CRI","3008","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","Condorce Aranha",NA,NA,NA,"Raquel Rejane Bonatto Negrelle","411","1992","10","10","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI002153","CRI002153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:29-03","UNESC","CRI","8661","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","Regina Affonso","2011","06","23","Polliana Zocche",NA,"2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002154","CRI002154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:29-03","UNESC","CRI","5482","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","Vanilde C. Zanette",NA,NA,NA,"Vanilde C. Zanette; V. Boff","2416","1997","05","03","Brasil","Santa Catarina","Araranguá","Ilhas.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI002152","CRI002152","Habitat: mata de restinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:29-03","UNESC","CRI","9136","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","R. Affonso",NA,NA,NA,"R. Affonso; A. Zanin","98","2010","09","14","Brasil","Santa Catarina","Florianópolis","Trilha do Jacatirão, lado direito da subida. Unidade de Conservação ambiental Desterro-UCAD.","-48.517778","-27.531944","48º31'4''W","27º31'55''S","17","17","CRI002155","CRI002155","Habitat: beira da trilha Habito: herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:11-03","UNESC","CRI","3404","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","Regina Affonso","2011","01","04","Robson dos Santos","108","1994","09","17","Brasil","Santa Catarina","Forquilhinha","Horto Florestal de Forquilhinha.","-49.466667","-28.733333","49º28'W","28º44'S","42","42","CRI002151","CRI002151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:29-03","UNESC","CRI","9132","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","R. Affonso","2010","12","10","A.S. Mello","593","2010","12","10","Brasil","Santa Catarina","Itapoá","Área de conservação no extremo norte de Itapoá.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI002156","CRI002156","Habitat: borda da mata Habito: herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","612453","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","T. M. Koyama",NA,NA,NA,"E. W. D. Holway","1071","1921","08","25","Brazil","Rio de Janeiro",NA,"Sumare.","-43.226672","-22.945054",NA,NA,"304.8","304.8","NY00612453","NY00612453_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483904' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00939473","PreservedSpecimen","Plantae","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.",NA,NA,NA,NA,"J. R. Pirani","8132","1985","09","01","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral. Fazenda da Onça.","-44.1719","-17.7575",NA,NA,"1100","1100","NY00939473","NY00939473_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=974083' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
