"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","yearIdentified","monthIdentified","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01269471","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Amphirrhox","latifolia","Amphirrhox latifolia","Mart. ex Eichler","M. H. Nee","R. Callejas Posada","5641","1987","11","19","South America","Colombia","Antioquia","Mutatá","Corregimiento Longani, bosques a margen derecha del río Longani, 2 km N of Mutatá, bht/bmht","-76.5","7.33","80","100","sheet","Universidad de Antioqiuia, Depto. de Biologia, Herbario <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1150347' target='other'> <mi>dwc_moreinfo</mi></a>","NY01269471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1584277","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Amphirrhox","latifolia","Amphirrhox latifolia","Mart. ex Eichler","W. H. A. Hekking","N. T. da Silva","60688","1965","12","19","South America","Brazil","Amazonas",NA,"Serra de Neblina, Rio Negro, Rio Cauaburí, Rio Maturacá: between Palmito Camp and Camp Tatu",NA,NA,"400","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1331712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01584277","NY01584277_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02714774","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Amphirrhox","latifolia","Amphirrhox latifolia","Mart. ex Eichler","P. Fiaschi","J. G. Jardim","1891","1999","01","02","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira, entrada ca 7,5 km, Fazenda Teimoso, 1.5 km E da entrada, Reserva do Patrimônio Natural (RPPN), Serra do Teimoso.","-39.58","-15.17","400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139212' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714774","NY02714774_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2148796","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Amphirrhox","latifolia","Amphirrhox latifolia","Mart. ex Eichler",NA,"I. L. do Amaral","772","1982","12","14","South America","Brazil","Amazonas","Tefé","Rio Solimoes, margem direita, cabeçeira do lago Tefé","-64.6664071","-3.3656727",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298958' target='other'> <mi>dwc_moreinfo</mi></a>","NY02148796","NY02148796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02148793","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Amphirrhox","latifolia","Amphirrhox latifolia","Mart. ex Eichler",NA,"D. G. Campbell","20829","1974","03","22","South America","Brazil","Amazonas",NA,"Manaus-Pôrto-Velho Highway. Rio Tupana, Km. 160","-60.8031","-4.1781",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298954' target='other'> <mi>dwc_moreinfo</mi></a>","NY02148793","NY02148793_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00996831","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Amphirrhox","latifolia","Amphirrhox latifolia","Mart. ex Eichler","W. H. A. Hekking","W. L. Balée","1659","1985","11","01","South America","Brazil","Maranhão","Altamira","Igarapé Ipixuna, affluent of Rio Xingu; 5 km S of settlement, Araweté Indian Reserve.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1119785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996831","NY00996831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2148794","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Amphirrhox","latifolia","Amphirrhox latifolia","Mart. ex Eichler",NA,"R. de Lemos Fróes","20424","1945","01","14","South America","Brazil","Pará",NA,"Rio Guamá","-47.6124072","-1.6053602",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298956' target='other'> <mi>dwc_moreinfo</mi></a>","NY02148794","NY02148794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02148792","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Amphirrhox","latifolia","Amphirrhox latifolia","Mart. ex Eichler",NA,"C. A. Cid Ferreira","3967","1983","06","30","South America","Brazil","Amazonas","Borba","Bacia do rio Amazonas, rio Canumã afluente do rio Madeira, igarapé das Onças, 3 km ao Norte da Vila de Canumã","-59.0922","-3.9936",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298950' target='other'> <mi>dwc_moreinfo</mi></a>","NY02148792","NY02148792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1027048","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Amphirrhox","latifolia","Amphirrhox latifolia","Mart. ex Eichler","A. C. Smith","B. A. Krukoff","5527",NA,NA,NA,"South America","Brazil","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574714' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027048","NY01027048_01 NY01027048_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02715750","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Amphirrhox","latifolia","Amphirrhox latifolia","Mart. ex Eichler","P. Fiaschi","A. M. Amorim","2614","1998","11","07","South America","Brazil","Bahia","Jussari","Rod. Jussari-Palmira, entrada ca. 7.5 km de Jussari, Fazenda Teimoso, RPPN Serra do Teimoso","-39.5286","-15.1581",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=62568' target='other'> <mi>dwc_moreinfo</mi></a>","NY02715750","NY02715750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
