"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType","individualCount"
"1","2020-02-08 10:12:35-03","NBC","NL-BOTANY","U.1174507","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Bromeliaceae","Vriesea","sceptrum","Vriesea sceptrum","Mez","Leite JE","1946","09","01","Southern America","Brazil","Caupos do Jorda.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174507 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174507","NL-U1174507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:03:58-03","ESALQ","ESA","25690","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sceptrum","Vriesea sceptrum",NA,"Barreto, K.D. et al.","1993","08","19",NA,"Brasil",NA,NA,"ESA025690","ESA025690","Magnoliophyta","Versieux, L.","2008","1045.0","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:03:58-03","ESALQ","ESA","35745","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sceptrum","Vriesea sceptrum",NA,"Souza, J.P. et al.","1996","12","13",NA,"Brasil",NA,NA,"ESA035745","ESA035745","Magnoliophyta","Versieux, L.","2013","865.0","São Paulo","Cunha","-44.9599990844727","-23.0699996948242","38855","auto","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:28-03","MN","R","214462","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sceptrum","Vriesea sceptrum","Mez",NA,"1977","10","24",NA,"Brasil",NA,NA,"R010016904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:28-03","MN","R","214463","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sceptrum","Vriesea sceptrum","Mez","Roppa, O.A.","1965","11","15",NA,"Brasil",NA,NA,"R010016905",NA,NA,NA,NA,"704","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051","23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-07 08:35:28-03","MN","R","166514","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sceptrum","Vriesea sceptrum","Mez","Andrade, A.G.","1961","09","17",NA,"Brasil",NA,NA,"R010016913",NA,NA,NA,NA,"1238","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051","23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:28-03","MN","R","193806","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sceptrum","Vriesea sceptrum","Mez","Barreto, K.D.","1993","08","19",NA,"Brasil",NA,NA,"R010016907","R010016907 R010016907_1",NA,NA,NA,NA,"São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-07 08:35:28-03","MN","R","166515","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sceptrum","Vriesea sceptrum","Mez","Santos, N.","1964","12","10",NA,"Brasil",NA,NA,"R010016906",NA,NA,NA,NA,"5750","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-07 08:35:28-03","MN","R","226635","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sceptrum","Vriesea sceptrum","Mez","Moura, R. 1154; Alves, R.J.V.; Medeiros, D. & Almeida, M.","2012","10","30",NA,"Brasil","Parque Nacional do Itatiaia",NA,"R010006303","R010006303 R010006303_1",NA,"Costa, A.","2016",NA,"Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto","07","18",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:33:02-03","UFJF","CESJ","52068","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sceptrum","Vriesea sceptrum","Mez.","T.M. Machado; A.S.M. Valente; F.S. Souza; M.G. Rezende; P.O. Garcia; R.C.L. Elias","2008","09","13","América do Sul","Brasil","Pocinhos do Rio Verde, Serra da Pedra Branca.","Rupícola no campo. Folhas discolores e bainha com máculas roxas. Brácteas do escapo laranjadas-amarronzadas. Bráctea floral e sépala amarelada, pétalas laranjas.","CESJ052068",NA,"Angiosperma","T.M. Machado","2008","76","Minas Gerais","Caldas","-46.386100769043","-21.9235992431641","25710","auto","09","13",NA,NA,NA,NA,NA,NA,NA,NA
