"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:36:43-03","E","E","394543","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","salicoides","Heliotropium salicoides","isotype","Gardner, George","4295","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:441789","<a href=http://data.rbge.org.uk/herb/E00394543 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:43-03","E","E","394544","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","salicoides","Heliotropium salicoides","isosyntype","Gardner, George","3911","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:441795","<a href=http://data.rbge.org.uk/herb/E00394544 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:43-03","E","E","295038","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","salicoides","Heliotropium salicoides",NA,"Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.; Diaz Ferreira, H.","123","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:303173","<a href=http://data.rbge.org.uk/herb/E00295038 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295038","1988","04","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:43-03","E","E","281829","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","salicoides","Heliotropium salicoides",NA,"Brooks, R.R.; Reeves, R.D.","669","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:293805","<a href=http://data.rbge.org.uk/herb/E00281829 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281829","1990","06","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","482772","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","salicioides","Heliotropium salicioides",NA,"S. A. Mori","14479","South America","Brazil","Telebahia Tower, ca. 6 km S of Morro do Chapéu.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482772","1981","06","16","Magnoliophyta","Boraginales","Cham.","J. A. Kallunki","Bahia","Morro do Chapéu","-41.1558","-11.5503","1000","1000","NY00482772_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","482798","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","salicioides","Heliotropium salicioides",NA,"E. Hassler","7988","South America","Paraguay",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482798",NA,NA,NA,"Magnoliophyta","Boraginales","Cham.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00858248","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","salicioides","Heliotropium salicioides",NA,"H. S. Irwin","24141","South America","Brazil","Chapada dos Veadeiros, ca. 12 km south of Cavalcante","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858248","1969","03","09","Magnoliophyta","Boraginales","Cham.","S. R. Hill","Goiás","Cavalcante","-47.5","-13.90846","1000","1000","NY00858248_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00858283","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","salicioides","Heliotropium salicioides",NA,"A. Lima","055","South America","Brazil","Abadiana. Fz. São Mateus.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858283","1968","04","11","Magnoliophyta","Boraginales","Cham.","J. A. Kallunki","Goiás","Abadiânia","-48.7067","-16.2044",NA,NA,"NY00858283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00858249","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","salicioides","Heliotropium salicioides",NA,"H. S. Irwin","24439","South America","Brazil","Ca. 40 km north of Veadeiros. Chapada dos Veadeiros.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858249","1969","03","15","Magnoliophyta","Boraginales","Cham.","S. R. Hill","Goiás","Cavalcante","-47.51669","-13.75517","1000","1000","NY00858249_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","482786","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","salicioides","Heliotropium salicioides",NA,"R. M. Harley","15534","South America","Brazil","Ca. 6 km N of Barra da Estiva on Ibicoara road","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482786","1974","01","28","Magnoliophyta","Boraginales","Cham.","C. Grey-Wilson","Bahia",NA,"-41.3","-13.58","1100","1100","NY00482786_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
