"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02711007","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Lemna","aequinoctialis","Lemna aequinoctialis","Welw.","G. T. Prance","23426","1975","05","11","South America","Brazil","Amazonas","Lago Marrahã, Seringal São Clemente, Rio Purus.","-65.28","-7.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997498' target='other'> <mi>dwc_moreinfo</mi></a>","NY02711007","NY02711007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","191424","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Lemna","aequinoctialis","Lemna aequinoctialis","Welw.","D. Shiki","322","1985","11","30","South America","Ecuador","Morona-Santiago","El Centro Shuar Kankaim, (Cangaime); 20k WNW del Taisha","-77.68","-2.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00191424",NA,"R. R. Haynes","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02711008","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Lemna","aequinoctialis","Lemna aequinoctialis","Welw.","G. T. Prance","23303","1975","02","26","South America","Brazil","Amazonas","Jacaretinga, south of Rio Amazonas, opposite Careiro.","-59.810568","-3.22223","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997505' target='other'> <mi>dwc_moreinfo</mi></a>","NY02711008","NY02711008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","1371","PreservedSpecimen","Plantae",NA,NA,"Araceae","Lemna","aequinoctialis","Lemna aequinoctialis","Welw.","Freitas, R. N.","39","2011","11","08",NA,"Brasil","Piauí","Boa Vista","-41.318583","-2.989583",NA,"Lagoa, Restinga, Raíses longas, folhas desenvolvidas, aquáticas flutuantes <ll>dwc_commonname:</ll> Lentilha d'agua","HDELTA001371",NA,"Freitas, R. N.",NA,NA,"Cajueiro da Praia","41°19'06,90''W","02°59'22,50''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","1373","PreservedSpecimen","Plantae",NA,NA,"Araceae","Lemna","aequinoctialis","Lemna aequinoctialis","Welw.","Freitas, R. N.",NA,"2012","03","16",NA,"Brasil","Piauí","Barro Vermelho","-41.803056","-2.989472",NA,NA,"HDELTA001373",NA,"Freitas, R. N.",NA,NA,"Parnaíba","41°48'11,00''W","02°59'22,10''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","271","PreservedSpecimen","Plantae",NA,NA,"Araceae","Lemna","aequinoctialis","Lemna aequinoctialis","Welw.","Freitas, R. N.","31","2011","09","09",NA,"Brasil","Piauí","Fazendinha","-41.787778","-2.895389",NA,"Aquática flutuante livre, raíz 1 por fronde, presença de 3 nervuras. <ll>dwc_commonname:</ll> Lentilha d'água","HDELTA000271",NA,NA,NA,NA,"Parnaíba","41°47'16,00''W","02°53'43,40''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","1372","PreservedSpecimen","Plantae",NA,NA,"Araceae","Lemna","aequinoctialis","Lemna aequinoctialis","Welw.","Freitas, R. N.","40","2011","11","08",NA,"Brasil","Piauí","Boa vista","-41.3361015319824","-2.92777991294861",NA,"Aquática flutuante, Raíses longas <ll>dwc_commonname:</ll> Lentilha d'água","HDELTA001372",NA,"Freitas, R. N.",NA,NA,"Cajueiro da Praia",NA,NA,"20668","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","1370","PreservedSpecimen","Plantae",NA,NA,"Araceae","Lemna","aequinoctialis","Lemna aequinoctialis","Welw.","Freitas, R. N.","60","2012","01","24",NA,"Brasil","Piauí","Antigo Braço do Rio Igaraçu","-41.7766990661621","-2.90472006797791",NA,"<ll>dwc_commonname:</ll> lentilhad'água","HDELTA001370",NA,"Freitas, R. N.",NA,NA,"Parnaíba",NA,NA,"25571","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","1369","PreservedSpecimen","Plantae",NA,NA,"Araceae","Lemna","aequinoctialis","Lemna aequinoctialis","Welw.","Freitas, R. N.","45","2011","11","30",NA,"Brasil","Piauí","Antigo Braço do Rio Igaraçu","-41.7766990661621","-2.90472006797791",NA,"Aquática Flutuante","HDELTA001369",NA,"Freitas, R. N.",NA,NA,"Parnaíba",NA,NA,"25571","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:29:00-03","UFRJ","RFA","38546","PreservedSpecimen","Plantae",NA,NA,"Araceae","Lemna","aequinoctialis","Lemna aequinoctialis","Welw.","Machado, N.C.; Konno, T.U.P","143","2010","08","26",NA,"Brasil","Rio de Janeiro","PARNA Restinga de Jurubatiba.","-41.241944","-22.103611",NA,NA,"RFA33541",NA,NA,NA,NA,"Quissamã","41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
