"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:57-03","UNESC","CRI","6728","PreservedSpecimen","Plantae","Poaceae","Panicum","parvifolium","Panicum parvifolium","Lam.","L. B. Smith","1977","01","01","R. Reitz; R. M. Klein","11626","1962","01","06","Brasil","Santa Catarina","Porto União","Fazenda Frei Gregório.","-51.078611","-26.238611","51º4'43''W","26º14'19''S","CRI007130","CRI007130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:57-03","UNESC","CRI","2489","PreservedSpecimen","Plantae","Poaceae","Panicum","parvifolium","Panicum parvifolium","Lam.",NA,NA,NA,NA,"Reitz; Klein",NA,"1962","01","06","Brasil","Santa Catarina","Porto União","Fazenda Frei Rogério, Porto União.","-51.081667","-26.238889","51º4'54''W","26º14'20''S","CRI007128","CRI007128","750","750","Habitat: campo úmido",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:57-03","UNESC","CRI","2417","PreservedSpecimen","Plantae","Poaceae","Panicum","parvifolium","Panicum parvifolium","Lam.",NA,NA,NA,NA,"L. B. Smith; Klein",NA,"1975","02","13","Brasil","Santa Catarina","São Joaquim","Estrada da Boava, 4 km south of São Joaquim.","-49.9375","-28.292222","49º56'15''W","28º17'32''S","CRI007127","CRI007127",NA,NA,"Habitat: campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:57-03","UNESC","CRI","7748","PreservedSpecimen","Plantae","Poaceae","Panicum","parvifolium","Panicum parvifolium","Lam.","Tais B. Guimarães","2005","11","29","Daniel B. Falkenberg; Tais B. Guimarães",NA,"2004","11","29","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","CRI007129","CRI007129","5","5","Habitat: restinga Habito: herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00864310","PreservedSpecimen","Plantae","Poaceae","Panicum","parvifolium","Panicum parvifolium","Lam.",NA,NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00864310","NY00864310_01",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955732' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00864334","PreservedSpecimen","Plantae","Poaceae","Panicum","parvifolium","Panicum parvifolium","Lam.","G. Davidse",NA,NA,NA,"G. E. Schatz","849","1983","03","04","Brazil","Maranhão","Barra do Corda","Baixão do Peixe, just S of Funai village of Sardinha along Rio Corda, 40 km SSW of Barra do Corda.","-45.32","-5.72",NA,NA,"NY00864334","NY00864334_01",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955700' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00864335","PreservedSpecimen","Plantae","Poaceae","Panicum","parvifolium","Panicum parvifolium","Lam.","F. O. Zuloaga",NA,NA,NA,"G. Eiten","9801","1969","12","07","Brazil","Mato Grosso","Barra do Garcas","260 km along new road NNE of village of Xavantina at Royal Society-Royal Georgraphic Society Base Camp","-51.75","-12.85",NA,NA,"NY00864335","NY00864335_01","450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955728' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","652656","PreservedSpecimen","Plantae","Poaceae","Panicum","parvifolium","Panicum parvifolium","Lam.",NA,NA,NA,NA,"M. A. Chase","8079","1924","12","29","Brazil","Bahia",NA,"Km 12 N Cachoeira. T. de Freitas",NA,NA,NA,NA,"NY00652656","NY00652656_01","225","225","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739644' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","652669","PreservedSpecimen","Plantae","Poaceae","Panicum","parvifolium","Panicum parvifolium","Lam.","F. O. Zuloaga",NA,NA,NA,"L. B. Smith","12133","1957","03","14","Brazil","Santa Catarina","Porto Uniao","East of Valoes (Irineópolis) on the road to Canoinhas","-51.0781","-26.2383",NA,NA,"NY00652669","NY00652669_01","750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739634' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","652662","PreservedSpecimen","Plantae","Poaceae","Panicum","parvifolium","Panicum parvifolium","Lam.","J. R. Swallen",NA,NA,NA,"G. Eiten","1750","1960","03","23","Brazil","São Paulo","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 4.2 km. NNW of Padua Sales. (About 27 km. NW of city of Moji-Mirim.)",NA,NA,NA,NA,"NY00652662","NY00652662_01","575","625","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739624' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
