"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2020-09-23 10:43:19-03","E","E","223173","PreservedSpecimen","Plantae","Sapindaceae","Talisia","pygmaea","Talisia pygmaea","Ratter, J.A.; Argent, G.C.G.; Gibbs, P.E.; Shepherd, G.J. & de Rocha, D.M.S.","1983","11","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:233022","<a href=http://data.rbge.org.uk/herb/E00223173 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00223173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","514651","PreservedSpecimen","Plantae","Sapindaceae","Talisia","angustifolia","Talisia angustifolia","J. C. Lindeman","1967","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514651","Magnoliophyta","Sapindales","Radlk.","P. Acevedo-Rodríguez","4504","Paraná","Campo Mourao","3 km N of Campo Mourao.","-52.3831","-24.0458","NY00514651_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00996053","PreservedSpecimen","Plantae","Sapindaceae","Talisia","angustifolia","Talisia angustifolia","H. S. Irwin","1964","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099822' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996053","Magnoliophyta","Sapindales","Radlk.","K. U. Kramer","7451","Goiás","Jataí","Ca. 60 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.75","-17.4","NY00996053_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00996054","PreservedSpecimen","Plantae","Sapindaceae","Talisia","angustifolia","Talisia angustifolia","H. S. Irwin","1964","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996054","Magnoliophyta","Sapindales","Radlk.","G. T. Prance","7581","Goiás","Jataí","Ca. 60 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.75","-17.4","NY00996054_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","514654","PreservedSpecimen","Plantae","Sapindaceae","Talisia","angustifolia","Talisia angustifolia","G. G. Hatschbach","1965","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514654","Magnoliophyta","Sapindales","Radlk.","K. U. Kramer","13002","Paraná","Campo Mourao","Campo Mourao.","-52.3831","-24.0458","NY00514654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","514655","PreservedSpecimen","Plantae","Sapindaceae","Talisia","angustifolia","Talisia angustifolia","J. C. Solomon","1982","02","10","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514655","Magnoliophyta","Sapindales","Radlk.","P. Acevedo-Rodríguez","6856","Amambay",NA,"Parque Nacional Cerro Corá. Many isolated, flattopped sandstone hills, 100-150 m tall, with level areas of sandy soil between.","-56.05","-22.65",NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996051","PreservedSpecimen","Plantae","Sapindaceae","Talisia","angustifolia","Talisia angustifolia","R. Goodland","1967",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996051","Magnoliophyta","Sapindales","Radlk.","P. Acevedo-Rodríguez","714","Minas Gerais",NA,"Triángulo region.",NA,NA,"NY00996051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","514652","PreservedSpecimen","Plantae","Sapindaceae","Talisia","angustifolia","Talisia angustifolia","G. G. Hatschbach","1967","01","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514652","Magnoliophyta","Sapindales","Radlk.","K. U. Kramer","15911","Paraná","Campo Mourao",NA,"-52.3830986022949","-24.0456008911133","NY00514652_01",NA,NA,"28572","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1181619","PreservedSpecimen","Plantae","Sapindaceae","Talisia","angustifolia","Talisia angustifolia","J. Tannus","1998","10","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386883' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181619","Magnoliophyta","Sapindales","Radlk.","J. Tannus","180","São Paulo","Itirapina",NA,"-47.8199996948242","-22.25","NY01181619_01",NA,NA,"22843","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1181620","PreservedSpecimen","Plantae","Sapindaceae","Talisia","angustifolia","Talisia angustifolia","J. Tannus","1998","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386884' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181620","Magnoliophyta","Sapindales","Radlk.","P. Acevedo-Rodríguez","342","São Paulo","Itirapina",NA,"-47.8199996948242","-22.25","NY01181620_01",NA,NA,"22843","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
