"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","occurrenceRemarks","continentOcean","county","individualCount","maximumElevationInMeters","fieldNumber","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","barcode","imagecode","geoFlag","sex","preparationType"
"1","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0044417","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","distachyos","Peperomia distachyos","(L.) A. Dietr.","Guido Mathieu","L. R. Landrum; A. Trauth-Nare, E. Gilbert","10772","2003","6","22","Ecuador","Napo","Cotococha; about 1 km west of Venecia and 25 km east of Tena; on the south side of the Napo River.","-77.714209","-1.043822","450","Epiphytic herb; stems spotted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-09-21 04:36:00-03","MO","MOBOT","100629493","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","distachyos","Peperomia distachyos","(L.) A. Dietr.","G. Mathieu","Ricardo Callejas|Francisco J. Roldán|Carlos J. Castaño","Callejas Posada 2839","1986","10","31","Colombia","Antioquia","Vereda Calles. Parque Nacional de Las Orquídeas, cabaña de INDERENA en río Calles, bosque a lo largo de quebrada La Agudelo, bhpm.",NA,NA,"1450.00000000",NA,"South America","Frontino","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 13:25:00-03","MO","MOBOT","101240200","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","distachyos","Peperomia distachyos","(L.) A. Dietr.",NA,"Guido Mathieu|L. Vanderschaeve","Mathieu 1122","2004","6","30","Ecuador","Tungurahua","along Rio Machay, 16 km E of Banos.","-78.2808334","-1.3944444","1600.00000000",NA,"South America",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-20 15:14:00-03","MO","MOBOT","101244712","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","distachyos","Peperomia distachyos","(L.) A. Dietr.",NA,"Guido Mathieu|Marie-Stéphanie Samain","Mathieu 1197","2004","7","12","Ecuador","Morona-Santiago","W of road Indanza-Gualaquiza","-78.5408333","-3.1544444","1100.00000000",NA,"South America",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2011-10-22 04:57:00-02","MO","MOBOT","1118942","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","distachyos","Peperomia distachyos","(L.) A. Dietr.","R. Callejas (HUA)","Álvaro Cogollo P.|et al.","Cogollo Pacheco 2831","1988","3","30","Colombia","Antioquia","Parque Nacional Natural Las Orquideas. Sector Calles. Margen derecha del Río Calles.","-76.31666","6.53333","1290.00000000",NA,"South America","Urrao",NA,"1320.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2011-10-22 04:57:00-02","MO","MOBOT","1118952","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","distachyos","Peperomia distachyos","(L.) A. Dietr.","R. Callejas (HUA)","Álvaro Cogollo P.|Juan Guillermo Ramírez","Cogollo Pacheco 3038","1988","5","29","Colombia","Antioquia","Parque Nacional Natural Las Orquideas. Sector Calles. Margen derecha del Río Calles.","-76.31666","6.53333","1240.00000000",NA,"South America","Urrao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1217034","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","distachyos","Peperomia distachyos","(L.) A. Dietr.","R. Callejas (HUA)","Santiago Madriñán|César E. Barbosa","Madriñán R. 275","1989","7","15","Colombia","Magdalena","Alto Río Buritaca. Alto de Mira; por el camino a la Cascada del Caño Negro hasta la finca de Merardo.","-73.8","11.08333","900.00000000",NA,"South America",NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2013-10-05 06:32:00-03","MO","MOBOT","1312722","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","distachyos","Peperomia distachyos","(L.) A. Dietr.","Steyerm.","Ronald L. Liesner|Ángel C. González","Liesner 10839","1981","3","20","Venezuela","Táchira","Ca. 35 km SSE of San Cristóbal. La Buenaña, 6-12 km W of Quebrada, Colorado. Primary forest.","-72.15","7.4666667","600.00000000",NA,"South America",NA,"1","1200.00000000","105",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2013-10-05 06:32:00-03","MO","MOBOT","1343305","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","distachyos","Peperomia distachyos","(L.) A. Dietr.","Steyerm.","Ronald L. Liesner|Ángel C. González","Liesner 9705","1980","3","30","Venezuela","Yaracuy","Sierra de Aroa. Cerro Tigre. 10 km E of Aroa air distance, Río Carabobo and adjacent slope up to road. Patch of primary evergreen forest and secondary area.","-68.81666","10.43333","800.00000000",NA,"South America",NA,NA,"1000.00000000","135",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2012-03-07 16:11:00-03","MO","MOBOT","1739394","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","distachyos","Peperomia distachyos","(L.) A. Dietr.","Guido Mathieu (GENT)","Carlos E. Cerón","Cerón Martínez 17113","1991","10","24","Ecuador","Zamora-Chinchipe","Parroquia Guayzimi. Campamento Militar. Transectos de 50 x 2 m x 5. (0.05 Ha.). Bosque secundário, extraido maderas importantes, topografia colinada. Shaimi. Bosque húmedo Premontano.","-78.71666","-4.3","1050.00000000",NA,"South America","Nangaritza","4","1150.00000000","106",NA,NA,NA,NA,NA,NA,NA,NA,NA
