"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","class","fieldNumber","relatedCatalogItem","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00896145","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","rara","Plinia rara","Sobral","C. E. B. Proença","W. W. Thomas","10547","1994","09","19","South America","Brazil","Bahia","Ilhéus","Mata da Esperança, forest N of dam and reservoir.","-39.0692","-14.7819","0.0","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896145","NY00896145_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00896119","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","rara","Plinia rara","Sobral","M. Sobral","W. W. Thomas","9711","1993","02","03","South America","Brazil","Bahia","Ilhéus","Road from Olivença to Serra das Trempes, 6 km from Olivença","-39.05","-14.98",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896119","NY00896119_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:37:37-03","MBM","MBM","167827","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara","Sobral",NA,"Sobral, M.; Sant'Ana, S.; Sant'Ana, S.","7488","1992","05",NA,"Southern America","Brazil","Bahia","Ilhéus","Ramal da estrada Itabuna-Ilhéus em rireção a Japu","-39.0494003295898","-14.7889003753662",NA,NA,NA,"Arvoreta 6-7 m, em interior de mata atlântica bastante alterada. Flores em extremidade de ramos longos e finos (1-1,5m por 5 mm), estendendo-se pelo chão em meio à serrapilheira ou pendentes do tronco da planta; flores brancas, fruto","MBM167827","MBM167827","PARATYPE","61245","auto",NA,NA,NA,NA,NA
"4","2019-11-13 11:27:21-03","USP","SPF","41408","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara","Sobral",NA,"Mattos-Silva, LA","1546","1982","02","17",NA,"Brasil","Bahia","Ilhéus","Km 8 do ramal que liga a rod. BR415 (Ilhéus/Itabuna) ao povoado Japu. Ramal com entrada a 13 km de Ilhéus.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,"SPF00041408",NA,"isotype","61245","auto",NA,NA,NA,NA,NA
"5","2018-05-14 17:15:57-03","F","FMNH-SEEDPLANTS","V0349159F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Plinia","rara","Plinia rara",NA,"RRC ID Flag","M. Sobral","7488","1992","5",NA,"South America","Brazil","Bahia",NA,NA,"-42","-11",NA,NA,NA,NA,"V0349159F","V0349159F_01 V0349159F_02",NA,NA,NA,"Dicotyledoneae","7488",NA,NA,NA
"6","2020-07-23 12:16:30-03","CEPLAC","CEPEC","7102","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara",NA,"M. C. Souza","T. S. dos Santos","1853","1971","08","17",NA,"Brasil","Bahia","ITAPEBÍ","Fazenda Ventania, estrada velha a Rio Jequitinhonha.","-39.5339012145996","-15.9507999420166",NA,NA,NA,NA,NA,NA,NA,"43726","auto",NA,NA,"30/09/2006",NA,NA
"7","2020-07-23 12:16:30-03","CEPLAC","CEPEC","110997","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara",NA,"Sem Informação","Amorim, A. M.","5709","2006","03","03",NA,"Brasil","Bahia","CAMACAN","RPPN Serra Bonita. 9,7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre. Trilha ao lado da Reseva Becker, em ramal descendo o riacho.","-39.565278","-15.391667","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W33'55","15S23'30"
"8","2020-07-23 12:16:30-03","CEPLAC","CEPEC","114255","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara",NA,"M. C. Souza","Souza, M. C.","412","2006","09","16",NA,"Brasil","Bahia","CAMACAN","RPPN Serra Bonita. 9,7km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre de transmissão.","-39.565278","-15.391667","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W33'55","15S23'30"
"9","2020-07-23 12:16:30-03","CEPLAC","CEPEC","128660","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara",NA,"H. Liuth","Liuth, H.S.","88","2010","12","20",NA,"Brasil","Bahia","CAMACAN","RPPN Serra Bonita, trilha entre os transectos da fenologia, lado esquerdo","-39.566111","-15.395833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W33'58","15S23'45"
"10","2020-07-23 12:16:30-03","CEPLAC","CEPEC","58549","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara",NA,"M. Sobral","W. W. Thomas","9711","1997","03","03",NA,"Brasil","Bahia","ILHÉUS","Rod. Olivença/Serra das Trempes, 6Km de Olivença.","-39.05","-14.983333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1994","39W3'","14S59'"
"11","2020-07-23 12:16:30-03","CEPLAC","CEPEC","63170","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara",NA,"C. Proença","W. W. Thomas","10547","1994","09","19",NA,"Brasil","Bahia","ILHÉUS","Mata da Esperança. 3KM ao N da Rodoviária. Mata ao N da represa.","-39.069167","-14.781944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1995","39W4'9","14S46'55"
"12","2020-07-23 12:16:30-03","CEPLAC","CEPEC","62054","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara",NA,"M. Sobral","M. Sobral","7488","1992","05","01",NA,"Brasil","Bahia","ILHÉUS","Ramal da estrada Itabuna/Ilheus em direçao ao Japu.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,"Paratipo","61245","auto",NA,NA,"30/12/1992",NA,NA
"13","2020-07-23 12:16:30-03","CEPLAC","CEPEC","29076","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara",NA,"M. Sobral","L. A. Mattos-Silva","1546","1982","02","17",NA,"Brasil","Bahia","ILHÉUS","Km 8 do ramal que liga BR-415 (Ilhéus/Itabuna)/Japu. Ramal c/ entrada a 13Km de Ilhéus.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,"Holótipo","61245","auto",NA,NA,"30/12/1992",NA,NA
"14","2020-07-23 12:16:30-03","CEPLAC","CEPEC","57090","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara",NA,"M. Sobral","M. Sobral","7488","1988","05","01",NA,"Brasil","Bahia","ILHÉUS","Ramal da estrada Itabuna/Ilheus em direção ao Japu.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,"Paratipo","61245","auto",NA,NA,"30/12/1992",NA,NA
"15","2019-11-21 10:12:34-03","IBt","SP","272376","S","Plantae",NA,NA,"Myrtaceae","Plinia","rara","Plinia rara","Sobral","Sobral, M","Sobral, M; Sant'Ana, SC","7488","1992","05",NA,NA,"Brasil","Bahia","Ilhéus","Ramal da estrada Itabuna-Ilhéus em direção a Japu.","-39.0494003295898","-14.7889003753662",NA,NA,NA,"Arvoreta 6-7m alt., em interior de mata atlãntica bastante alterada. Flores em extremidade de ramos longos e finos (1-1,5m por 5mm ), estendendo-se pelo chão em meio a serrapilheira ou pendentes do tronco da planta, flores brancas, frutos imaturos.",NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA
