"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","453892","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","L. B. Smith","D. S. D. de Araújo","2035","1978","05","30","South America","Brazil","Rio de Janeiro","Cachoeiras de Macacu","Estr. para Friburgo, Faz Santa Bárbara","-42.6531","-22.4625","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=541277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453892","NY00453892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03181038","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.",NA,"R. C. Forzza","2778","2004","03","01","South America","Brazil","Rio de Janeiro","Nova Friburgo","Rio Bonito de Luminar, estrada do sertão, Sítio São Jeronimo, . Rio Bonito","-42.5311012268066","-22.2819004058838","779","779","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3433672' target='other'> <mi>dwc_moreinfo</mi></a>","NY03181038","NY03181038_01","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03188899","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.",NA,"M. S. Wängler","1351","2013","06","29","South America","Brazil","Rio de Janeiro","Miguel Pereira","Conceição. Encontrada na beira da trilha, ambiente muito úmido.","-43.4627778","-22.4647222",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3439844' target='other'> <mi>dwc_moreinfo</mi></a>","NY03188899","NY03188899_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:03:01-03","ESALQ","ESA","109219","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba",NA,"Jacques, E.L.","Forzza, R.C.","2778.0","2004","03","01",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"ESA109219","ESA109219","33190","auto","2009","07","16",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:03:01-03","ESALQ","ESA","83700","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","Lorenzi, H.","Souza, V.C.; Lorenzi, H.; Bernacci, L.C.; Peixoto, M.","28978.0","2003","02","11",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Reserva de Macaé de Cima. Estrada em direção à Fazenda de David Muller.","-42.5311012268066","-22.2819004058838",NA,NA,NA,"Erva, ca. 60 cm alt.; flores alvas; frutos imaturos avermelhados.","ESA083700",NA,"33190","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:24:40-03","MN","R","42066","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A. DC.",NA,"Guerra; Otavio","48053","1943","05","13",NA,"Brasil","Rio de Janeiro","Tinguá",NA,NA,NA,NA,NA,NA,NA,"R010040833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:01:03-03","JBP","HPL","6636","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba",NA,"C. D. Feliciano","V.C. Souza & H. Lorenzi et al.","28978","2003","02","11",NA,"Brasil","RJ","Nova Friburgo","Coletado na Reserva de Macaé de Cima, na estrada em direção à Fazenda de David Muller.","-42.5311","-22.2819",NA,NA,NA,NA,NA,NA,"33190","auto","2005","01","04",NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:42:18-03","JBP","HPL","12179","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","E.L.Jacques","E.L.Jacques, S.Vieira, H. Lorenzi & M. Peixoto","1757","2010","11","09",NA,"Brasil","RJ","Nova Friburgo","Coletado em Macaé de Cima.","-42.529783","-22.425117",NA,NA,NA,NA,NA,NA,NA,NA,"2010","11","09","42° 31' 787 W","22° 25' 507 S",NA,NA,NA,NA,NA
"9","2020-06-29 09:29:40-03","UFRRJ","RBR","35155","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.",NA,"E.L. Jacques; J.J. Jesus","1797","2011","11","14",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","'Brasil, Rio de Janeiro, Cahoeiras de Macacu, Parque estadual dos Três Picos, trilha da travessia Santa Amaro- São Lourenço,22° 23#?# 23,3''S 42° 42#?# 32,8'' W, 735m.'","-42.6530990600586","-22.4624996185303","735","735",NA,NA,"RBR00035155",NA,"32671","auto","2011","11","14",NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 09:29:40-03","UFRRJ","RBR","35034","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","H. Lorenzi","E.L. Jacques; S. Vieira","1757","2010","11","09",NA,"Brasil","Rio de Janeiro","Nova Friburgo","'Brasil, Rio de Janeiro, Nova Friburgo, coletado em Macaé de cima.22° 25#?# 50#?#,7 '' S, 42° 31#?# 78,7'' W.'","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"RBR00035034",NA,"33190","auto","2010","11","09",NA,NA,NA,NA,NA,NA,NA
