"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","individualCount","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","158626","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H.Rob.","isotype","W. R. Anderson","35649","1972","02","07","South America","Brazil","Minas Gerais","Gouveia","Serra do Espinhaço: ca. 17 km. southwest of Gouveia, Km. 258 on M.G. 259","-43.7407989501953","-18.4543991088867","37970","1000","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158626","NY00158626_01","auto",NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:32:16-03","UFMG","BHCB","107362","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H.Rob.",NA,"Mendes, MS; Brina, AE","s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Congonhas","Mineração Casa de Pedra - CSN.","-43.8577995300293","-20.4997005462646","16368",NA,NA,NA,"Plantas do Brasil. Campo rupestre. Herbáceo.",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:32:16-03","UFMG","BHCB","188244","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H.Rob.",NA,"Torres, DM","s.n.","2015","03","10","Southern America","Brasil","Minas Gerais","Brumadinho","Monumento Natural Municipal Serra da Calçada","-44.1996994018555","-20.1432991027832","26639",NA,NA,NA,"Arbustiva","BHCB188244","BHCB188244","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:32:16-03","UFMG","BHCB","27525","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H.Rob.",NA,"Grandi, TSM","s.n.","1989","10","04","Southern America","Brasil","Minas Gerais","Moeda","Serra da Moeda.","-44.0527992248535","-20.3330993652344","14750",NA,NA,NA,"Campo rupestre. Herbáceo. Flores amarelas.",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"5","2014-11-20 13:34:00-02","MO","MOBOT","100761734","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H. Rob.","Isotype","William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","Anderson 35649","1972","2","7","South America","Brazil","Minas Gerais","Gouvêia","Ca. 17 km SW of Gouveia, km 258 on M.G. 259.","-43.7407989501953","-18.4543991088867","37970","1000.00000000","1050.00000000",NA,NA,NA,NA,"auto","H. Robinson (US)","1",NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2818790","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H. Rob.","Isotype","W. R. Anderson, M. T. Stieber & J. H. Kirkbride","35649","1972","2","7","South America - Neotropics","Brazil","Minas Gerais",NA,"17 km SW of Gouveia.",NA,NA,NA,"1000","1050",NA,NA,"US00385796","US00385796_01",NA,NA,"1","Dicotyledonae",NA,NA,NA,NA
"7","2020-09-02 16:20:50-03","Cenargen","CEN","81161","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H.Rob.",NA,"João Bernardo de Azevedo Bringel Jr.","912","2012","01","08",NA,"Brasil","MG","DIAMANTINA","Caminho para o Parque Nacional das Sempre Vivas.","-43.789444","-18.059166",NA,"1268","1268","Exsicatas","Anteras de tecas e apêndices negros. Fruto com elaiossomo branco-brilhoso, pápus levemente esverdeado. Páleas do receptáculo amarelas com ápice atropurpúreo. Folhas coletadas em sílica. BRASIL - Minas Gerais - HERBARIO UB.","CEN00081161","CEN00081161",NA,NA,"1",NA,"-43.789444","-18.059166",NA,NA
"8","2019-09-04 20:03:50-03","F","FMNH-SEEDPLANTS","V0049625F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora",NA,"Isotype","W. R. Anderson & et al.","35649","1972","2","7","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"V0049625F","V0049625F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"9","2019-11-01 14:53:09-03","UnB","UB","179529","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H.Rob.",NA,"Bringel, JBA; Ferreira, VV","912","2012","01","08","Southern America","Brasil","Minas Gerais","Diamantina","Caminho para o Parque Nacional das Sempre Vivas.","-43.789444","-18.059167",NA,"1268","1268",NA,"Folhas coletadas em sílica.; Arbusto 1,5 m. Flores amarelas, anteras de tecas e apêndices negros. Fruto negro com elaiossomo branco-brilhoso, pápus levemente esverdeado. Páleas do receptáculo amarelas com ápice atropurpúreo.; Cerrado rupestre",NA,NA,NA,NA,NA,NA,"-43.789444","-18.059167",NA,NA
"10","2019-11-01 14:53:09-03","UnB","UB","7722","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H.Rob.","holotype","Anderson, WR; Stieber, M; Kirkbride Junior, JH","35649","1972","02","07","Southern America","Brasil","Minas Gerais","Gouvêa","Serra do Espinhaço, ca. 17 km SO de Gouveia, Km 258 da MG-259",NA,NA,NA,"1050","1050",NA,"Arbusto 1,3m. Flor amarelo-brilhante; Encosta sob afloramentos de. Topologia: Íngreme. Solo: Solo pedregoso.","UB0036808","UB0036808",NA,"Robinson, H",NA,NA,NA,NA,NA,NA
"11","2019-11-01 14:53:09-03","UnB","UB","171092","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H.Rob.",NA,"Faria, JEQ; Moreira, HJC","2036","2011","10","19","Southern America","Brasil","Minas Gerais","Gouvêa","Margem da rodovia entre Gouveia e Presidente Juscelino","-43.926111","-18.584444",NA,"1202","1202",NA,"Arbusto ca. 1,2 m de altura, flor amarela; Campo rupestre",NA,NA,NA,"Bringel, JBA",NA,NA,"-43.926111","-18.584444","2012","07"
"12","2019-05-06 11:52:30-03","UFU","HUFU","64361","S","Plantae",NA,NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H.Rob.",NA,"Bringel, J.B.; Ferreira, V.V.","912","2012","01","08",NA,"Brasil","Minas Gerais","Diamantina","Caminho para o Parque Nacional das Sempre Vivas","-43.789444","-18.059167",NA,"1268","1268",NA,"arbusto, ca. 1,5 m alt. Flores amarelas, anteras de tecas e ap^ndice negros. Fruto negro elaissomo branco-brilhoso, pápus levemente esverdeado. Páleas do receptáculo amarelas com ápice atropurpúreo.; Cerrado rupestre. Folhas coletad","HUFU00042500","HUFU00042500",NA,NA,NA,NA,"-43.789444","-18.059167",NA,NA
"13","2020-03-16 13:43:56-03","UFU","HUFU","78357","S","Plantae",NA,NA,"Asteraceae","Aspilia","diffusiflora","Aspilia diffusiflora","H.Rob.",NA,"Costa, D.A.; Costa, F.N.; Silva, K.H.; Cunha, L.K.G. & Brant, A.T.C.","29",NA,NA,NA,NA,"Brasil","Minas Gerais","Diamantina","Parque Nacional das Sempre Vivas, Afloramento rochoso.","-43.786667","-17.9625",NA,"1237","1237",NA,"Arbusto. Flores amarelas.; Campo rupestre.","HUFU00075650",NA,NA,"Nakajima, J.N.",NA,NA,"-43.786667","-17.9625","2019","04"
