"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","822257","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","recurvifolia","Tillandsia recurvifolia","Hook.","R. C. Tardivo","G. G. Hatschbach","38118","1975","11","25","South America","Brazil","Paraná","Ponta Grossa","Parque Vila Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822257","NY00822257_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:29:02-03","UNESP-IBB","BOTU","26516","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","meridionalis","Tillandsia meridionalis","Baker","Leme, E.M.C.","Hatsbach, E.M.C.","38118","1975","09","25",NA,"Brasil","Paraná","Ponta Grossa","Parque Vilha velha",NA,NA,NA,"Brácteas rosadas","BOTU026516",NA,"1991","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:44:51-03","EAO","IAN","34920","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Tillandsia","recurvifolia","Tillandsia recurvifolia","Hook.",NA,"Sessé, M; Mocino","s.n.",NA,NA,NA,NA,"México",NA,NA,NA,NA,NA,NA,NA,"IAN034920","IAN034920_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:27:37-03","UFBA","ALCB","040053","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Tillandsia","meridionalis","Tillandsia meridionalis","Bak.","Schinini, A","Ferrucci, MS; Cáceres, S; Dematteis, M; Ranea, R; Sosa, M","1180","1997","09","03","Southern America","Argentina","Corrientes","Dep. Mercedes","Arroyo Ypané, a ca. 5 Km N de la ruta 14",NA,NA,NA,"epífita. brácteas rosado intenso. Flores blanquecinas. En selva marginal.","ALCB010668","ALCB010668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:12:28-03","NBC","NL-BOTANY","U.1174706","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Tillandsia","meridionalis","Tillandsia meridionalis","Baker","Schinini A","Arbo MM; et al.",NA,"1996","10","23","Southern America","Argentina","Corrientes",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174706","NL-U1174706",NA,NA,NA,"Magnoliopsidae","U 0143575",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:12:29-03","NBC","NL-BOTANY","L.3736689","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Tillandsia","recurvifolia","Tillandsia recurvifolia","Hook.",NA,"Pedersen TM",NA,"1982","04","24","Southern America","Argentina",NA,NA,"Argentinae. Carambola. Dep. Concepcion. Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3736689 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3736689","NL-L3736689",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:12:29-03","NBC","NL-BOTANY","U.1167844","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Tillandsia","recurvifolia","Tillandsia recurvifolia","Hook.","Gouda EJ","Zardini EM; Velázquez U",NA,"1990","05","26","Southern America","Paraguay","Cordillera",NA,"Cordillera. 5 km SE of Emboscada. 'Isla Alta'.","-57.25","-25.133333",NA,"On a hill. Cerrado forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1167844 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1167844","NL-U1167844","2008","-57.25","-25.133333","Magnoliopsidae","U 0074775","05","01",NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:12:29-03","NBC","NL-BOTANY","U.1174705","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Tillandsia","recurvifolia","Tillandsia recurvifolia","Hook.",NA,"Pedersen TM",NA,"1949","06","21","Southern America","Argentina",NA,NA,"Corrientes: Estancia. 'Santa Teresa'.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174705","NL-U1174705",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0037823","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","meridionalis","Tillandsia meridionalis","Baker","E. M. C. Leme","G. Hatschbach","38118","1975","11","25",NA,"Brazil","Parana",NA,"Parque Vila Velha (Mun. Ponta Grossa).","-50.15","-25.0833",NA,"Brateas rosadas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0037824","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","meridionalis","Tillandsia meridionalis","Baker",NA,"A. Krapovickas; C. L. Cristobal","18419","1971","4","18",NA,"Argentina","Corrientes",NA,"Dep. Capital. Molina Punta.","-58.839584","-27.471226",NA,"Epifita. Bracteas rosadas, petalos blancos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:19:09-03","UNICAMP","UEC","102515","S","Plantae","Liliopsida",NA,"Bromeliaceae","Tillandsia","meridionalis","Tillandsia meridionalis","Baker","Schinini, A","Ferrucci, MS; Cáceres, SA; Dematteis, M; Ranea, R; Sosa, MM","1180","1997","09","03",NA,"Argentina","Corrientes","Mercedes","Arroyo Ypané, a + / - 5 Km N de la ruta 14. En selva marginal.",NA,NA,NA,"Epífita. Brácteas rosado intenso. Flores blanquecinas.","UEC043617","UEC043617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
