"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","decimalLongitude","decimalLatitude","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","144957","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","gratum","Polypodium gratum","Fée","holotype fragment","A. F. M. Glaziou","333b","South America","Brazil","Brasilia","sheet","Collection Number: 333 b or 3336. This Type Fragment came from Fée. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144957","NY00144957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","148613","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","semihirsutum","Polypodium semihirsutum","Klotzsch","type fragment","H. Ruiz López","s.n.","South America","Peru",NA,"sheet","This Type Fragment came from B. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148613","NY00148613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","148612","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","semihirsutum","Polypodium semihirsutum","Klotzsch","type fragment","H. Ruiz López","s.n.","South America","Peru",NA,"sheet","This Type Fragment came from B. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148612","NY00148612_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 19:09:00-03","NY","NYBG","806950","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta",NA,NA,"H. H. van der Werff","9408","South America","Ecuador","Cordillera del Loro, 50 km N of Loja, just before descending towards Saraguro, along road to radar station.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806950",NA,"1987","05","08","Loja","3000","3200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 03:23:00-03","NY","NYBG","1039325","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta",NA,NA,"C. M. Mynssen","1186","South America","Brazil","Parque Estadual da Serra do Brigadeiro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485499' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039325","NY01039325_01","2009","11","24","Minas Gerais","1200",NA,"C. M. Mynssen","Araponga","-42.5208","-20.6667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","674951","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R.Sm.",NA,"E. P. Killip","19997","South America","Colombia","Road from Pamplona to Toledo, crossing the divide between Río La Teja (Maracaibo drainage) and Río Mesme (Orinoco drainage).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674951",NA,"1927","02","27","Norte de Santander","2800","3000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 19:09:00-03","NY","NYBG","806948","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta",NA,NA,"H. H. van der Werff","16688","South America","Peru","Near the border with Dept. San Martin.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806948",NA,"2001","04","03","Amazonas","2000","2000","A. R. Smith",NA,"-77.8","-5.68",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03989041","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R.Sm.",NA,"C. J. Rothfels","3716","South America","Ecuador","Roadside knoll (cut-off from the rest of the mountainside by the highway), 31.3 km south of Baeza.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4287496' target='other'> <mi>dwc_moreinfo</mi></a>","NY03989041",NA,"2010","03","07","Napo","2040",NA,NA,NA,"-77.81056","-0.62975",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","806946","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R.Sm.",NA,"A. C. Brade","9509","South America","Brazil","Theresopolis, M. Assú.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806946",NA,"1929","09",NA,"Rio de Janeiro",NA,NA,"P. H. Labiak E.",NA,"-43.064656","-22.487494",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:44:19-03","NBC","NL-BOTANY","U.1027906","PreservedSpecimen","Plantae",NA,"Polypodiales","Grammitidaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R.Sm.",NA,"Ellenberg H",NA,"Southern America","Peru","Mandor below Machupicchu.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1027906 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1027906","NL-U1027906","1957","04","11",NA,NA,NA,"Cleef AM",NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:44:19-03","NBC","NL-BOTANY","U.1027907","PreservedSpecimen","Plantae",NA,"Polypodiales","Grammitidaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R.Sm.",NA,"Wolf J",NA,"Southern America","Colombia","Riseralda; Mnpio. de Sta. Rosa de Cabal; Ca 300 m al SE de Termales de Sta. Rosa.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1027907 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1027907","NL-U1027907","1985","09","26",NA,NA,NA,"Cleef AM",NA,"-75.533333","4.85","Pteropsida","-75.533333","4.85",NA,NA,NA,NA,NA,NA
