"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","typeStatus","relatedCatalogItem","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","02104338","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","coccinea","Picramnia coccinea","W.W.Thomas","W. W. Thomas","R. Goldenberg","1770","2014","02","21","South America","Brazil","Bahia","Wenceslau Guimarães","Nova Esperança, E.E. Wenceslau Guimarães; trilha do Pico do Urubu, Pedra da Antena","-39.7192","-13.5875","730","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2630719' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104338","NY02104338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","538472","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","coccinea","Picramnia coccinea","W.W.Thomas",NA,"W. W. Thomas","10489","1994","09","16","South America","Brazil","Bahia","Ilhéus","Cidade de Ilhéus, 3 km N da Rodoviaria, Mata da Esperança, forest N of dam and reservoir.","-39.0692","-14.7819","50","fluid-preserved","Site: ME <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538472",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01195995","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","coccinea","Picramnia coccinea","W.W.Thomas","W. W. Thomas","A. M. Amorim","596","1992","08","24","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231",NA,"sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276046' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195995","NY01195995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02674897","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","coccinea","Picramnia coccinea","W.W.Thomas","D. Piotto","D. Piotto","2936","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","120","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671426' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674897","NY02674897_01","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00750061","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","coccinea","Picramnia coccinea","W.W.Thomas","W. W. Thomas","J. G. Jardim","658",NA,NA,NA,"South America","Brazil","Bahia","Itacaré","Estrada que liga ao campo de aviaçao, ca. de 2 km da cidade","-39.2667","-14.25",NA,"fluid-preserved","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00750085","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","coccinea","Picramnia coccinea","W.W.Thomas","W. W. Thomas","J. G. Jardim","658",NA,NA,NA,"South America","Brazil","Bahia","Itacaré","Estrada que liga ao campo de aviaçao, ca. de 2 km da cidade","-39.2667","-14.25",NA,"fluid-preserved","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:22:34-03","UFBA","ALCB","121294","PreservedSpecimen","Plantae","Dicotyledon",NA,"Picramniaceae","Picramnia","coccinea","Picramnia coccinea","W.W.Thomas","Gomes, FS","Gomes, FS","1513","2013","03","27","Southern America","Brasil","Bahia","Una",NA,"-39.195833","-15.349444",NA,NA,"Folhas compostas, folíolos grandes, cartáceos. 33.2, parcela 02.","ALCB049647","ALCB049647",NA,"2013","11","-39.195833","-15.349444",NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:18:03-03","ESALQ","ESA","94391","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Picramniaceae","Picramnia","coccinea","Picramnia coccinea",NA,NA,"Souza, V.C.; Lorenzi, H.; Jardim, J.G.","30705.0","2005","06","30",NA,"Brasil","Bahia","Ilhéus","Cerca de 30 km S de Ilhéus. Estrada entre a Praia dos Lençóis e Vila Brasil. Transição restinga - floresta ombrófila.","-39.0494003295898","-14.7889003753662","50",NA,"Arbusto, ca. 1,5 m alt.; botões vermelhos.","ESA094391",NA,"50",NA,NA,"-39,022,778","-15,075,833","61245","auto",NA,NA,NA,NA
"9","2020-12-21 16:45:12-03","MBM","MBM","238881","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Picramnia","coccinea","Picramnia coccinea","W.W. Thomas","Thomas, W.W.","Thomas, W.W.; et al.; et al.","12061",NA,NA,NA,"Southern America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal","-39.0647010803223","-16.4496994018555",NA,NA,NA,"MBM238881","MBM238881",NA,NA,NA,NA,NA,"68835","auto",NA,NA,NA,NA
"10","2021-02-11 17:21:11-03","UFPR","UPCB","82425","PreservedSpecimen","Plantae",NA,NA,"Picramniaceae","Picramnia","coccinea","Picramnia coccinea","W.Thomas","Thomas, W.","Goldenberg, R.","1770","2014","02","21",NA,"Brasil","Bahia","Wenceslau Guimarães","Nova Esperança, E. E. Wenceslau Guimarães; trilha do Pico do Urubu, Pedra da Antena","-39.719","-13.588","730",NA,"Arbusto 3m, à sombra; inflorescência com flores vermelhas.",NA,NA,"730","2015",NA,"-39.719","-13.588",NA,NA,NA,NA,NA,NA
