"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","previousCatalogNumber","individualCount","relationshipType","relatedCatalogItem","class","typeStatus","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1014029","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","G. Schaller","6","1977","05","15","South America","Brazil","Mato Grosso","Fazenda Acurizal. Rio Paraguai. Pantanal.","-57.53","-17.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107518' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014029","NY01014029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1014151","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","G. Schaller","184","1978","05","15","South America","Brazil","Mato Grosso","Pantanal. Rio Paraguai, Fazenda Acurizal.","-57.53","-17.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108325' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014151","NY01014151_01","J. R. I. Wood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1014028","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","R. M. Harley","11139","1968","11","20","South America","Brazil","Mato Grosso","Expedition Base Camp. Rio Suia Missù, c. 20 km N. of the ferry and c. 50 km N.N.W. of base camp.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107516' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014028","NY01014028_01","D. F. Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1014027","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","J. E. de Paula","1779",NA,NA,NA,"South America","Brazil","Mato Grosso","Porto Jofre. Rio Cuiabá, Baia acima do Pequerí.","-56.7739","-17.3639","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107515' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014027","NY01014027_01","D. F. Austin","Poconé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:07:56-03","UNESP-IBB","BOTU","22866","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Amaral Jr., A.","392","1999","04","11",NA,"Brasil","São Paulo",NA,"-51.951917","-21.53",NA,"Trepadeira com flor lilás.","BOTU022866",NA,NA,"Panorama","51°57'06.9w","21°31'48s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-08 11:07:56-03","UNESP-IBB","BOTU","27402","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Barbosa, S.B.","69","2010","10","27",NA,"Brasil","Mato Grosso do Sul",NA,"-57.036111","-19.586944",NA,"Trepadeira, flores lilás","BOTU027402",NA,"Barbosa, S.B.","Miranda","57°02'10w","19°35'13s","2010","10","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 11:07:56-03","UNESP-IBB","BOTU","27401","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Barbosa, S.B.","68","2010","10","27",NA,"Brasil","Mato Grosso do Sul",NA,"-57.036111","-19.586944",NA,"Trepadeira, flores lilás","BOTU027401",NA,"Barbosa, S.B.","Miranda","57°02'10w","19°35'13s","2010","10","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:29:56-03","UFRJ","RFA","34919","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","C.M. Vieira; M.A. Louzada","1392","2004","05","21",NA,"Brasil","Rio de Janeiro","trecho Ilha do Capixete - Itaocara","-42.076099395752","-21.6692008972168",NA,"Trepadeira heliófila, comum nas bordas das ilhas em área alterada e sobre cobertura arbórea; Flores com cálice verde, corola vinoso-vivo. frutos esverdeados","RFA39733",NA,"R. Simão Bianchini","Itaocara",NA,NA,"2011","10","07","22830","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:37:33-03","EAO","IAN","101090","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Lanjouw, J; Lindeman, JC","1430","1948","12","17","Southern America","Brasil",NA,"Swamp near Km 0,5, 2nd line.",NA,NA,NA,NA,"IAN101090",NA,"Austin, DF",NA,NA,NA,"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:37:33-03","EAO","IAN","70673","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Black, GA; Magalhães, D","12872","1951","08","23","Southern America","Brasil",NA,"Rio Branco, Rio Mucajaí, Colônia Fernando Costa.",NA,NA,NA,NA,"IAN070673",NA,"Austin, DF",NA,NA,NA,"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:37:33-03","EAO","IAN","174658","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Rocha, JBP; Silva, JP da","744","1990","03","14","Southern America","Brasil","Pará","Serra dos Carajás, córrego temporario próximo á EXPLO, N4.","-49.9021987915039","-6.06750011444092",NA,NA,"IAN174658",NA,"Ribeiro, BGS","Parauapebas",NA,NA,"1994","07",NA,"147801","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-26 18:07:40-03","CPAN-UFMS","COR","6562","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Silva,P.C.; Arantes, A.B.S.; Sanches, L.A.","6","1999","05","19",NA,"Brasil","Mato Grosso do Sul","Estrada da Manga (Sentido Corumbá, Porto da Manga).","-57.443056",NA,NA,"presença de látex; Com Flor: purpura Habito: Erva volúvel",NA,NA,"Staples G.","Corumbá","57º26'35''W","19º13'65''S","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-26 18:07:40-03","CPAN-UFMS","COR","1214","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Palmeira,S.S.","8","1987","08","02",NA,"Brasil","Mato Grosso do Sul",NA,"-57.6533012390137","-19.0091991424561",NA,"Com Flor: vermelha",NA,NA,NA,"Corumbá",NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-26 18:07:40-03","CPAN-UFMS","COR","1506","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","V.J.Pott et alii","496","1988","04","09",NA,"Brasil","Mato Grosso do Sul","Estrada próximo ao Madeirão(Prop. Dr. Romeu.","-57.65","-19.016667",NA,"Com Flor: rosa Habito: Trepadeira",NA,NA,NA,"Corumbá","57º39'0''W","19º1'0''S",NA,NA,NA,NA,NA,"141","141",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-26 18:07:40-03","CPAN-UFMS","COR","1335","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Lopo, N. L.; Pott, V. J.; Bueno, N. C.; Pereira, R.","9","1989","04","24",NA,"Brasil","Mato Grosso do Sul","3 km Posto Esdras- Próximo ao Assentamento Taquaral.","-57.75","-19.066667",NA,"Trepadeira com flor: lilás Habitat: Vegetação secundária Habito: Trepadeira",NA,NA,"Damasceno-Junior, G. A.","Corumbá","57º45'0''W","19º4'0''S","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-26 18:07:40-03","CPAN-UFMS","COR","3550","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Sanches,A.L. et al.","16","1994","05","31",NA,"Brasil","Mato Grosso do Sul",NA,"-57.6533012390137","-19.0091991424561",NA,"Habito: Erva Trepadeira",NA,NA,NA,"Corumbá",NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-26 18:07:40-03","CPAN-UFMS","COR","116","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Conceição, C.A.","1356","1983","05","11",NA,"Brasil","Mato Grosso do Sul",NA,"-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,"Corumbá",NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-26 18:07:40-03","CPAN-UFMS","COR","5600","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Freitas,A.L.;Sório,V.F.","10","1998","05","17",NA,"Brasil","Mato Grosso do Sul","Corixo Preza-Pantanal do Paraguai. beira de Capão; argiloso;.","-57.6533012390137","-19.0091991424561",NA,"Com Flor: roxa",NA,NA,"G. Staples","Corumbá",NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-26 18:07:40-03","CPAN-UFMS","COR","6807","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Assis,E.L.M. et al.","85","1999","11","01",NA,"Brasil","Mato Grosso do Sul","Branave.","-57.6016998291016","-19.0046997070312",NA,"Habito: Liana",NA,NA,"P.C.Silva","Ladário",NA,NA,NA,NA,NA,"23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-26 18:07:40-03","CPAN-UFMS","COR","5150","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Damasceno Jr,G.A. et al.","806",NA,NA,NA,NA,"Brasil","Mato Grosso do Sul","Campo inundável e margem do rio Paraguai. mata ciliar; ;.","-57.6016998291016","-19.0046997070312",NA,"Com Flor: roxa Habito: trepadeira",NA,NA,NA,"Ladário",NA,NA,"2016",NA,NA,"23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-02 16:28:45-03","CPAN-UFMS","COR","6567","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Silva, P.C.; Damasceno - Junior, G.A.; Moreira, M.M.M.; Assis, E.L.M.","11","1999","05","28",NA,"Brasil","Mato Grosso do Sul","Estrada Codrasa.","-57.6016998291016","-19.0046997070312",NA,"Presença de látex e associação com galhas; Com Flor: purpura; Importância Econômica: Ornamental Habito: Erva volúvel",NA,NA,"Silva, P.C.","Ladário",NA,NA,NA,NA,NA,"23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-26 18:07:40-03","CPAN-UFMS","COR","5147","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Damasceno Jr,G.A. et al.","825","1995","06","07",NA,"Brasil","Mato Grosso do Sul","Mata ciliar do rio Paraguai, próximo ao Polder. mata ciliar; ;.","-57.6016998291016","-19.0046997070312",NA,"área inundável; Com Flor: rosa muito claro Habito: trepadeira",NA,NA,NA,"Ladário",NA,NA,NA,NA,NA,"23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-26 18:07:40-03","CPAN-UFMS","COR","5145","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Damasceno Jr,G.A.","999","1993","06","16",NA,"Brasil","Mato Grosso do Sul","Mata ciliar do rio Paraguai, próximo ao Polder. mata ciliar; ;.","-57.6016998291016","-19.0046997070312",NA,"Com Flor: lilás Habito: trepadeira",NA,NA,"G. Staples","Ladário",NA,NA,"2016",NA,NA,"23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-26 18:07:40-03","CPAN-UFMS","COR","11604","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Damasceno Júnior, G.A.; Moreira, M.M.M.; Assis, E.; Rodriguez, D.P.; Ishii, I.H.; Barbosa, D.S.","1719","1999","10","02",NA,"Brasil","Mato Grosso do Sul","próxima a margem da Baía Negra. área inundável próx a baía negra; ;.","-57.6016998291016","-19.0046997070312",NA,"Com Flor: púrpura",NA,NA,"Damasceno-Junior, G.A.","Ladário",NA,NA,NA,NA,NA,"23141","auto","212","212",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:05:28-03","ESALQ","ESA","43132","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Souza, V.C.; Souza, J.P.; Duarte, A.R.; Mazine, F.F.","14306.0","1997","03","16",NA,"Brasil","Mato Grosso","Beira do Rio das Mortes, próximo à desembocadura no Rio Araguaia. Arredores do Lago Patizal. Vegetação ribeirinha, alagada, com árvores esparsas (conhecida localmente como varjão).",NA,"-117.275",NA,"Escandente; flores rosa-forte.","ESA043132","ESA043132","Simão-Bianchini, R.","São Félix do Araguaia","-50,735,278","-117,275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:05:28-03","ESALQ","ESA","68581","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Convolvulaceae","Ipomoea","rubens","Ipomoea rubens","Choisy","Romão, G.O. ; Mazine, F.F.","4.0","1999","03","28",NA,"Brasil","Mato Grosso do Sul",NA,"-56.3782997131348","-20.2406005859375",NA,NA,"ESA068581","ESA068581","Romão, G.O.","Miranda",NA,NA,NA,NA,NA,"92112","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
