"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","fieldNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","individualCount","class","order","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified"
"1","2020-01-27 11:22:00-03","MO","MOBOT","101173637","PreservedSpecimen","Plantae","Lycopodiaceae","Pseudolycopodiella","tatei","Pseudolycopodiella tatei","(A.C. Sm.) Holub","Kelsey Cook (MU)","Bruce K. Holst|Ronald L. Liesner","Holst 3221a","87-22","1987","2","28","South America","Venezuela","Amazonas","ATURES: Valley of Río Coro-Coro, W of Serrania de Yutaje. Plateau on W side of valley. Open savanna with scattered shrubs; periodi- cally wet, surrounded by exposed sand- stone with dwarfed vegetation.","-66.1416666","5.6833333","1000.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2586815","PreservedSpecimen","Plantae","Lycopodiaceae","Pseudolycopodiella","tatei","Pseudolycopodiella tatei","(A. C. Smith) Holub","Cook, Kelsey","-. Vareschi","4622",NA,"1956","4",NA,"South America - Neotropics","Venezuela","Bolivar","Terraza de Guayaraca, cerca del campamento de Guayaraca. Auyán-tepui",NA,NA,"1100","1","Pteridophyte","Lycopodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2628733","PreservedSpecimen","Plantae","Lycopodiaceae","Pseudolycopodiella","tatei","Pseudolycopodiella tatei","(A. C. Smith) Holub","Cook, Kelsey","J. A. Steyermark","105154",NA,"1971","9","20","South America - Neotropics","Venezuela","Amazonas","Cerro Autana","-67.45","4.86","1230","1","Pteridophyte","Lycopodiales","1240",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3296697","PreservedSpecimen","Plantae","Lycopodiaceae","Pseudolycopodiella","tatei","Pseudolycopodiella tatei","(A. C. Smith) Holub","Cook, Kelsey","T. Henkel, M. Chin & W. Ryan","1158",NA,"1993","2","3","South America - Neotropics","Guyana","Potaro-Siparuni","Pakaraima Mts, Upper Ireng River, 2 km E of Cipo settlement on N end of adjacent ridge","-60.0167","4.81667","750","1","Pteridophyte","Lycopodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2420630","PreservedSpecimen","Plantae","Lycopodiaceae","Pseudolycopodiella","tatei","Pseudolycopodiella tatei","(A. C. Smith) Holub","Cook, Kelsey","V. Vareschi & E. Foldats","4622",NA,"1956","4","20","South America - Neotropics","Venezuela","Bolívar","Auyan-tepuí, campamento Guayaraca","-62.53","5.68","1100","1","Pteridophyte","Lycopodiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-12 15:24:19-03","UFMG","BHCB-SL","90392","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodiella","benjaminiana","Lycopodiella benjaminiana","P.G.Windsch","Salino, A","Salino, A; Mota, NFO; Almeida, TE; Viana, PL; Santos, FMG","9963",NA,"2004","10","31","América","Brasil","Minas Gerais","APA Águas Vertentes, Região da Mata do Isidoro. Entorno do Parque Estadual do Rio Preto, nas proximidades do Pico Dois Irmãos. Área com diversas formações campestres, Mata de Galeria e Capões de Mata.","-43.284778","-18.210389","1150",NA,NA,NA,"1350","Felício dos Santos","-43.284778","-18.210389","Terrestre em campo limpo úmido.","BHCB016197",NA,NA,NA,NA
"7","2020-03-04 20:43:20-03","UFMG","BHCB-SL","81654","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodiella","benjaminiana","Lycopodiella benjaminiana","P.G.Windsch","Salino, A","Mota, RC; Morais, PO","1979",NA,"2003","05","08","América","Brasil","Minas Gerais","Serra do Caraça, Trilha que leva ao Pico do Sol.","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,NA,"Catas Altas",NA,NA,"Planta coletada em campo de altitude. Erva terrestre em barranco úmido e compacto.","BHCB016196","11966","auto",NA,NA
"8","2020-03-04 20:43:24-03","UFMG","BHCB-SL","106660","PreservedSpecimen","Plantae","Lycopodiaceae","Pseudolycopodiella","benjaminiana","Pseudolycopodiella benjaminiana","(P.G.Windsch) B.Øllg.","Almeida, TE; Salino, A","Almeida, TE; Souza, DT; Giorni, VT","792",NA,"2007",NA,NA,"América","Brasil","Minas Gerais",NA,"-43.356139","-18.193083","128",NA,NA,NA,"128","São Gonçalo do Rio Preto","-43.356139","-18.193083","Terrestre em areia sobre pedra, no Córrego das Éguas",NA,NA,NA,"2007","04"
"9","2020-03-04 20:43:24-03","UFMG","BHCB-SL","59290","PreservedSpecimen","Plantae","Lycopodiaceae","Pseudolycopodiella","benjaminiana","Pseudolycopodiella benjaminiana","(P.G.Windsch) B.Øllg.",NA,"Salino, A; Carvalho, FA; Morais, RO","6841",NA,"2001",NA,NA,"América","Brasil","Minas Gerais","Parque Natural do Caraça Pico do Inficionado","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,NA,"Catas Altas",NA,NA,"Terrestre junto a riacho, crescendo a sombra de gramíneas, no campo úmido, a 1700m de altitude",NA,"11966","auto",NA,NA
"10","2020-02-11 18:26:08-03","UFMG","BHCB-SL","90327","PreservedSpecimen","Plantae","Lycopodiaceae","Pseudolycopodiella","tatei","Pseudolycopodiella tatei","(A.C.Sm.) Holub","Øllgaard, BO","Salino, A; Mota, NFO; Almeida, TE; Viana, PL; Santos, FMG","9898",NA,"2004",NA,NA,"América","Brasil","Minas Gerais","Região da Mata do Isidoro. Entorno do Parque Estadual do Rio Preto, nas proximidades do Pico Dois Irmãos. Área com diversas formações campestres, Mata de Galeria e Capões de Mata.","-43.288028","-18.191556","1150",NA,NA,NA,"1350","Felício dos Santos","-43.288028","-18.191556","Terrestre em campo limpo úmido.","BHCB016136",NA,NA,"2014","08"
