"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1522758","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","angustifolia","Marlierea angustifolia","(O.Berg) Mattos","M. F. Santos","J. Mattos","15437","1969","05","29","South America","Brazil","São Paulo","Paranapiacaba, (via ferrea Sao Paulo-Santos) Estaçao Biologica.","-46.3","-23.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776772' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522758","NY01522758_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00908421","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","angustifolia","Marlierea angustifolia","(O.Berg) Mattos","M. L. Kawasaki","J. R. Pirani","2268","1988","02","14","South America","Brazil","Minas Gerais","2 km W da cidade, na Rodovia para Juramento, no alto da serra","-43.3","-17.07","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908421","NY00908421_01","Itacambira","1220","1220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00908446","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","angustifolia","Marlierea angustifolia","(O.Berg) Mattos","M. L. Kawasaki","M. L. Kawasaki","1019","1997","09","27","South America","Brazil","Minas Gerais","Contrafortes a leste da trilha da tropa, que vai da cidade até Periperi passando pelo alto da serra, nas encostas à esquerda do ribeirao do Inferno","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908446","NY00908446_01","Grão Mogol","1210","1210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00908447","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","angustifolia","Marlierea angustifolia","(O.Berg) Mattos","M. L. Kawasaki","I. Cordeiro","CFCR791","1981","04","13","South America","Brazil","Minas Gerais","Grao Mogol. Atrás da Cidade","-42.8943","-16.5648","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908447","NY00908447_01","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00908445","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","angustifolia","Marlierea angustifolia","(O.Berg) Mattos",NA,"H. S. Irwin","23532","1969","02","19","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 15 km west of Grão Mogol, road to Cristália.","-42.9786","-16.6349","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908445","NY00908445_01","Cristália","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00908422","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","angustifolia","Marlierea angustifolia","(O.Berg) Mattos","M. L. Kawasaki","R. de Mello-Silva","CFCR8544","1985","09","05","South America","Brazil","Minas Gerais","Jambeiro á 7 km de Grao Mogol","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908422","NY00908422_01","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:42-03","ESALQ","ESA","52566","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Marlierea","angustifolia","Marlierea angustifolia","(O. Berg) Mattos","Sobral, M.","Forzza, R.C. et al.","3536.0","2004","07","26",NA,"Brasil","Minas Gerais",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA052566",NA,"Lima Duarte",NA,NA,"2006","01","01","30417","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:14:42-03","ESALQ","ESA","61852","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Marlierea","angustifolia","Marlierea angustifolia","(O.Berg) Mattos","Kawasaki, M.L.","Mazine, F.F. et al.","157.0","1999","08","17",NA,"Brasil","Minas Gerais",NA,"-41.8683013916016","-20.4333000183105",NA,NA,"ESA061852",NA,"Alto Caparaó",NA,NA,NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:42-03","ESALQ","ESA","52567","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Marlierea","angustifolia","Marlierea angustifolia","(O. Berg) Mattos","Sobral, M.","Forzza, R.C. et al.","3986.0","2005","05","26",NA,"Brasil","Minas Gerais",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA052567",NA,"Lima Duarte",NA,NA,"2006","01","01","30417","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:42-03","ESALQ","ESA","79388","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Marlierea","angustifolia","Marlierea angustifolia","(O.Berg) Mattos","Mazine, F.F.","Leoni, L.S.","4235.0","1999","08","08",NA,"Brasil","Minas Gerais",NA,"-41.8683013916016","-20.4333000183105",NA,NA,"ESA079388",NA,"Alto Caparaó",NA,NA,NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA,NA,NA
