"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","typeStatus","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:33:19-03","UNESC","CRI","10906","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","Vanilde C. Zanette","Humberto de Bona Martins; Karoline Ceron","2014","10","01","Brasil","Santa Catarina","Orleans","PESF.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","CRI001581","CRI001581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:19-03","UNESC","CRI","2806","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","Brade","Edmundo Pereira","1944","07","09","Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos orgãos.","-43.207778","-22.903333","43º12'28''W","22º54'12''S","13","13","CRI001584","CRI001584","398","Habito: trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 15:16:31-03","UNESC","CRI","14130","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","San Zatta Custódio","San Zatta Custódio","2014","10","22","Brasil","Santa Catarina","Orleans",NA,"-49.285278","-28.368333","49º17'7''W","28º22'6''S",NA,NA,"CRI012780",NA,NA,NA,"2014","10","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:02-03","UNESC","CRI","12761","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","Aline Votri Guislon & Renato colares","Aline Votri Guislon","2017","11","06","Brasil","Santa Catarina","Lauro Muller","Trilha Estância Pé da Serra.","-49.519167","-28.381111","49º31'9''W","28º22'52''S","750","750","CRI011025","CRI011025",NA,"Habito: Epífita","2017","11","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:02-03","UNESC","CRI","1188","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","Jorge Luiz Waechter","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1992","07","23","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI001524","CRI001524","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:02-03","UNESC","CRI","3397","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","Vanilde Citadini- Zanette","Robson dos Santos","1994","09","17","Brasil","Santa Catarina","Forquilhinha","Horto Florestal de Forquilhinha.","-49.466667","-28.733333","49º28'W","28º44'S","42","42","CRI001523","CRI001523","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:02-03","UNESC","CRI","14018","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","Marcos Sobral","Vanilde Citadini-Zanette","1997","01","08","Brasil","Santa Catarina","Morro Grande","Pingador","-49.7207984924316","-28.8006000518799",NA,NA,NA,NA,"CRI012668",NA,NA,"Habitat: Terrestre Habito: Trepadeira","1999","01","12","22172","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","454123","PreservedSpecimen","Plantae","Begoniaceae","Begonia","castaneifolia","Begonia castaneifolia","Otto & A.Dietr.",NA,"Collector unspecified",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"NY00454123",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712422' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","778049","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","E. de L. Jacques","L. Rossi","2000","09","21","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha do Poçao, em direçao à Mantegueira","-45.43","-23.58",NA,NA,"60","85","NY00778049","NY00778049_01","2189","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664894' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","453941","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","L. B. Smith; B. G. Schubert","P. K. H. Dusén","1908","12","30","Brazil","Paraná","Piraquara","Roça Nova","-49.0631","-25.4419",NA,NA,NA,NA,"NY00453941","NY00453941_01","7424","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664906' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
