"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","recordNumber","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","phylum","relatedCatalogItem"
"1","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0252707","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Melocactus","pachyacanthus","Melocactus pachyacanthus","Buining & Brederoo","Taylor NP","1991","10","14","holotype","Horst L","Southern America","Brazil","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252707","NL-U0252707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:19:46-03","MBM","MBM","215186","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Melocactus","pachyacanthus","Melocactus pachyacanthus","Buining & Brederoo","Queiróz, L.P. de",NA,NA,NA,NA,"Queiróz, L.P. de; et al.; et al.","Southern America","Brazil","9km W do entroncamento para Irecê",NA,"MBM215186","MBM215186","3996","1994","06","18","Bahia","Irecê","-41.8558006286621","-11.3042001724243","19644","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-06-15 15:29:44-03","UNESP-RC","HRCB","14133","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Melocactus","pachyacanthus buining & brederoo","Melocactus pachyacanthus buining & brederoo",NA,NA,NA,NA,NA,NA,"Taylor, N. P.",NA,"Brasil",NA,"Plants extremaly frequent (all age classes), many with multiple cephalia due to grazing by goats and probably also donkeys; plants shallowly rooted in loose gravel, sometimes in very dense populations",NA,NA,"1386","1991","01","09","Bahia","Campo Formoso","-40.3213996887207","-10.5074996948242","104183","auto","520","520",NA,NA,NA,NA,NA
"4","2019-11-13 11:17:20-03","USP","SPF","80852","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Melocactus","pachyacanthus","Melocactus pachyacanthus viridis","N.P.Taylor","Zappi, DC; Taylor, NP","1989",NA,NA,"isotype","Harley, RM; Taylor, NP; Zappi, DC",NA,"Brasil","2 km ao oeste de Campo Belo (Belo Campo). Lajedo calcáreo. Com muitas Bromeliáceas e alguns arbustos.",NA,"SPF00080852",NA,"27400","1988","12","26","Bahia","América Dourada","-41.7","-11.5",NA,NA,"750","750","viridis","-41.7","-11.5",NA,NA
"5","2019-11-13 11:17:20-03","USP","SPF","80990","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Melocactus","pachyacanthus","Melocactus pachyacanthus","Buining & Brederoo","Zappi, DC",NA,NA,NA,NA,"Zappi, DC",NA,"Brasil",NA,NA,"SPF00080990",NA,"140","1989","07","17","Bahia","Irecê","-41.8558006286621","-11.3042001724243","19644","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-07 09:18:39-03","UEFS","HUEFS","119089","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Melocactus","pachyacanthus","Melocactus pachyacanthus","Buining & Brederoo","M.Machado","2008","10",NA,NA,"Cardoso, D.",NA,"Brasil","Ca 2 Km da Comunidade Gruta dos Brejões.","Caatinga arbórea-arbustiva sobre afloramento de calcário.","HUEFS0119089","HUEFS0119089","1887","2007","05","04","Bahia","Morro do Chapéu","-40.407778","-11.013611",NA,NA,NA,NA,NA,"40W24'28''","11S0'49''","Angiospermae",NA
"7","2019-10-07 09:18:39-03","UEFS","HUEFS","168195","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Melocactus","pachyacanthus","Melocactus pachyacanthus","Buining & Brederoo",NA,NA,NA,NA,NA,"Machado, M.",NA,"Brasil","Estrada para a Gruta dos Brejões.","Caatinga.","HUEFS0168195","HUEFS0168195 HUEFS0168195_01 HUEFS0168195_02","811","2006","10","06","Bahia","Morro do Chapéu","-41.406111","-11.014722",NA,NA,"675","675",NA,"41W24'22''","11S0'53''","Angiospermae",NA
"8","2019-10-07 09:18:39-03","UEFS","HUEFS","168185","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Melocactus","pachyacanthus","Melocactus pachyacanthus subsp. viridis","N.P.Taylor",NA,NA,NA,NA,NA,"Machado, M.",NA,"Brasil","Afloramentos de calcáreo no leito do Rio Salitre, próximo a vila de Bejões, passando pela vila de Icó. Local conhecido como Lagedo Bordado.","caatinga","HUEFS0168185","HUEFS0168185 HUEFS0168185_01 HUEFS0168185_02","801","2006","10","05","Bahia","Morro do Chapéu","-41.085278","-11.272778",NA,NA,"740","740","subsp. viridis","41W5'7''","11S16'22''","Angiospermae",NA
"9","2019-10-07 09:18:39-03","UEFS","HUEFS","168197","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Melocactus","pachyacanthus","Melocactus pachyacanthus subsp. viridis","N.P.Taylor",NA,NA,NA,NA,NA,"Machado, M.",NA,"Brasil","Ca. 8km na estrada de Gameleira para Curralinho.","Caatinga.","HUEFS0168197","HUEFS0168197 HUEFS0168197_01 HUEFS0168197_02","813","2006","10","06","Bahia","São Gabriel","-41.673889","-11.015",NA,NA,"789","789","subsp. viridis","41W40'26''","11S0'54''","Angiospermae",NA
"10","2019-10-07 09:18:39-03","UEFS","HUEFS","41711","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Melocactus","pachyacanthus","Melocactus pachyacanthus subsp. viridis","N.P.Taylor",NA,NA,NA,NA,"Isótipo","Harley, R.M.",NA,"Brasil","2 Km ao oeste de Campo Belo (Belo Campo).",NA,"HUEFS0041711",NA,"27400","1988","12","26","Bahia","América Dourada","-41.7","-11.5",NA,NA,NA,"750","subsp. viridis","41W42'","11S30'","Angiospermae",NA
