"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","353887","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","rufo-tomentosa","Kielmeyera rufo-tomentosa","Saddi","isotype","J. G. Kuhlmann","6648","1943","12","08","South America","Brazil","Espírito Santo","Rio Pancas - Colatina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00353887","NY00353887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:27:34-03","UNICAMP","UEC","185001","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","rufotomentosa","Kielmeyera rufotomentosa","Saddi",NA,"Trad, RJ; Trad, MFDJ","560","2014","12","13",NA,"Brazil","Espírito Santo","Saída da ES-080 sentido Colatina. Estrada de terra para o Viveiro Vivaldi. São João de Petrópolis, Córrego do Manganga. Pedra atrás do viveiro.",NA,"Árvore ca. 2 m. Caule avermelhado. Botões florais esverdeados. Flores com sépalas verdes e pétalas brancas; odor adocicado. Látex alaranjado.; Inselberg","UEC105579","UEC105579","Trad, RJ","2015","03","15","Santa Teresa","-40.694722","-19.828333","-40.694722","-19.828333","206","206",NA,NA,NA,NA
"3","2021-03-01 16:27:34-03","UNICAMP","UEC","185016","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","rufotomentosa","Kielmeyera rufotomentosa","Saddi",NA,"Trad, RJ; Trad, MFDJ","562","2014","12","13",NA,"Brazil","Espírito Santo","Saída da ES-080 sentido Colatina. Estrada de terra para o Viveiro Vivaldi. São João de Petrópolis, Córrego do Manganga. Pedra atrás do viveiro.",NA,"Árvore ca. 2,5 m. Caule avermelhado. Botões florais esverdeados. Flores com sépalas verdes e pétalas brancas; odor adocicado. Látex alaranjado.; Inselberg","UEC105608","UEC105608","Trad, RJ","2015","03","15","Santa Teresa","-40.694722","-19.828333","-40.694722","-19.828333","206","206",NA,NA,NA,NA
"4","2021-03-01 16:27:34-03","UNICAMP","UEC","196225","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","rufotomentosa","Kielmeyera rufotomentosa","Saddi",NA,"Trad, RJ; Trad, MFDJ","561","2014","12","13",NA,"Brazil","Espírito Santo","Saída da ES-080 sentido Colatina. Estrada de terra para o Viveiro Vivaldi. São João de Petrópolis, Córrego do Manganga. Pedra atrás do viveiro.",NA,"Árvore ca. 2,5 m. Caule avermelhado. Botões florais esverdeados. Flores com sépalas verdes e pétalas brancas; odor adocicado. Látex alaranjado.; Inselberg","UEC182729","UEC182729","Trad, RJ","2015","03","15","Santa Teresa","-40.694722","-19.828333","-40.694722","-19.828333","206","206",NA,NA,NA,NA
"5","2021-03-01 16:27:34-03","UNICAMP","UEC","197824","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","rufotomentosa","Kielmeyera rufotomentosa","Saddi",NA,"Monge, M; Scatigna, AV","1329","2012","09","25",NA,"Brazil","Espírito Santo","Pedra do Rúdio. São joão de Petrópolis. Sítio do Sr. Joãozinho",NA,"Árvore, 4 m de altura, frutos marrom com papulas alvas semelhantes a farinha latex alvo.; Afloramento rochoso, moita de vegetação.","UEC154670","UEC154670","Monge, M",NA,NA,NA,"Santa Teresa","-40.602778","-19.955556","-40.602778","-19.955556",NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:27:34-03","UNICAMP","UEC","201716","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","rufotomentosa","Kielmeyera rufotomentosa","Saddi",NA,"Trad, RJ; Oliveira, LA","643","2018","01","20",NA,"Brazil","Espírito Santo","Pedra do Camelo",NA,"Árvore ca. 3,0 m, exudato esbranquiçado, flores com cálice verde, às vezes com ápice vináceo, e corola branca. Odor adocicado.; Ilha de vegetação onde há mais matriz sobre o afloramento rochoso.","UEC166783","UEC166783","Trad, RJ",NA,NA,NA,"Pancas","-40.798639","-19.229944","-40.798639","-19.229944","339","339",NA,NA,NA,NA
"7","2021-03-01 16:27:34-03","UNICAMP","UEC","201725","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","rufotomentosa","Kielmeyera rufotomentosa","Saddi",NA,"Trad, RJ; Oliveira, LA","642","2018","01","20",NA,"Brazil","Espírito Santo","Pedra do Camelo",NA,"Árvore ca. 2,5 m, exudato esbranquiçado, flores com cálice verde, às vezes com ápice vináceo, e corola branca. Odor adocicado.; Ilha de vegetação onde há mais matriz sobre o afloramento rochoso.","UEC191139","UEC191139","Trad, RJ","2018","02",NA,"Pancas","-40.798639","-19.229944","-40.798639","-19.229944","339","339",NA,NA,NA,NA
"8","2021-03-01 16:27:34-03","UNICAMP","UEC","205828","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","rufotomentosa","Kielmeyera rufotomentosa","Saddi",NA,"Trad, RJ; Oliveira, LA","641","2018","01","20",NA,"Brazil","Espírito Santo","Pedra do Camelo",NA,"Árvore ca. 2,5 m, exudato esbranquiçado, flores com cálice verde, às vezes com ápice vináceo, e corola branca. Odor adocicado.; Ilha de vegetação onde há mais matriz sobre o afloramento rochoso.","UEC191137","UEC191137","Trad, RJ","2018","02",NA,"Pancas","-40.798639","-19.229944","-40.798639","-19.229944","339","339",NA,NA,NA,NA
"9","2021-03-01 16:27:34-03","UNICAMP","UEC","184809","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","rufotomentosa","Kielmeyera rufotomentosa","Saddi",NA,"Demuner, V; Bausen, E; Pizziolo, W; Kollmann, L","1013","2000","05","10",NA,"Brazil","Espírito Santo","São João de Petrópolis, (Barra se Santo Hilário), Paulo Zanette.",NA,"Arbusto, 6m, futo or marrom claro, poucas folhas, enraizada em uma abertura na rocha.","UEC104878","UEC104878","Trad, RJ","2018","12",NA,"Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"23813","auto",NA,NA
"10","2021-03-01 16:27:34-03","UNICAMP","UEC","197936","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","rufotomentosa","Kielmeyera rufotomentosa","Saddi",NA,"Fortuna-Perez, AP","1517","2005","07","08",NA,"Brazil","Espírito Santo","Vale do Canaã, afloramento rochoso com vegetação rupestre, próximo do terreno do Coqueto e Belumat.",NA,"Arbusto, rupestre com 2m, heliófila, frutos cinza-esverdeados, planta caducifolia.","UEC156955","UEC156955","Trad, RJ","2018","03",NA,"Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"23813","auto",NA,NA
