"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","8556","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","miliacea","Fimbristylis miliacea","(L.) Vahl","Vanilde Citadini-Zanette","2006","06","03","Alecsandro Shardosim Klein","2006","06","02","Brasil","Santa Catarina","Urussanga","Rio Carvão Alto.","-49.321389","-28.525556","49º19'17''W","28º31'32''S","300","300","Habito: Herbácea","CRI013684","CRI013684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","868500","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","littoralis","Fimbristylis littoralis","Gaudich.","W. W. Thomas",NA,NA,NA,"J. U. M. dos Santos","1978","02","20","Brazil","Acre","Rio Branco","Km 45 da Rod. Rio Branco-Porto Velho, ramal que vai para o lugar chamado Desemgano.","-67.81","-9.97472",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868500","NY00868500_01","Magnoliophyta","Poales","40","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","755412","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","littoralis","Fimbristylis littoralis","Gaudich.","W. W. Thomas",NA,NA,NA,"P. J. M. Maas","1971","05","08","Brazil","Acre","Cruzeiro do Sul","Estr. Alhemanha","-72.6697","-7.6311",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755412","NY00755412_01","Magnoliophyta","Poales","P12785","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 02:31:00-03","NY","NYBG","192423","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","littoralis","Fimbristylis littoralis",NA,NA,NA,NA,NA,"P. Gómez Andrade","1988","09","25","Ecuador","Morona-Santiago",NA,"Centro Shuar Yukutais, 10km S of Sucua, right margin of Rio Upano","-78.15","-2.52",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704833' target='other'> <mi>dwc_moreinfo</mi></a>","NY00192423",NA,"Magnoliophyta","Poales","476","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02499358","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","littoralis","Fimbristylis littoralis","Gaudich.","W. W. Thomas",NA,NA,NA,"G. B. de Freitas","2009","02","26","Brazil","Paraíba","João Pessoa","Bessa: Dunas do estuário do Rio Jaguaribe","-34.8486","-7.1375",NA,NA,"47",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2511484' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499358","NY02499358_01","Magnoliophyta","Poales","JPB-57989","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 02:28:00-03","NY","NYBG","01177097","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","miliacea","Fimbristylis miliacea",NA,NA,NA,NA,NA,"F. E. L. de Miranda","1983","10","10","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1413654' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177097","NY01177097_01","Magnoliophyta","Poales","515","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2017-08-03 10:37:00-03","NY","NYBG","02618577","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","miliacea","Fimbristylis miliacea",NA,NA,NA,NA,NA,"R. E. Schultes","1946","09","24","Colombia","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2920858' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618577","NY02618577_01","Magnoliophyta","Poales","46-101","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","636979","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","miliacea","Fimbristylis miliacea","(L.) Vahl","E. R. Guaglianone",NA,NA,NA,"M. Moraes","1985","09","14","Bolivia","Pando","Federico Román","Río Orthon.",NA,NA,NA,NA,"140","140","leg. M. Moraes R. [on label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636979",NA,"Magnoliophyta","Poales","595","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01177107","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","miliacea","Fimbristylis miliacea","(L.) Vahl","T. M. Koyama",NA,NA,NA,"E. de Oliveira","1965","09","29","Brazil","Pará",NA,"Marajõ, Rio Genipapo, Igarapé da Faz. Tauá.","-50.7972222","-3.3722222",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1413729' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177107","NY01177107_01","Magnoliophyta","Poales","3423","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","636981","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","miliacea","Fimbristylis miliacea","(L.) Vahl","T. M. Koyama",NA,NA,NA,"G. Agostini","1973","11","07","Venezuela","Guárico",NA,"Carretera Calabozo- San Fernando de Apure, 80 km S de Calabozo.","-67.6","8.15",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636981",NA,"Magnoliophyta","Poales","2002","South America","sheet",NA,NA,NA,NA,NA,NA,NA
