"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01197852","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicolor","Myrcia bicolor","Kiaersk.","M. F. Santos","P. Fiaschi","2203","2004","04","02","South America","Brazil","Bahia","Uruçuca","Estrada de Serra Grande para Uruçuca. Área do inventário do plano de manejo do Parque Estadual da Serra do Conduru. Mata da torre do celular","-39.115","-14.4997","380","380","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105208' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197852","NY01197852_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02714792","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicolor","Myrcia bicolor","Kiaersk.","M. Sobral","J. G. Jardim","2409","2000","01","14","South America","Brazil","Bahia","Jussari","Entrada a 7.5 km na Rod. Jussari/Palmira. Faz. Teimoso, 1.7 km da entrada. Reserva Particular do Patrimônio natural (RPPN) Serra do Teimoso. Parcela 29","-39.5361","-15.1603",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623405' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714792","NY02714792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615591","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicolor","Myrcia bicolor","Kiaersk.","M. F. Santos","A. M. Amorim","1388","1993","09","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas efetuadas na Picada Paralela do Rumo da Reserva","-39.08","-15.15",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615591","NY00615591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01090788","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicolor","Myrcia bicolor","Kiaersk.","M. F. Santos","R. Callejas Posada","1573","1983","10","28","South America","Brazil","Bahia","Itabuna","Km 9 da estrada Juçari-Palmeira. Fazenda Sto Antonio.","-39.2803","-14.7858","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105500' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090788","NY01090788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02714691","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicolor","Myrcia bicolor","Kiaersk.","M. F. Santos","A. M. V. de Carvalho","6829","1999","09","25","South America","Brazil","Bahia","Jussari","Ca. 7.5 km na estrada Jussari/Palmira. RPPN Serra do Teimoso","-39.5833","-15.1667",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623388' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714691","NY02714691_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","405391","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicolor","Myrcia bicolor","Kiaersk.",NA,"A. F. M. Glaziou","10797","1878","11","20","South America","Brazil","Rio de Janeiro",NA,"Floresta da Tijua [?illegible]",NA,NA,NA,NA,"sheet","donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405391","NY00405391_01","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:21:23-03","UFBA","ALCB","69964","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","bicolor","Myrcia bicolor","Kiaersk.","Santos, MF dos","Costa, MA; Guedes, ML; Carvalho, G; Campos, G","141","2006","01","28","Southern America","Brasil","Bahia","Amargosa","Recôncavo Sul","-39.6","-13.016667",NA,NA,NA,"Árvore de ca 6,0m. Folhas coriáceas, discolores. Frutos imaturos, verdes. Ocasional.","ALCB058697",NA,NA,"2014","-39.6","-13.016667",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:21:23-03","UFBA","ALCB","69969","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","bicolor","Myrcia bicolor","Kiaersk.","Santos, MF dos","Costa, MA; Guedes, ML; Valadão, RM; Campos, G","145","2005","10","29","Southern America","Brasil","Bahia","Amargosa","Recôncavo Sul","-39.6","-13.016667",NA,NA,NA,"Árvore de ca 8,0 m. Folhas coriáceas, discolores. Inflorescência terminal, com flores alvas, cálice avermelhado. Frutos jovens. Ocasional.","ALCB058696",NA,NA,"2014","-39.6","-13.016667",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:49-03","ESALQ","ESA","85414","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","bicolor","Myrcia bicolor","Kiaersk","Santos, M.F.","Paula-Souza, J.; Souza, V.C.; Mello-Silva, R.","3626.0","2003","11","06",NA,"Brasil","São Paulo","Caraguatatuba","Estrada da Petrobrás (descendo em direção a Caraguatatuba) , km 42. Subida para o morro à esquerda da estrada","-454.032","-233.831",NA,NA,NA,"Arvoreta, ca. 3m alt. Flores creme","ESA085414",NA,NA,"2019","-454,032","-233,831",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-24 17:09:34-03","UFES","SAMES","4025","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","bicolor","Myrcia bicolor","Kiaersk.","M.C.Souza.","Giaretta,A.O.","1356","2012","10","24",NA,"Brasil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas. Floresta de restinga seca próximo à foz natural do rio Itaúnas.","-39.7322006225586","-18.5932998657227",NA,NA,NA,"Árvore de 11m. Botões creme.","SAMES04025",NA,NA,"2019",NA,NA,"09","05","41644","auto",NA,NA,NA,NA
