"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","decimalLongitude","decimalLatitude","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus","infraspecificEpithet"
"1","2020-09-23 10:42:49-03","E","E","70332","PreservedSpecimen","Plantae","Ranunculaceae","Ranunculus","flagelliformis","Ranunculus flagelliformis","Elliot, Clarence","190","Temperate South America","CL","Región IX [Araucanía]","Prov. de Cautín","Pucón.","305","305","herbarium specimen of unspecif","BGBASE:80260","Botanical specimen only.<a href=http://data.rbge.org.uk/herb/E00070332 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:49-03","E","E","70334","PreservedSpecimen","Plantae","Ranunculaceae","Ranunculus","flagelliformis","Ranunculus flagelliformis","Buchtien, Otto",NA,"Temperate South America","CL","Región X [Los Lagos]","Prov. de Valdivia","Valdivia.",NA,NA,"herbarium specimen of unspecif","BGBASE:80264","<a href=http://data.rbge.org.uk/herb/E00070334 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:49-03","E","E","70336","PreservedSpecimen","Plantae","Ranunculaceae","Ranunculus","flagelliformis","Ranunculus flagelliformis","Spruce, R.","5994","W. Tropical South America","EC",NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:80267","Coll. 1857-59<a href=http://data.rbge.org.uk/herb/E00070336 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:49-03","E","E","70333","PreservedSpecimen","Plantae","Ranunculaceae","Ranunculus","flagelliformis","Ranunculus flagelliformis","Cuming, Hugh","414","Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso","Valparaíso.",NA,NA,"herbarium specimen of unspecif","BGBASE:80262","<a href=http://data.rbge.org.uk/herb/E00070333 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070333","1905","01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:49-03","E","E","70330","PreservedSpecimen","Plantae","Ranunculaceae","Ranunculus","flagelliformis","Ranunculus flagelliformis","Spruce, R.","4470","W. Tropical South America","PE",NA,NA,"In monte Campana, prope Tarapoto.",NA,NA,"herbarium specimen of unspecif","BGBASE:80269","<a href=http://data.rbge.org.uk/herb/E00070330 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:49-03","E","E","70335","PreservedSpecimen","Plantae","Ranunculaceae","Ranunculus","flagelliformis","Ranunculus flagelliformis","Cuming, Hugh","414","Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso","Valparaíso.",NA,NA,"herbarium specimen of unspecif","BGBASE:80265","<a href=http://data.rbge.org.uk/herb/E00070335 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070335","1905","01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","649360","PreservedSpecimen","Plantae","Ranunculaceae","Ranunculus","flagelliformis","Ranunculus flagelliformis","G. Jansson","940a","South America","Brazil","Paraná",NA,"Pinhaes",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649360","1914","09","16","Magnoliophyta","Ranunculales","Sm.","P. K. H. Dusén","-49.157618","-25.419851","NY00649360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","649362","PreservedSpecimen","Plantae","Ranunculaceae","Ranunculus","flagelliformis","Ranunculus flagelliformis","M. Sobral","2407","South America","Brazil","Rio Grande do Sul","Camaqua","Camaqua, Pessegueiro",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649362","1983","10","12","Magnoliophyta","Ranunculales","Sm.","M. Sobral","-51.834028","-30.916916","NY00649362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 13:12:00-03","NY","NYBG","649365","PreservedSpecimen","Plantae","Ranunculaceae","Ranunculus","flagelliformis","Ranunculus flagelliformis","B. Øllgaard","9391","South America","Ecuador","Azuay",NA,"Sevilla de Oro, old road 10-12 km N of the village.","2750","2850","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43670' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649365","1976","09","11","Magnoliophyta","Ranunculales",NA,"P. Sklenár","-78.62","-2.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","649363","PreservedSpecimen","Plantae","Ranunculaceae","Ranunculus","flagelliformis","Ranunculus flagelliformis","J. E. Leite","156","South America","Brazil","Rio Grande do Sul","Sao Leopoldo","Arredores de Sao Leopoldo",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649363","1941","07",NA,"Magnoliophyta","Ranunculales","Sm.","L. D. Benson","-51.18","-29.75","NY00649363_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
