"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-11-01 14:53:09-03","UnB","UB","8852","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","diamantinae","Aspilia diamantinae","J.U. Santos","Santos, JUM","paratype","Killip, EP; Bishop, LE","8565","1981","01","19","Southern America","Brasil","Minas Gerais","22 km from Diamantina, along road NE to Mendanha","Erva ereta. Flor amarela; .","UB0036807","UB0036807",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-01 14:53:09-03","UnB","UB","207187","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","diamantinae","Aspilia diamantinae","J.U. Santos","Bringel, JBA",NA,"Chaves, DA","241","2014","03","07","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Módulo RAPELD Parque Estadual do Rio Preto e entorno","Cerrado Típico/Complexo Rupestre",NA,NA,"2015","10","São Gonçalo do Rio Preto","-43.338867","-18.104233","-43.338867","-18.104233","892","892"
"3","2019-11-01 14:53:09-03","UnB","UB","207191","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","diamantinae","Aspilia diamantinae","J.U. Santos","Bringel, JBA",NA,"Chaves, DA","245","2014","03","07","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Módulo RAPELD Parque Estadual do Rio Preto e entorno","Cerrado Típico/Complexo Rupestre",NA,NA,"2015","10","São Gonçalo do Rio Preto","-43.338867","-18.104233","-43.338867","-18.104233","892","892"
"4","2019-11-01 14:53:09-03","UnB","UB","207192","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","diamantinae","Aspilia diamantinae","J.U. Santos","Bringel, JBA",NA,"Chaves, DA","246","2014","03","07","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Módulo RAPELD Parque Estadual do Rio Preto e entorno","Cerrado Típico/Complexo Rupestre",NA,NA,"2015","10","São Gonçalo do Rio Preto","-43.345533","-18.108767","-43.345533","-18.108767","861","861"
"5","2019-11-01 14:53:09-03","UnB","UB","207288","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","diamantinae","Aspilia diamantinae","J.U. Santos","Bringel, JBA",NA,"Chaves, DA; Gonçalves, MF; Silva, MG","342","2014","05","01","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Subida para a Chapada dos Coutos passando pela mata dos crioulos","Complexo Rupestre",NA,NA,"2015","10",NA,"-43.340083","-18.251","-43.340083","-18.251","1619","1619"
"6","2019-11-01 14:53:09-03","UnB","UB","207339","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","diamantinae","Aspilia diamantinae","J.U. Santos","Bringel, JBA",NA,"Chaves, DA; Gonçalves, MF","393","2014","05","03","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Parque Estadual do Rio Preto, subida para a Chapada dos Coutos","Complexo Rupestre",NA,NA,"2015","10","São Gonçalo do Rio Preto","-43.33495","-18.153317","-43.33495","-18.153317","1046","1046"
"7","2019-11-01 14:53:09-03","UnB","UB","207372","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","diamantinae","Aspilia diamantinae","J.U. Santos","Bringel, JBA",NA,"Chaves, DA; Gonçalves, MF","426","2014","05","03","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Parque Estadual do Rio Preto, subida para a Chapada dos Coutos","Complexo Rupestre",NA,NA,"2015","10","São Gonçalo do Rio Preto","-43.335417","-18.195517","-43.335417","-18.195517","1356","1356"
"8","2019-11-01 14:53:09-03","UnB","UB","207429","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","diamantinae","Aspilia diamantinae","J.U. Santos","Bringel, JBA",NA,"Chaves, DA; Gonçalves, MF; Duarte, PJ","483","2014","06","22","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Parque Estadual do Rio Preto, área do Módulo PERP 1","Cerrado Típico/Complexo Rupestre",NA,NA,"2015","10","São Gonçalo do Rio Preto","-43.346133","-18.103933","-43.346133","-18.103933","964","964"
"9","2019-11-01 14:53:09-03","UnB","UB","207430","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","diamantinae","Aspilia diamantinae","J.U. Santos","Bringel, JBA",NA,"Chaves, DA; Gonçalves, MF; Duarte, PJ","484","2014","06","22","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Parque Estadual do Rio Preto, área do Módulo PERP 1","Cerrado Típico/Complexo Rupestre",NA,NA,"2015","10","São Gonçalo do Rio Preto","-43.34695","-18.108583","-43.34695","-18.108583","898","898"
"10","2019-11-01 14:53:09-03","UnB","UB","207431","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","diamantinae","Aspilia diamantinae","J.U. Santos","Bringel, JBA",NA,"Chaves, DA; Gonçalves, MF; Duarte, PJ","485","2014","06","22","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Parque Estadual do Rio Preto, área do Módulo PERP 1","Cerrado Típico/Complexo Rupestre",NA,NA,"2015","10","São Gonçalo do Rio Preto","-43.347283","-18.072983","-43.347283","-18.072983","909","909"
