"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","individualCount","occurrenceRemarks","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:52-03","FZB-BH","CVJBFZB","1650","S","Plantae","Magnoliophyta","Equisetopsida","Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri","(Barb. Rodr.) W.J. Hahn","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00568128","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri","(Barb.Rodr.) W.J.Hahn",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366561' target='other'> <mi>dwc_moreinfo</mi></a>","E. Lleras","A. J. Henderson","1618","1991","02","26","South America","Brazil","São Paulo","Pirassununga","-47.4197","-21.99","sheet","NY00568128","NY00568128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-21 10:46:00-03","NY","NYBG","02384568","PreservedSpecimen","Plantae",NA,NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583269' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","43608","1995","08","24","South America","Paraguay","San Pedro",NA,"-56.2114","-23.7961","sheet","NY02384568","NY02384568_01","Yaguareté forest (Sustainable Forest Systems Site). Around aserradero. North side","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-21 10:46:00-03","NY","NYBG","02384565","PreservedSpecimen","Plantae",NA,NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583263' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","45659","1996","10","30","South America","Paraguay","San Pedro",NA,"-56.1128","-23.8094","sheet","NY02384565","NY02384565_01","Yaguarete Forest (Sustainable Forest Systems site)","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 20:20:00-03","NY","NYBG","02384569","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583274' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","60631","2003","10","31","South America","Paraguay","Canindeyú",NA,"-55.2792","-24.1861","sheet","NY02384569","NY02384569_01 NY02384569_02 NY02384569_03","Mbaracayú Biosphere Reserve. Aguará Ñu; collecting area: around two hectares","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02384571","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri","(Barb.Rodr.) W.J.Hahn",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583277' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","54935","2000","08","28","South America","Paraguay","Canindeyú",NA,"-55.28","-24.1836","sheet","NY02384571","NY02384571_01 NY02384571_02 NY02384571_03","Aguara Ñu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02384563","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri","(Barb.Rodr.) W.J.Hahn",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583260' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","54953","2000","08","28","South America","Paraguay","Canindeyú",NA,"-55.28","-24.1836","sheet","NY02384563","NY02384563_01","Aguara Ñu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-21 10:46:00-03","NY","NYBG","02384567","PreservedSpecimen","Plantae",NA,NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583268' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","43657","1995","08","24","South America","Paraguay","San Pedro",NA,"-56.2114","-23.7961","sheet","NY02384567","NY02384567_01","Yaguareté forest (Sustainable Forest Systems Site). Around aserradero. South side","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-21 10:46:00-03","NY","NYBG","02384566","PreservedSpecimen","Plantae",NA,NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583264' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","43541","1995","08","24","South America","Paraguay","San Pedro",NA,"-56.2133","-23.8294","sheet","NY02384566","NY02384566_01","Yaguareté forest (Sustinable Forest Systems Site). Trail to confluence","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 20:20:00-03","NY","NYBG","02384570","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583275' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","60640","2003","10","31","South America","Paraguay","Canindeyú",NA,"-55.2792","-24.1861","sheet","NY02384570","NY02384570_02 NY02384570_03","Mbaracayú Biosphere Reserve. Aguará Ñu; collecting area: around two hectares","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-27 05:26:00-03","NY","NYBG","00568129","PreservedSpecimen","Plantae",NA,NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366559' target='other'> <mi>dwc_moreinfo</mi></a>","A. J. Henderson","E. M. Zardini","46512","1997","02","26","South America","Paraguay","Amambay",NA,"-56.0106","-22.6861","sheet","NY00568129","NY00568129_01","Parque Nacional Cerro Corá. Buffer zone.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02384560","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri","(Barb.Rodr.) W.J.Hahn",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583256' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","51378","1999","09","24","South America","Paraguay","Canindeyú",NA,"-55.285","-24.1597","sheet","NY02384560","NY02384560_01","Mbaracayú, Natural Reserve administered by Fundación Moisés Bertoni: Aguará-ñu-Horqueta Mi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-21 10:46:00-03","NY","NYBG","02384564","PreservedSpecimen","Plantae",NA,NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583261' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","45596","1996","10","30","South America","Paraguay","San Pedro",NA,"-56.2130556","-23.7930556","sheet","NY02384564","NY02384564_01","Yaguarete Forest (Sustainable Forest Systems site): around aserradero","210","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-21 10:46:00-03","NY","NYBG","02384561","PreservedSpecimen","Plantae",NA,NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2583258' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. M. Zardini","51085","1999","09","22","South America","Paraguay","Canendiyu",NA,"-55.28","-24.1836","sheet","NY02384561","NY02384561_01","Mbaracayú, Natural Reserve administered by Fundación Moisés Bertoni: Aguará-ñu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00568127","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecales","Arecaceae","Acrocomia","hassleri","Acrocomia hassleri","(Barb.Rodr.) W.J.Hahn",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366560' target='other'> <mi>dwc_moreinfo</mi></a>","E. Lleras","G. Eiten","2391","1960","09","22","South America","Brazil","São Paulo","Moji-Guaçu","-47.142","-22.242","sheet","NY00568127","NY00568127_01","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 9.7 km NNE of Padua Sales (About 27 km NW of city of Moji-Mirim).In recently plowed bround about 300 m south of fire tower.","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-18 09:28:41-03","UNESP-IBB","BOTU","25683","PreservedSpecimen","Plantae",NA,NA,NA,"Arecaceae","Acrocomia","hassleri","Acrocomia hassleri","(Barb. Rodr.) Hahn",NA,"Cerrado. Planta com 0,6 metros de altura, local com ocorrência recente de incêndio.","Marcato, A.C.","Genovez, P.R.","49","2004","07","28",NA,"Brasil","São Paulo","Bauru",NA,NA,NA,"BOTU025683","BOTU025683",NA,NA,NA,"2007","9999","9999",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:51:22-03","EAO","IAN","181618","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Arecaceae","Acrocomia","hassleri","Acrocomia hassleri","(Barb.Rodr.) W.J.Hahn",NA,NA,"Scariot, AO","Scariot, AO","627","2002","06","15","Southern America","Brasil","Tocantins","Mateiros","46.5725","-10.602222",NA,"IAN181618",NA,"Parque estadual do Jalapão ; campo limpo ; plano no local ; areia quartzosa ; comum no local.","430","430","2002","46.5725","-10.602222","06",NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:00:29-03","ESALQ","ESA","48033","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Arecaceae","Acrocomia","hassleri","Acrocomia hassleri","(Barb.Rodr.) Hahn",NA,"Palmeira acaule; frutos castanho.","Souza, V.C.","Souza, V.C.; Souza, J.P.; Duarte, A.R.; Mazine, F.F.","14084.0","1997","03","14",NA,"Brasil","Mato Grosso","São Félix do Araguaia","-505.638","-113.449",NA,"ESA048033","ESA048033_1 ESA048033_2 ESA048033_3 ESA048033_4","Estrada São Félix do Araguaia. - Alto Boa Vista, ca. 36 Km de São Félix do Araguaia. Savana arborizada (cerrado aberto), com palmeiras abundantes no estrato herbáceo.","180","180",NA,"-505,638","-113,449",NA,NA,NA,NA,NA,NA,NA
