"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1173367","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","repens","Paspalum repens","P.J. Bergius","G. A. Black","865","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400789' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173367","NY01173367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00895922","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","repens","Paspalum repens","P.J. Bergius","L. Riedel","s.n.","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895922","NY00895922_01","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1487761","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","repens","Paspalum repens","P.J. Bergius","D. Cárdenas-López","21482","South America","Colombia","Guainía","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2352001' target='other'> <mi>dwc_moreinfo</mi></a>","NY01487761","NY01487761_01","Río Inírida, caño Nabuquén, laguna Larga - caño Matraca, laguna Matraca.","A. Zuluaga","2008","07","04","Inírida","-67.98585","3.824577778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1173077","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","repens","Paspalum repens","P.J. Bergius","S. Tsugaru","B-1055","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400104' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173077","NY01173077_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1173072","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","repens","Paspalum repens","P.J. Bergius","G. Davidse","18144","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401957' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173072","NY01173072_01","Rio Quatipuru, in vicinity of Miraselvas, ca. 30 Km by road west of Bragança. Marsh; upper portions of culms floating.","G. Davidse","1980","04","09","Capanema","-46.983333","-1.066667","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1173364","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","repens","Paspalum repens","P.J. Bergius","M. J. G. Hopkins","890","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401969' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173364","NY01173364_01","Ilha de Maracá. SEMA Estação.-ILha de Maracá. SEMA Estação. Damp open marsh in front of Estação.","G. Davidse","1986","06","21","Alto Alegre","-61.333333","3.366667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1173368","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","repens","Paspalum repens","P.J. Bergius","R. Spruce","s.n.","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400802' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173368","NY01173368_01","In vicinibus Santarem",NA,"1949","11",NA,NA,"-54.740486","-2.449614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1173091","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","repens","Paspalum repens","P.J. Bergius","W. A. Rodrigues","6795","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401966' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173091","NY01173091_01","Paraná do Arari. Várzea de água barrenta.","M. F. da Silva","1964","12","01","Itacoatiara","-58.4442","-3.14306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","866528","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","repens","Paspalum repens","P.J. Bergius","L. Buscalioni","4652","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967575' target='other'> <mi>dwc_moreinfo</mi></a>","NY00866528","NY00866528_01","Manaos. Chachoeira Grande.","G. Davidse","1899","09","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1173363","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","repens","Paspalum repens","P.J. Bergius","P. J. M. Maas","478","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401968' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173363","NY01173363_01","Várzea along Rio Negro opposite Manaus; about 3 m above water-level.","M. F. da Silva","1971","09","30",NA,"-59.984695","-3.196117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
