"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2017-03-17 14:08:00-03","NY","NYBG","02684209","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Arrabidaea","coleocalyx","micrantha","Arrabidaea coleocalyx micrantha","Sprague","syntype","E. Hassler","5582","12","South America","Paraguay","Ipé hú [Ypejhú]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982959' target='other'> <mi>dwc_moreinfo</mi></a>","NY02684209","NY02684209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-03-17 14:08:00-03","NY","NYBG","02684208","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Arrabidaea","coleocalyx","induta","Arrabidaea coleocalyx induta","Sprague","syntype","E. Hassler","8228a","12","South America","Paraguay","In regione cursus superioris fluminis Apa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982902' target='other'> <mi>dwc_moreinfo</mi></a>","NY02684208","NY02684208_01","1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-03-17 14:08:00-03","NY","NYBG","02684208","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Arrabidaea","coleocalyx","induta","Arrabidaea coleocalyx induta","Sprague","syntype","E. Hassler","8228a","12","South America","Paraguay","In regione cursus superioris fluminis Apa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982902' target='other'> <mi>dwc_moreinfo</mi></a>","NY02684208","NY02684208_01","1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","930648","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","caudigera",NA,"Fridericia caudigera","(S.Moore) L.G.Lohmann",NA,"Y. E. J. Mexia","5373","11","South America","Brazil","Viçosa. Fazenda do Deserto; Morro das Poças.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930648","NY00930648_01","1930","28","Minas Gerais","Viçosa","-42.8817","-20.7542","715","715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","930667","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","caudigera",NA,"Fridericia caudigera","(S.Moore) L.G.Lohmann",NA,"A. H. Gentry","50191","02","South America","Brazil","N of Crato, CE-021, 26 km S of Farias Brito.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930667","NY00930667_01","1985","16","Ceará","Crato","-39.58","-7.07","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","411886","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","caudigera",NA,"Fridericia caudigera","(S.Moore) L.G.Lohmann",NA,"G. G. Hatschbach","15744","01","South America","Brazil","Serra Dourada. Da mata pluvial da bacia do Rio Paraná.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00411886","NY00411886_01","1967","19","Paraná","Umuarama","-53.325","-23.7664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","411889","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","caudigera",NA,"Fridericia caudigera","(S.Moore) L.G.Lohmann",NA,"J. R. Pirani","3534","12","South America","Brazil","Morro Grande, a 3 Km W da saída da cidade na rodovia para Jerônimo Monteiro (BR-482). Floresta atrás da Serraria de Pedras Marmoraes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00411889","NY00411889_01","1994","09","Espírito Santo","Cachoeiro de Itapemirim","-41.1128","-20.8492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","411893","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","caudigera",NA,"Fridericia caudigera","(S.Moore) L.G.Lohmann",NA,"R. Guillén","1367","05","South America","Bolivia","Campamento EL REFUGIO a 2500 m al norte de la casa yendo hacia la bahia Las Petas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00411893",NA,"1994","18","Santa Cruz","José Miguel de Velasco","-61.0481","-14.7622","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","411887","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","caudigera",NA,"Fridericia caudigera","(S.Moore) L.G.Lohmann",NA,"G. G. Hatschbach","15744","01","South America","Brazil","Serra Dourada. Da mata pluvial da bacia do Rio Paraná.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582850' target='other'> <mi>dwc_moreinfo</mi></a>","NY00411887","NY00411887_01","1967","19","Paraná","Umuarama","-53.325","-23.7664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 13:38:00-03","NY","NYBG","411894","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","caudigera",NA,"Fridericia caudigera",NA,NA,"E. L. Ekman","1003","12","South America","Argentina","Posadas, in fruticetis prope La Granja praedium.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00411894",NA,"1907","16","Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
