"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","814137","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","organense","Blechnum organense","Brade","A. C. Brade","A. C. Brade","20911","1951","05","09","South America","Brazil","São Paulo","Serra da Bocaina","-44.68606","-22.846827","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814137","NY00814137_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1017130","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","organense","Blechnum organense","Brade","A. Vasco","P. H. Labiak E.","4296","2008","01","06","South America","Brazil","São Paulo","Parque Nacional da Serra da Bocaina, Cachoeira São Izidro.","-44.62","-22.7419","1450","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199647' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017130","NY01017130_01","Sao José do Barreiro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:55:09-03","ESALQ","ESA","140621","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & V.A.O. Dittrich","Gissi, D.S","Gibau, A.; Gissi, D.S.; Orlandini, P.","256.0","2017","03","11",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Erva terrestre. Caule ereto.","ESA140621",NA,"Paraty","2017","06","14","34470","auto",NA,NA,NA,NA
"4","2019-08-27 13:34:39-03","IAP","PACA-AGP","73604","PreservedSpecimen","Plantae","Não Informado","Não Informado","Blechnaceae","Blechnum","organense","Blechnum organense","Brade","V.A.O. Dittrich","Reitz, R.","5481","1953","02","04",NA,"Brasil","SC","Serra da Boa Vista","-49.0217018127441","-27.6725006103516","1200","1200",NA,"Habitat: rupestre","PACA073604",NA,"Rancho Queimado","2002","12",NA,"17361","auto","Não Informado",NA,NA,NA
"5","2019-11-21 14:51:33-03","UFJF","CESJ","72178","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & V.A.O. Dittrich","V.A.O. Dittrich","V.A.O. Dittrich; B.P.S. Pereira","2165","2017","04","23","América do Sul","Brasil","São Paulo","Maciço dos Marins, Subida ao pico do Marins via Marmelópolis","-45.145528","-22.509","1605","1605",NA,"Terrícola no interior de floresta ombrófila, em vale encaixado a poucos metros de riacho, em encosta","CESJ072178",NA,"Piquete","2017","04",NA,NA,NA,NA,"-45.145528","-22.509",NA
"6","2019-11-21 14:51:33-03","UFJF","CESJ","52286","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & V.A.O. Dittrich","V.A.O. Dittrich","F.S. Souza; D. Monteiro; J.A. Oliveira","614","2008","10","25","América do Sul","Brasil","Minas Gerais","Fazenda Serra Negra","-43.793098449707","-21.8425006866455",NA,NA,NA,"hemiepífita em interior de mata","CESJ052286",NA,"Lima Duarte","2016","10",NA,"30417","auto",NA,NA,NA,NA
"7","2020-10-14 09:59:46-03","FURB","FURB","36162","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & V.A.O. Dittrich","Gasper, A.L. de","Gasper, A.L. de; Salino, A.; Bueno, M.L.; Leal, B.S.S. & Rezende, V.L.","2658","2011","03","17",NA,"Brasil","Minas Gerais","Fazenda da Onça - Trilha do Pico do Carrasco.","-45.3416666","-22.6097222","1754","1754",NA,NA,"FURB00049","FURB00049","Delfim Moreira","2016","10","07",NA,NA,NA,"-45.3416666","-22.6097222",NA
"8","2021-03-16 17:56:33-03","UCS","HUCS","47701","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & V.A.O. Dittrich","Gonzatti, F.","Gonzatti, F.","4409","2018","05","01",NA,"Brasil","São Paulo","Serra da Bocaina, Parque Nacional","-44.616639","-22.733889","1513","1513",NA,"erva ereta em solo humoso em interior de vale úmido","HUCS000677","HUCS000677","São José do Barreiro","2018","05",NA,NA,NA,NA,"-44.616639","-22.733889",NA
"9","2020-12-21 16:18:40-03","MBM","MBM","315002","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","organense","Blechnum organense","Brade","Matos, F.B.","Matos, F.B.; et al.; et al.","1064","2006","03","03","Southern America","Brazil","Bahia","RPPN Serra Bonita 9,7 km de Camacã na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e torre","-39.4958000183105","-15.4191999435425","835","835",NA,"Terrestre e rupícola à beira de córrego no interior da mata. Material estéril. Floresta Ombrófila Densa Montana","MBM315002","MBM315002","Camacan","2010",NA,NA,"22686","auto",NA,NA,NA,NA
"10","2019-11-01 15:28:45-03","PUC-RIO","FCAB","0153","PreservedSpecimen","Plantae",NA,"Pteridophyta","Blechnaceae","Blechnum","organense","Blechnum organense","Brade","Dr. Brade","P.E. Leite S.J.","s.n.","1949","02",NA,NA,"Brasil","São Paulo","Campos de Jordão, terrestre in umbra","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"000153",NA,"Campos do Jordão",NA,NA,NA,"21048","auto",NA,NA,NA,NA
