"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","identifiedBy","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","3107838","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schippii","Ficus schippii","Standl.","J. L. Clark","2783","1996","07","07","South America","Ecuador","Esmeraldas","Quinindé","Fundación Paraíso de Papagayos. Centro de Rescate de Aves y Mamíferos. km 2 via Esmeraldas.","-79.4764","0.3472","100","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2899983' target='other'> <mi>dwc_moreinfo</mi></a>","NY03107838","NY03107838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02172593","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schippii","Ficus schippii","Standl.","B. A. Krukoff","4902","1933","06","17","South America","Brazil","Amazonas",NA,"Basin of Rio Jurua; near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326456' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172593","NY02172593_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3107323","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schippii","Ficus schippii","Standl.","J. L. Clark","2966","1996","10","01","South America","Ecuador","Esmeraldas","Quinindé","The Mache - Chindul Ecological Reserve. Bilsa Biological Station. Mache Mountains, 35 km W of Quinindé, 5 km W of Santa Isabel. Collections made between the Dogala community and Yomar Andrade's house.","-79.73","0.35","400","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2900334' target='other'> <mi>dwc_moreinfo</mi></a>","NY03107323","NY03107323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02172592","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schippii","Ficus schippii","Standl.","B. A. Krukoff","4902","1933","06","17","South America","Brazil","Amazonas",NA,"Basin of Rio Jurua; near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326454' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172592","NY02172592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:24:14-03","NBC","NL-BOTANY","L.3917925","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","schippii","Ficus schippii","Standl.","Valenzuela Gamarra L; Suclli E; Farfán J; Carazas A",NA,"2007","01","22","Southern America","Peru",NA,NA,"Peru. Cusco: Quispicanchis. Distrito Camanti, Yanamayo.","-70.76","-13.224167",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3917925 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3917925","NL-L3917925","Magnoliopsidae","-70.76","-13.224167",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:24:14-03","NBC","NL-BOTANY","L.3917938","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","schippii","Ficus schippii","Standl.","Rojas Gonzales RP; Ortíz G; Castillo G; Fernandez E",NA,"2007","10","05","Southern America","Peru",NA,NA,"Peru. Pasco: Oxapampa. Distrito Palcazú. Comunidad Nativa Alto Lagarto.","-75.550278","-10.104167",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3917938 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3917938","NL-L3917938","Magnoliopsidae","-75.550278","-10.104167",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:24:14-03","NBC","NL-BOTANY","L.3918437","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","schippii","Ficus schippii","Standl.","Becerra Gonzáles E",NA,"2007","07","14","Southern America","Peru",NA,NA,"Pasco: Ocapampa. Distrilo Palcazú. Sector 7 de Junio. Villa Amériva.","-75.231389","-10.172778",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3918437 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3918437","NL-L3918437","Magnoliopsidae","-75.231389","-10.172778",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:24:14-03","NBC","NL-BOTANY","L.4253196","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","schippii","Ficus schippii","Standl.","Perea J; Mateo C; Francis R; Ortíz G",NA,"2003","09","17","Southern America","Peru",NA,NA,"Pasco: Oxapampa.? Distrito Villa Rica. Localidad Centro Bocaz. Bosque de carretera.","-75.166667","-10.633333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4253196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4253196","NL-L4253196","Magnoliopsidae","-75.166667","-10.633333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:24:14-03","NBC","NL-BOTANY","U 0285767","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","schippii","Ficus schippii","Standl.","Maas PJM; et al.",NA,NA,NA,NA,"Southern America","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200285767 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0285767",NA,"Magnoliopsidae",NA,NA,"Uw31886",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:24:14-03","NBC","NL-BOTANY","U.1424795","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Ficus","schippii","Ficus schippii","Standl.","VEN; Sobrevila C",NA,"1979","01","15","Southern America","Venezuela","Miranda",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1424795 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1424795","NL-U1424795","Magnoliopsidae",NA,NA,"U 0024912","Berg CC","1984","10","01",NA,NA,NA,NA
