"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:41:32-03","E","E","161247","PreservedSpecimen","Plantae","Melastomataceae","Miconia","elegans","Miconia elegans","Ibáñez García, A. & Bridgewater, S.","1996","10","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:168648","<a href=http://data.rbge.org.uk/herb/E00161247 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","83893","PreservedSpecimen","Plantae","Melastomataceae","Miconia","elegans","Miconia elegans","Munhoz, C.","1995","08","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92784","<a href=http://data.rbge.org.uk/herb/E00083893 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083893","288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:32-03","E","E","84477","PreservedSpecimen","Plantae","Melastomataceae","Miconia","elegans","Miconia elegans","Munhoz, C.","1995","07","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93665","<a href=http://data.rbge.org.uk/herb/E00084477 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084477","274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:32-03","E","E","187419","PreservedSpecimen","Plantae","Melastomataceae","Miconia","elegans","Miconia elegans","Ratter, J.A.; Bridgewater, S.; Cardoso, E.; Fonsêca Filho, J. & Ferreira Paixão, J.","1994","05","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:194633","<a href=http://data.rbge.org.uk/herb/E00187419 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00187419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:32-03","E","E","84484","PreservedSpecimen","Plantae","Melastomataceae","Miconia","elegans","Miconia elegans","Munhoz, C.","1995","04","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93666","<a href=http://data.rbge.org.uk/herb/E00084484 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084484","246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00917060","PreservedSpecimen","Plantae","Melastomataceae","Miconia","elegans","Miconia elegans","J. H. Kirkbride Jr.","1981","08","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917060","4410","Magnoliophyta","Myrtales","Cogn.","J. J. Wurdack","Distrito Federal","Brasília","Córrego Cabeça de Veado.","-47.85","-15.87","1040","1040","NY00917060_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","755034","PreservedSpecimen","Plantae","Melastomataceae","Miconia","elegans","Miconia elegans","L. Buscalioni","1899","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=907918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755034","4235","Magnoliophyta","Myrtales","Cogn.","R. Goldenberg","Goiás",NA,"Serra da Concepção.",NA,NA,NA,NA,"NY00755034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00917063","PreservedSpecimen","Plantae","Melastomataceae","Miconia","elegans","Miconia elegans","J. H. Kirkbride Jr.","1982","06","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917063","4796","Magnoliophyta","Myrtales","Cogn.","J. J. Wurdack","Distrito Federal","Brasília","Ribeirão do Gama.","-47.88","-15.87","1020","1020","NY00917063_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00917074","PreservedSpecimen","Plantae","Melastomataceae","Miconia","elegans","Miconia elegans","G. G. Hatschbach","1973","05","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917074","32082","Magnoliophyta","Myrtales","Cogn.","J. J. Wurdack","Mato Grosso do Sul","Pedro Gomes",NA,"-54.5517","-18.1008",NA,NA,"NY00917074_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00917058","PreservedSpecimen","Plantae","Melastomataceae","Miconia","elegans","Miconia elegans","B. Maguire","1960","08","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917058","49042","Magnoliophyta","Myrtales","Cogn.","J. J. Wurdack","Minas Gerais",NA,"Summit of Serra do Cipó, km 111-120, road from Hotel Chapeu do Sol.","-43.554488","-19.288549","1200","1200","NY00917058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
