"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","locality","infraspecificEpithet","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","246139","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","subvillosa","Acalypha subvillosa","Müll.Arg.","syntype","G. Gardner","1838","1836","South America","Brazil","Ceará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00246139","NY00246139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","232987","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"H. A. Weddell","2931","1844","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00232987","NY00232987_01","J. M. Cardiel S.","11","Entre Goyas et Cujaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3925156","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa latiuscula","Pax & K.Hoffm.",NA,"M. H. Nee","50157","1999","South America","Bolivia","Santa Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4205042' target='other'> <mi>dwc_moreinfo</mi></a>","NY03925156",NA,NA,"10","2 - 3 km. by dirt road SE of Santiago El Torno.","latiuscula","10","Andrés Ibáñez","-63.37","-18.02","650","675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","503668","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"W. J. Hahn","5713","1989","South America","Guyana","Potaro-Siparuni","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503668",NA,"L. J. Gillespie","03","Approximately 1 km N of Kato. Along trail to Paramakatoi",NA,"14",NA,"-59.92","4.67","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3925175","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa latiuscula","Pax & K.Hoffm.",NA,"J. A. Steyermark","131757","1985","South America","Venezuela","Bolívar","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4205061' target='other'> <mi>dwc_moreinfo</mi></a>","NY03925175",NA,NA,"09","Igneous forested slopes Serranía de Pijiguao, 160 km SW. of Caicara del Orinoco","latiuscula","12",NA,"-66.75","6.58","100","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00836745","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"A. M. Amorim","2361","1998","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836745","NY00836745_01","P. Fiaschi","04","Rodovia Jussari-Plamira, Entrada ca 7.5 km de Jussari, FazendaTeimoso, RPPN Serra do Teimoso.",NA,"09","Jussari","-39.5286","-15.1581","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","503663","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"M. Sobral","5731","1988","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503663","NY00503663_01","I. G. Vargas Caballero","01","Quadra D, CEPEC",NA,NA,"Ilhéus","-39.22095","-14.7739696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","503659","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"R. P. Belém","538","1965","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503659","NY00503659_01",NA,"03","Centro de Pesquisas do Cacau, CEPLAC, CEPEC",NA,"25","Ilhéus","-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 13:36:00-03","NY","NYBG","503669","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa",NA,NA,"L. P. Kvist","40466","1982","South America","Ecuador","Esmeraldas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503669",NA,"J. M. Cardiel S.","07","Río Cayapa. Zapallo Grande. Farmland close to the village",NA,"01",NA,"-78.9","0.8","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","870080","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"S. L. M. Moore","272","1891","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870080","NY00870080_01","J. M. Cardiel S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
