"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","788984","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","martii","Huperzia martii","(Wawra) Holub","B. Øllgaard","G. Martinelli","8032","1982","05","05","South America","Brazil","Espírito Santo","Alfredo Chaves","Vila de São Bento de Urânia, Faz. Zechini.","-40.917605","-20.471909","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788984","NY00788984_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1016025","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","W. L. Testo","P. H. Labiak E.","3667","2006","08","06","South America","Brazil","Bahia","Arataca","Serra do Peito de Moça. Estrada que liga Arataca à Una, ramal ca. 22.4 km de Arataca com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras'.","-39.3417","-15.1736","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140187' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016025","NY01016025_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788983","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","W. L. Testo","A. C. Brade","19311","1948","08","17","South America","Brazil","Espírito Santo","Castelo","Braço do Sul.","-41.1844","-20.6036",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788983","NY00788983_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1016020","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","W. L. Testo","P. H. Labiak E.","3658","2006","08","06","South America","Brazil","Bahia","Arataca","Serra do Peito de Moça. Estrada que liga Arataca à Una, ramal ca. 22.4 km de Arataca com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras'.","-39.3417","-15.1736","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140168' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016020","NY01016020_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788982","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","W. L. Testo","P. T. Sano","H50865","1992","03","04","South America","Brazil","Bahia","Abaíra","Tijuquinho.","-41.9","-13.27","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788982","NY00788982_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1015711","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","F. B. Matos","R. M. Harley","20708","1980","03","22","South America","Brazil","Bahia",NA,"Serra do Sincorá. Barra da Estiva on the Capão da Volta road. F6.","-41.45","-13.58","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1111477' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015711","NY01015711_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 21:33:18-03","UFBA","ALCB","74154","PreservedSpecimen","Plantae","Fern Ally",NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Guedes, ML","Nogueira, T; Guedes, ML; Valadão, RM; Carvalho, G; Santos, JS; Sousa, DC de","50","2006","08","02","Southern America","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina, Sete Passagens, Ponto 197","-40.516667","-11.333333",NA,NA,NA,"epífita, com ramos dicotômicos. Micrófilas membranáceas. Esporófilos não formam estróbilos.","ALCB000245","ALCB000245","2021","01","03","-40.516667","-11.333333",NA,NA,NA
"8","2019-02-15 11:44:35-02","IPA","IPA","29297","S","Plantae","Plantae",NA,"Lycopodiaceae","Lycopodium","martii","Lycopodium martii","Wawra","Leão Barros, I.C.","Andrade-Lima","72-7116","1972","12","19","Southern America","Brasil","Pernambuco","Caruaru","Brejo dos Cavalos","-35.9761009216309","-8.28332996368408",NA,NA,NA,NA,"IPA0029297",NA,"1985",NA,NA,NA,NA,"35136","auto",NA
"9","2019-11-21 14:50:29-03","UFJF","CESJ","3100","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B. Øllg.","D.S. Gissi","A.C. Brade","s.n.","1949","05",NA,"América do Sul","Brasil","Espírito Santo","Cachoeiro do Itapemirim","Vargem Alta",NA,NA,NA,NA,NA,NA,"CESJ003100","CESJ003100","2015","11",NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:50:29-03","UFJF","CESJ","3105","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B. Øllg.","B. Øllgaard","Capanema","s.n.",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CESJ003105","CESJ003105","2014","09","12",NA,NA,NA,NA,NA
"11","2020-09-29 14:53:04-03","UFPR","UPCB","69156","PreservedSpecimen","Plantae","Lycophyta",NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Matos, F.B.","Labiak, P.H. et al.","3667","2006","08","06",NA,"Brasil","Bahia","Arataca","Serra do Peito de Moça. Estrada que liga Arataca à Una, ramal ca. 22,4 Km de Arataca com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.341667","-15.173611","900","900",NA,"Epífita no dossel da mata nebular. Floresta Ombrófila Densa Montana..","UPCB0010968","UPCB0010968","2008","05",NA,"-39.341667","-15.173611",NA,NA,NA
"12","2010-04-15 17:18:00-03","MO","MOBOT","3324355","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","martii","Huperzia martii","(Wawra) Holub","Benjamin Ollgaard","Alexander C. Brade","Brade 63961","1948",NA,NA,"South America","Brazil","Espírito Santo",NA,"Municipio-Castelo-Braço do Sul.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
