"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","class","imagecode","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","03857631","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","B. Maguire","30470","1950","12","31","South America","Venezuela","Amazonas","Cerro Yapacana, Río Orinoco, base of Yapacanna, Savanna no. 3","125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135190' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03857630","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","J. J. Wurdack","39961","1955","12","17","South America","Venezuela","Bolívar","Morichal, 2 km. east of Rio Orinoco between Rio Horeda and Cerro Gavilan (Cerro Carichana)","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135189' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:33:13-03","NBC","NL-BOTANY","U.1419468","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright & Griseb.","Bunting GS; Akkermans LMA; Rooden J van",NA,"1969","07","06","Southern America","Venezuela",NA,"Flora de Venezuela. Territorio Federal Amazonas: Depto. Cassiquiare: alrededores de Yavita (río Temí) y cerca de la carretera Yavita Pimichín basta el km 5 hacia Pimichín.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1419468 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1419468","Magnoliopsidae","NL-U1419468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:25-03","MN","R","232535","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivaceae","Utricularia olivaceae","C. Wright ex Griseb.","Bove, C.P. 464; Malva, G. & Moreira, C.B.",NA,"1999","10","01",NA,"Brasil","Rio de Janeiro","Lagoa Paulista",NA,NA,NA,NA,NA,NA,"Mauva, G.","2000","Carapebus","-41.6610984802246","-22.1872005462646","13257","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-04-07 11:45:23-03","UFMS","CGMS","37981","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","S.N.Moreira; V.J. Pott & A. Pott","341","2010","06","10",NA,"Brasil","Mato Grosso do Sul","Fazenda Modelo da Embrapa Gado de Corte. Área de Varjão proximo à ferrovia.","504",NA,"Flor branca. Habitat: Lagoinha associada a Vereda com buriti em domínio de Cerrado. Habito: Erva aquática emergente.","CGMS1067396",NA,NA,NA,NA,"Terenos","-54.7833333","-20.5566667",NA,NA,"-54,7833333","-20,5566667","504",NA,NA,NA,NA
"6","2021-04-07 11:45:23-03","UFMS","CGMS","23657","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","S.N. Moreira; V.J.Pott & A. Pott","194","2008","05","07",NA,"Brasil","Mato Grosso do Sul","Fazenda Modelo da Embrapa Gado de Corte; Área de Varjão prox. à ferrovia.","504",NA,"Flor branca. Fruto ausente. Habitat: Campo úmido de Vereda com buriti em domínio de Cerrado Habito: Erva Anfíbia","CGMS1053071",NA,NA,NA,NA,"Terenos","-54.79","-20.5566667",NA,NA,"-54,79","-20,5566667","504",NA,NA,NA,NA
"7","2021-04-07 11:45:23-03","UFMS","CGMS","70687","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","V.J. Pott; A. Pott","9377","2007","06","12",NA,"Brasil","Mato Grosso","Rodovia MT-370, 21 km de Poconé, Pantanal.","118",NA,"Flor branca. Habitat: Campo de murundus alagado, com Curatella e Vochysia divergens, 20 - 30 cm de profundidade. Habito: Erva aquática.","CGMS1103107",NA,NA,"V.J. Pott",NA,"Poconé","-56.4436111","-16.3897222",NA,NA,"-56,4436111","-16,3897222","118",NA,NA,NA,NA
"8","2021-04-07 11:45:23-03","UFMS","CGMS","70694","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","V.J. Pott; A. Pott","9308","2007","06","08",NA,"Brasil","Mato Grosso","Lagoa do Saibro, 5 km do centro da cidade (zona rural).","285",NA,"Flor branca. Material em álcool 70%. Habitat: Lagoa em cerrado cortada por estrada vicinal, profundidade 20 - 50 cm. Habito: Erva aquática submersa livre.","CGMS1103105",NA,NA,"V.J. Pott","2007","Nova Xavantina","-52.3338889","-14.6761111",NA,NA,"-52,3338889","-14,6761111","285","06","15",NA,NA
"9","2021-04-07 11:45:23-03","UFMS","CGMS","70689","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","V.J. Pott; S.N. Moreira; A. Pott","10758","2010","01","29",NA,"Brasil","Mato Grosso do Sul","Fazenda Modelo da Embrapa Gado de Corte; Varjão próximo à ferrovia.","510",NA,"Flor branca. Mancha ocasional; Material em álcool 70%. Coordenadas geográficas: 20°33#?#31.37'S 54°47#?#23.48'W Habitat: Lagoa, 50 cm de profundidade, transição campo úmido. Habito: Erva aquática submersa livre, flores emergentes.","CGMS1103106",NA,NA,"V.J. Pott",NA,"Terenos","-54.8602981567383","-20.4421997070312","52758","auto",NA,NA,"510",NA,NA,NA,NA
"10","2021-03-01 16:32:54-03","UNICAMP","UEC","154758","S","Plantae","Magnoliopsida",NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","Wright ex Girard","Barbosa, TDM; Costa, SM","13492","2010","07","25",NA,"Brazil","Roraima","Parque Nacional do Viruá","63",NA,"Flores diminutas brancas. Flutando sobre Cyperaceas.; Área alagada, na margem da Estrada perdida (Segunda boeira). Solo argiloso.","UEC083670",NA,"UEC083670",NA,NA,"Caracaraí","-60.986444","1.402361",NA,NA,"-60.986444","1.402361","63",NA,NA,NA,NA
