"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","stateProvince","county","identifiedBy","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","03929477","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kaulfussii","Trichomanes kaulfussii","Hook. & Grev.","J. T. Mickel","9496","1984","07","04","South America","Trinidad and Tobago","Trinidad. Morne Bleu ridge from Textel station to Morne Bleu peak.","732","823","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214534' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929477","NY03929477_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03929480","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kaulfussii","Trichomanes kaulfussii","Hook. & Grev.","J. R. Johnston","171","1903","07","02","South America","Venezuela","The Island of Margarita. San Juan Mt.","600",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214537' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929480","NY03929480_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03929478","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kaulfussii","Trichomanes kaulfussii","Hook. & Grev.","J. T. Mickel","9571","1984","07","12","South America","Trinidad and Tobago","Trinidad. Mount Tucuche, trail from base to the peak.","152","936","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214535' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929478","NY03929478_01","-61.404554","10.746588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3929574","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","P. C. Hutchison","5568","1964","06","06","South America","Peru","Cerros Calla Calla","3100",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4215019' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929574","NY03929574_01",NA,NA,"Amazonas","Chachapoyas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2063382","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","P. H. Labiak E. | F. B. Matos","4254","2007","10","15","South America","Brazil","Morro do Vigia, Floresta Atlantica","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463854' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063382","NY02063382_01","-48.9864","-25.5286","Paraná","Piraquara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03929547","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","H. H. van der Werff","19657","2005","05","05","South America","Peru","Distr. Oxapampa. From Antenna past Chacos to the Laguna.","2700","2800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214932' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929547",NA,"-75.2878","-10.6197","Pasco","Oxapampa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3929556","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","W. D. Rodríguez-Duque","4703","2004","11","11","South America","Colombia","Mpio. Ciudad Bolívar. Corregimiento San Bernardo de los Farallones, Farallones del Citará, sector Peña, base del cerro Cabeza de Indio.","3220","3550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4215001' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929556",NA,"-76.05367","5.7719","Antioquia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3929555","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","W. D. Rodríguez-Duque","5169","2005","02","25","South America","Colombia","Mpio. Támesis. Vereda San Antonio, Quebrada San Antonio, sector Organera (cuevas de la quebrada).","2360",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4215000' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929555",NA,"-75.73925","5.66825","Antioquia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02316390","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","M. A. Sundue","3294","2012","09","09","South America","Colombia","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, alrededores de la casa de la finca La Pradera","1700","1750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950756' target='other'> <mi>dwc_moreinfo</mi></a>","NY02316390","NY02316390_01","-76.20836","6.63908","Antioquia","Frontino","M. A. Sundue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","815589","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","A. C. Brade","6619","1913","11",NA,"South America","Brazil","Serra do Mar, Campo Grande.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00815589","NY00815589_01",NA,NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","3929573","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","B. Maguire","42409","1957","12","15","South America","Venezuela","Cerro de la Neblina, Rio Yatua. East escarpment of upper Cañon Grande basin","1900",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4215018' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929573","NY03929573_01",NA,NA,"Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3929566","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","F. W. Pennell","4372","1918","02","24","South America","Colombia","Below Paramo de Chaquiro, Cordillera Occidental.","2800","3100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4215011' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929566","NY03929566_01",NA,NA,"Bolívar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02708141","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","A. L. Monteagudo Mendoza","16049","2007","11","30","South America","Peru","Dist. Huancabamba. Parque Nacional Yanachaga-Chemillén, parte alta de la trocha Yanachaga-Palcazú.","2650",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2994330' target='other'> <mi>dwc_moreinfo</mi></a>","NY02708141",NA,"-75.45","-10.3783","Pasco","Oxapampa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","2565930","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","B. Maguire","60485","1965","12","02","South America","Brazil","Río Negro, Rio Cauaburí.","2500","2800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2825821' target='other'> <mi>dwc_moreinfo</mi></a>","NY02565930","NY02565930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3929567","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","lucens","Trichomanes lucens","Sw.","I. L. Wiggins","10432","1944","07","21","South America","Ecuador","Ridge south of Río Clavadero, along trail to Río San Pedro, east of Cayambe Reak.","2926",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4215012' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929567",NA,NA,NA,"Imbabura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
