"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","248033","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","L. B. Smith","type","B. Maguire","49289","1960","08","21","South America","Brazil","Minas Gerais","Immediately W of Pedra Azul.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=309008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00248033","NY00248033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","899021","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","R. de Mello-Silva",NA,"R. M. Harley","25197","1988","10","19","South America","Brazil","Minas Gerais","10 km. ao leste da cidade, na estrada para Almenara.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00899021","NY00899021_01","Pedra Azul","-41.2","-16.13","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03060695","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.",NA,NA,"R. C. Forzza","7609","2013","04","22","South America","Brazil","Espírito Santo","Morro da torre de celular. Floresta Ombrófila com inselbergue.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3286067' target='other'> <mi>dwc_moreinfo</mi></a>","NY03060695","NY03060695_01","Água Doce do Norte","-40.9852777","-18.5697223","624","624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:39:16-02","BGBM","B","B 10 0248636","S","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.",NA,"isotype","B. Maguire, G. Mendes Magalhaes & C. K. Maguire","49289",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100248636 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100248636","B100248636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:19:38-03","UFV","VIC","013598","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Smith",NA,NA,"Valente, G.E.","24","1995","02","04",NA,"Brasil","Minas Gerais","Rio Preto, Fazenda Boa Vista.",NA,"Planta com cerca de 80 cm de altura,coletada sobre laje de pedra, caule ramificado dicotomicamente e com resto de fruto velho.","VIC013598","VIC013598","Mantena","-40.9803009033203","-18.7817001342773",NA,NA,"33996","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:19:38-03","UFV","VIC","015101","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Smith",NA,NA,"Valente, G.E.; Azevedo, A.A.","150","1995","10","14",NA,"Brasil","Minas Gerais","Rio Preto, Fazenda Boa vista do Sr. Antônio ferreira Valente.",NA,"Planta de cerca de 1 m de altura.apleno sol sobre laje d epedra com pouco solo, flor roxa.","VIC015101","VIC015101","Mantena","-40.9803009033203","-18.7817001342773",NA,NA,"33996","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-05-13 21:54:45-03","ASU","ASU-PLANTS","ASU0014866","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Zosteraceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.",NA,NA,"R. Mello Silva;","418","1988","7","20",NA,"Brazil","Minas Gerais","Rod. BR-418, Rio Quigeme (man. Teófilo Otoni) Minas Gerais",NA,"Caudice, 1,50 m, flor lilás escuro.",NA,NA,NA,"-41.514097","-17.852113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:46:51-03","MBM","MBM","126760","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B. Sm.","Mello-Silva, R.",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","52277",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Rod. BR-418, Rio Quigeme",NA,NA,"MBM126760","MBM126760","Teófilo Otoni","-41.505298614502","-17.8575000762939",NA,NA,"62594","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:46:51-03","MBM","MBM","91917","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B. Sm.","Mello-Silva, R.",NA,"Hatschbach, G.","47817",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Rod. BR-418, km 112",NA,NA,"MBM091917","MBM091917","Carlos Chagas","-40.7663993835449","-17.7031002044678",NA,NA,"46387","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:46:51-03","MBM","MBM","139005","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B. Sm.","Mello-Silva, R.",NA,"Harley, R.M.; et al.; et al.","25197",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Pedra Azul, 10km ao leste da cidade",NA,NA,"MBM139005","MBM139005","Pedra Azul","-41.2971992492676","-16.0053005218506",NA,NA,"39993","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-08-13 05:50:00-03","MO","MOBOT","3037139","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B. Sm.","Mello-Silva",NA,"R.M. Harley","Harley 25197","1988",NA,NA,"South America","Brazil","Minas Gerais","Mun. Pedra Azul. 10 km ao leste da cidade, na estrada para Almenara. Lajedo granítico. Encosta de grande alforamento granítico.",NA,NA,NA,NA,NA,"-41.2","-16.13333","800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2009-12-05 05:17:00-02","MO","MOBOT","3037164","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B. Sm.","R. Mello-Silva",NA,"Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 52277","1988",NA,NA,"South America","Brazil","Minas Gerais","Rod. BR-418, Rio Quigeme (mun. Teófilo Otoni).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","22671",NA,"Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L. B. Sm.","R. Mello Silva/2009",NA,"A. P. Fontana; et al","659","2003","12","24",NA,"Brasil","Espírito Santo","Misterioso",NA,"Rupestre, flores c/ base branca e ápice roxo, frutos verdes.","MBML022671",NA,"São Roque do Canaã","-40.739444","-19.760833",NA,NA,NA,NA,"40W44'22","19S45'39",NA,NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","27223",NA,"Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L. B. Sm.","R. Mello Silva/2009",NA,"V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen","2562","2006","07","12",NA,"Brasil","Espírito Santo","Alto Moacir, Prop.: Lalau",NA,"Arbusto 2m, flores roxas, estigma amarelo. Ambiente rupestre.","MBML027223",NA,"Colatina","-40.558611","-19.339167","270","270",NA,NA,"40W33'31","19S20'21",NA,NA,NA,NA,NA,NA,NA
