"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","fieldNumber","minimumElevationInMeters","individualCount","maximumElevationInMeters","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","323098","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","paraguariensis","grandifolia","Coccoloba paraguariensis grandifolia","Hassl.","type","E. Hassler","6582","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00323098","NY00323098_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 19:20:00-02","NY","NYBG","01269283","PreservedSpecimen","Plantae",NA,"Caryophyllales","Polygonaceae","Coccoloba","paraguariensis",NA,"Coccoloba paraguariensis",NA,NA,"N. Soria","2113","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1155039' target='other'> <mi>dwc_moreinfo</mi></a>","NY01269283",NA,"D. E. Atha","1988","03","08","Cordillera","Rio Salado, a orillas del Rio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","323097","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","paraguariensis",NA,"Coccoloba paraguariensis","Lindau","type","T. Morong","197a","South America","Paraguay","sheet","= Balansa 2000 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00323097","NY00323097_01",NA,"1889","04","03",NA,"Central Paraguay; Asuncion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","658965","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","paraguariensis","intermedia","Coccoloba paraguariensis intermedia","Hassl.","isotype","E. Hassler","12327","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00658965","NY00658965_01","M. H. Nee","1913","10",NA,NA,"In regione lacus Ypacaray.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","323114","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","sarmentosa",NA,"Coccoloba sarmentosa","S.Moore","isotype","S. L. M. Moore","1038","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00323114","NY00323114_01",NA,"1891",NA,NA,"Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02200089","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","spinescens",NA,"Coccoloba spinescens","Morong",NA,"J. A. Ratter","R.6103","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2333584' target='other'> <mi>dwc_moreinfo</mi></a>","NY02200089","NY02200089_01",NA,"1987","11","28","Mato Grosso do Sul","Fazenda Coqueiro, nr Lago Jacadigo.","-57.72","-19.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02433421","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","spinescens",NA,"Coccoloba spinescens","Morong",NA,"S. L. M. Moore","1049","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2656904' target='other'> <mi>dwc_moreinfo</mi></a>","NY02433421","NY02433421_01",NA,"1891",NA,NA,"Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","323117","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","spinescens",NA,"Coccoloba spinescens","Morong","type","T. Morong","882","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00323117","NY00323117_01",NA,"1890","01","07",NA,"Banks of the Pilcomayo River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02200088","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","spinescens",NA,"Coccoloba spinescens","Morong",NA,"J. A. Ratter","R.6110","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2333583' target='other'> <mi>dwc_moreinfo</mi></a>","NY02200088","NY02200088_01",NA,"1987","11","28","Mato Grosso do Sul","Fazenda Coqueiro, nr Lago Jacadigo.","-57.72","-19.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:56:18-03","NBC","NL-BOTANY","L.4190703","PreservedSpecimen","Plantae",NA,"Caryophyllales","Polygonaceae","Coccoloba","paraguariensis",NA,"Coccoloba paraguariensis","Lindau",NA,"Pedersen TM",NA,"Southern America","Argentina",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4190703 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4190703","NL-L4190703",NA,"1964","04","03",NA,"Dep. Itatí. Prov.Corrientes.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
