"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","971892","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","refractifolia","Minaria refractifolia","(K.Schum.) T.U.P.Konno & Rapini","S. Liede; U. Meve","H. S. Irwin","22567","1969","01","24","South America","Brazil","Minas Gerais","Datas","Serra do Espinhaço, vicinity of Datas","-43.6556","-18.44535","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971892","NY00971892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","971890","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","refractifolia","Minaria refractifolia","(K.Schum.) T.U.P.Konno & Rapini",NA,"A. Rapini","510","1998","03","01","South America","Brazil","Minas Gerais","Serro","Trinta-réis.","-43.3792","-18.6047",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971890","NY00971890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","971891","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","refractifolia","Minaria refractifolia","(K.Schum.) T.U.P.Konno & Rapini","S. Liede; U. Meve","H. S. Irwin","21897","1969","01","14","South America","Brazil","Minas Gerais",NA,"Ca. 29km SW of Diamantina on road to Gouveia. Serra do Espinhaço.","-43.72","-18.4","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971891","NY00971891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:19:46-03","NBC","NL-BOTANY","U.1102052","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","refractifolia","Ditassa refractifolia","K.Schum.",NA,"Irwin HS; Santos RR dos; Souza R; Fonseca SF da",NA,"1969","01","24","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Serra do Espinhaco, Campo bordering meadow and slow creek, with adjacent outcrops, vicninity of Datas.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1102052 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1102052","NL-U1102052","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:19:46-03","NBC","NL-BOTANY","U.1102053","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","refractifolia","Ditassa refractifolia","K.Schum.",NA,"Irwin HS; Santos RR dos; Souza R; Fonseca SF da",NA,"1969","01","14","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Serra do Espinhaco, ca. 29km S.W. of Diamantina on road to Gouveia.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1102053 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1102053","NL-U1102053","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 10:59:57-03","ESALQ","ESA","19038","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Minaria","refractifolia","Minaria refractifolia","(K. Schum.) T.U.P. Konno & Rapini","Rapini, A.","Souza, V.C. et al.","8326.0","1995","03","11",NA,"Brasil","Minas Gerais","Serro",NA,"-43.3793983459473","-18.604700088501",NA,NA,NA,NA,"ESA019038",NA,NA,"2010","37754","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:20:56-03","MN","R","217422","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","refractifolia","Ditassa refractifolia","K. Schum.",NA,"Konno, T.U.P. 845; Sousa, G.M.",NA,"2002","03","13",NA,"Brasil","Minas Gerais","Diamantina",NA,NA,"-18.156667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43°W","18°09'24''S",NA,NA,NA,NA,NA
"8","2021-01-14 15:20:56-03","MN","R","11741","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","refractifolia","Ditassa refractifolia","K. Schum.","Fontella, J.","Glaziou, A.F.M.","19639","1892","03","23",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000011741","R000011741_001",NA,"1994",NA,NA,NA,NA,"08","01",NA,NA,NA
"9","2019-11-21 14:30:41-03","UFJF","CESJ","45228","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Minaria","refractifolia","Minaria refractifolia","(K. Schum.) T.U.P. Konno & Rapini","L.C.Pereira","R.C. Mota","1812","2003","02","01","América do Sul","Brasil","Minas Gerais","Serro","Milho Verde","-43.3793983459473","-18.604700088501",NA,NA,NA,"Erva coletada em campo rupestre.","CESJ045228","CESJ045228",NA,"2011","37754","auto",NA,NA,"08","18",NA,NA,NA
"10","2021-03-01 16:22:06-03","UNICAMP","UEC","45554","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Minaria","refractifolia","Minaria refractifolia","(K.Schum.) T.U.P.Konno & Rapini","Rapini, A","Semir, J; Chukr, NS; Menezes, NL; Mello-Silva, R; Cavalcanti, TB","s.n.","1986","02","23",NA,"Brazil","Minas Gerais","Diamantina","Estrada Conselheiro Mata Km 184.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Subarbusto formando touceiras, crescendo sobre rochas, ca. 30cm alt. Flores creme.","UEC040490","UEC040490",NA,"2008","101169","auto",NA,NA,NA,NA,NA,NA,NA
