"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","coordinatePrecision","geoFlag","class","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","442635","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","mensicola","Mimosa mensicola","Barneby","H. C. de Lima","3891","1990","09","08","South America","Brazil","Bahia","Morro do Chapéu","Chapada de Diamantina, Rod. para Utinga, ramal para a torre de TELEBAHIA","-41.1558","-11.5503","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=674875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442635","NY00442635_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442632","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","mensicola","Mimosa mensicola","Barneby","R. M. Harley","22812","1980","05","30","South America","Brazil","Bahia","Morro do Chapéu","Summit of Morro do Chapeu, ca. 8km SW of the town of Morro do Chapéu to the west of the road to Utinga. D6","-41.2","-11.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=674872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442632","NY00442632_01","R. C. Barneby","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","442633","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","mensicola","Mimosa mensicola","Barneby","R. M. Harley","22997","1980","06","02","South America","Brazil","Bahia","Morro do Chapéu","Ca. 4km SW fo the town of Morro do Chapéu on the road to Utinga. D6","-41.18","-11.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=674873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442633","NY00442633_01","R. C. Barneby","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2904","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","mensicola","Mimosa mensicola","Barneby","H. S. Irwin","32552","1971","02","19","South America","Brazil","Bahia","Morro do Chapéu","Serra do Tombador. Ca 5 km S of town of Morro do Chapéu, near base of Morro do Chapéu. Alt. 1100 m.","-41.1558","-11.5503","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=674871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002904","NY00002904_01 NY00002904_02",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","442634","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","mensicola","Mimosa mensicola","Barneby","R. M. Harley","22996","1980","06","02","South America","Brazil","Bahia","Morro do Chapéu","Ca. 4km SW fo the town of Morro do Chapéu on the road to Utinga. D6","-41.18","-11.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=674874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442634","NY00442634_01","R. C. Barneby","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:16:36-03","UFBA","ALCB","120653","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","mensicola","Mimosa mensicola","Barneby","Ramos, G; Turma de Sistemática de Espermatófitas","112","2015","05","30","Southern America","Brasil","Bahia","Morro do Chapéu","Mata ao longo da trilha da guariba.","-41.256389","-11.438889",NA,"1,80 m. Espigas com flores verde-claras. Estames alvos. Botões verdes. Folíolos discolores. 8 estames, 4 pétalas.; Mata","ALCB025906","ALCB025906","Ramos, G",NA,NA,NA,"2015","06","-41.256389","-11.438889",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-22 11:45:40-03","IPA","IPA","32669","S","Plantae","Plantae",NA,"Leguminosae-Mim.","Mimosa","mensicola","Mimosa mensicola","Barneby","Harley, R.M.","22997","1980","06","02","Southern America","Brasil","Bahia","Morro do Chapéu","Ca. 4Km SW of the town of Morro do Chapéu on the road to Utinga.","-41.183333","-11.583333",NA,"Spny shrub with spindly erect branches to 4m. Leaves dull green, coriaceous, slightly glaucous beneath. Pods glossy, olive-green at first, turning reddish purple. Same as nº 22996.","IPA0032669",NA,"Silva, J.S.","1150","1150",NA,"2016","04","-41.183333","-11.583333","14",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:30:58-03","UNICAMP","UEC","175934","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","mensicola","Mimosa mensicola","Barneby","Souza, VC; Souza, JP; Romão, GO; Elias, SI","26426","2001","07","18",NA,"Brazil","Bahia","Morro do Chapéu","Estrada para Utinga, ca 8km de Morro do Chapéu","-41.158333","-11.638056",NA,"Arbusto, frutos imaturos verdes.; Caatinga (pouco característica, possível transação para cerrado)","UEC037925","UEC037925","Silva, JS","950","950",NA,"2009","08","-41.158333","-11.638056","11",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:14:21-03","UNICAMP","UEC","37629","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","mensicola","Mimosa mensicola","Barneby","Harley, RM; Bromley, GL; Carvalho, AM; Soares Nunes, JM; Hage, JL","22812","1980","05","30",NA,"Brazil","Bahia","Morro do Chapéu","Morro do CHapéu, Summit of Morro do Chapeu, ca. 8 km. SW of the town of Morro do Chapeu to west of the road to Utinga. Sandstone rocks, with open sand in flatter areas. open scrub in exposed sites, to scattered woodland and marsh.","-41.2","-11.583333",NA,"Spiny shrub to 2 m. Leaves dark glossy green above pale beneath. Anthers white. pods reddish tinged.","UEC021667",NA,"Silva, JS","1000","1000",NA,"2013","05","-41.2","-11.583333","04",NA,NA,NA,NA,NA,NA,NA
"10","2015-10-03 22:06:23-03","MNHN","RECOLNAT_MNHN_P","P00756064","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","mensicola","Mimosa mensicola","Barneby","Irwin, H.S.|Harley, R.M.|Smith, G.L.",NA,"1971","2","19",NA,"Brésil",NA,NA,"Estado de Bahia : Serra do Tombador, ca. 5km. S of town of Morro do Capeu, near base of Morro do Chapeu",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00756064' target='other'> <mi>dwc_moreinfo</mi></a>","P00756064","P00756064_01","Barneby","1100",NA,"isotype",NA,NA,NA,NA,NA,"32552",NA,NA,NA,NA,NA,NA
