"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","class","typeStatus","relatedCatalogItem","fieldNumber"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","2997","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","glabra","Vellozia glabra","J.C.Mikan","Carlos A. Ferreira Jr.","2009","11","13","Carlos Alberto F. Jr.;","2009","11","13","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Cachoeira do Inhamé","43°47.327'","18°54.402'","1202","1202","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3949","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","glabra","Vellozia glabra",NA,"Carlos Alberto","2016","11","04","Lucas Assis;","2016","11","04","Brasil","MG","Diamantina","Estrada de Diamantina a Milho Verde",NA,NA,NA,NA,"254","-43.6002998352051","-18.2493991851807","101169","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","898785","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","glabra","Vellozia glabra","J.C.Mikan","L. B. Smith",NA,NA,NA,"B. Maguire","1960","08","08","Brazil","Minas Gerais",NA,"Summit of Serra do Cipo, km. 120-140, from Hotel Chapeu do Sol",NA,NA,"1200","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977412' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"49100","South America","sheet","NY00898785","NY00898785_01",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","898787","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","glabra","Vellozia glabra","J.C.Mikan","L. B. Smith",NA,NA,NA,"B. Maguire","1959","12","19","Brazil","Minas Gerais",NA,"Serra Cipó, 3-1/2 miles from Hotel Chapeu de Sol",NA,NA,"1128","1128","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977416' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"44646","South America","sheet","NY00898787","NY00898787_01",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","898792","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","glabra","Vellozia glabra","J.C.Mikan","L. B. Smith",NA,NA,NA,"B. Maguire","1960","08","06","Brazil","Minas Gerais",NA,"Summit of Serra Cip, along road from Hotel Chapeu between Km. 111 and 120",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977435' target='other'> <mi>dwc_moreinfo</mi></a>","-43.554488","-19.288549",NA,NA,NA,"49048","South America","sheet","NY00898792","NY00898792_01",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","898786","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","glabra","Vellozia glabra","J.C.Mikan","L. B. Smith",NA,NA,NA,"B. Maguire","1959","12","23","Brazil","Minas Gerais","Diamantina","11 miles from Diamantina along road between Diamantina and Curvelo",NA,NA,"1402","1402","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977414' target='other'> <mi>dwc_moreinfo</mi></a>","-43.6003","-18.2494",NA,NA,NA,"44772","South America","sheet","NY00898786","NY00898786_01",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","910054","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","glabra","Vellozia glabra","J.C.Mikan","L. B. Smith",NA,NA,NA,"B. Maguire","1959","12","18","Brazil","Minas Gerais",NA,"Serra Rola Moca, 8 km. from Belo Horizonte",NA,NA,"1341","1341","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979406' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"44622","South America","separate fruit","NY00910054","NY00910054_01",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","898791","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","glabra","Vellozia glabra","J.C.Mikan","L. B. Smith",NA,NA,NA,"B. Maguire","1959","12","22","Brazil","Minas Gerais",NA,"49 miles from Diamantina",NA,NA,"1158","1158","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977434' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"44742-A","South America","sheet","NY00898791","NY00898791_01",NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","898789","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","glabra","Vellozia glabra","J.C.Mikan",NA,NA,NA,NA,"H. S. Irwin","1969","01","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 30 km S.W. of Diamantina on road to Gouveia",NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977419' target='other'> <mi>dwc_moreinfo</mi></a>","-43.7215","-18.4293",NA,NA,NA,"21823","South America","sheet","NY00898789","NY00898789_01",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","898794","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","glabra","Vellozia glabra","J.C.Mikan","L. B. Smith",NA,NA,NA,"B. Maguire","1959","12","18","Brazil","Minas Gerais",NA,"Serra Rola Moca, 8 km. outside of Belo Horizonte",NA,NA,"1341","1341","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977440' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"44622","South America","sheet","NY00898794","NY00898794_01",NA,NA,NA,NA
