"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01807055","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","A. M. Amorim","W. W. Thomas","13194","2002","11","02","South America","Brazil","Alagoas","Flexeiras","Serra das Aguas Belas. 18.5 km N of jct. BR 101 and road to Maceió, then 2 - 3 km W on cobblestone road","-35.78158","-9.242217","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763823' target='other'> <mi>dwc_moreinfo</mi></a>","NY01807055","NY01807055_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:32:45-03","MBM","MBM","292289","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","Amorim, A.M.","Amorim, A.M.; et al.; et al.","3391","2000","05","30","Southern America","Brazil","Espírito Santo","Santa Teresa","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"MBM292289","MBM292289","23813","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-02-11 17:19:29-03","UFPR","UPCB","77001","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","Almeida, R.F.","Amorim, A.M.A.","7649","2008","07","22",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas.Localidade de Alegre. Trilha do Pau Oco. Floresta Estacional Semidecidual.","-40.519444","-20.291389",NA,NA,NA,"Liana alcançando ca. 3m alt. Folhas verdes brilhantes na face superior. Frutos imaturos róseos..",NA,NA,NA,NA,"2012","11","-40.519444","-20.291389",NA,NA,NA
"4","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","50666",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","A.P. Fontana/10-02-2006","A. P. Fontana","1955","2006","01","10",NA,"Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, propriedade do Dr. Pedro, beira da cachoeira","-40.583056","-19.950556","775","775",NA,"Trepadeira. Flores amarelas.","MBML050666","MBML050666",NA,NA,NA,NA,"40W34'59","19S57'2",NA,NA,NA
"5","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","22258",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","André M. Amorim/2003","A. M. Amorim; et al","3391","2000","05","30",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antônio, terreno do Boza","-40.591667","-19.909167",NA,NA,NA,"Trepadeira ca. 1,5-3 alt. Folhas verdes, face superior mais escura. Raque castanho claro. Samarídeos com núcleo verde, ala verde claro na base e róseo-vívido no ápice. Foto.","MBML022258","MBML022258",NA,NA,NA,NA,"40W35'30","19S54'33","PARATIPO",NA,NA
"6","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","22282",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","André M. Amorim/2003","A. M. Amorim; et al","3398","2000","05","30",NA,"Brasil","Espírito Santo","Santa Teresa","Mata Fria","-40.683333","-19.931111",NA,NA,NA,"Trepadeica ca. 1,5-3m alt. Ramos basais lenhosos, folhas verdes, a face superior brilhante. Cálice ferrugíneo; inflorescência velhas com samarídeos já dispersados.","MBML022282","MBML022282",NA,NA,NA,NA,"40W41'0","19S55'52",NA,NA,NA
"7","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","22290",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","André M. Amorim/2003","G. Sousa; et al","465","2001","03","07",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas","-40.502778","-20.280278",NA,NA,NA,"Planta escandesnte. Caule ferrugíneo. Folhas verdes. Inflorescência em botões. Frequente em toda a mata.","MBML022290","MBML022290",NA,NA,NA,NA,"40W30'10","20S16'49","PARATIPO",NA,NA
"8","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","24757",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","André M. Amorim/2006","L. Kollmann; et al","7871","2005","05","20",NA,"Brasil","Espírito Santo","Santa Teresa","Alto Santo Antônio, Terreno do Vago, Cruzeiro","-40.575556","-19.887222",NA,NA,NA,"Liana na meia sombra, flores amarelas.","MBML024757","MBML024757",NA,NA,NA,NA,"40W34'32","19S53'14",NA,NA,NA
"9","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","29168",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","L. Kollmann/22-03-2007","L. Kollmann","9570","2007","03","22",NA,"Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, Prop. Dr. Pedro","-40.581667","-19.950278",NA,NA,NA,"Liana no sol, flores amarelas.","MBML029168","MBML029168",NA,NA,NA,NA,"40W34'54","19S57'1",NA,NA,NA
"10","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","2922",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","André M. Amorim/2003","W. Boone","378","1985","04","17",NA,"Brasil","Espírito Santo","Santa Teresa","Valão de São Lourenço, Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,NA,NA,"Trepadeira com flores de pétalas esverdeadas, ciófila, solo argiloso, altura -/+ 800m.","MBML002922","MBML002922",NA,NA,NA,NA,"40W36'27","19S55'53","PARATIPO",NA,NA
