"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","typeStatus","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","order","dayIdentified","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","2121021","PreservedSpecimen","Plantae","Bryophyta","Hedwigiaceae","Braunia","plicata","Braunia plicata","(Mitt.) Jaeger","D. G. Griffin","M. A. Lewis","82-303","1982","12","09","South America","Bolivia","La Paz","Larecaja","'Río Chalusuyu'. Along the Río Chalusuyu, a branch of the Río San Cristóbal, 3 km NW of Sorata.","-68.68","-16.73","2450","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2279839' target='other'> <mi>dwc_moreinfo</mi></a>","NY02121021","NY02121021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2121010","PreservedSpecimen","Plantae","Bryophyta","Hedwigiaceae","Braunia","plicata","Braunia plicata","(Mitt.) Jaeger","E. De Luna","A. von Hübschmann","6","1983","10","24","South America","Argentina",NA,NA,"in der Schlucht Matoedore, östlich Cordoba.",NA,NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2279828' target='other'> <mi>dwc_moreinfo</mi></a>","NY02121010","NY02121010_01","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2121022","PreservedSpecimen","Plantae","Bryophyta","Hedwigiaceae","Braunia","plicata","Braunia plicata","(Mitt.) Jaeger","S. P. Churchill","S. P. Churchill","24626","2006","09","16","South America","Bolivia","Chuquisaca","Oropeza","Cerca de Maragua, 42 km oeste de Sucre.","-65.4194","-18.9947","3090","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2279840' target='other'> <mi>dwc_moreinfo</mi></a>","NY02121022","NY02121022_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02211382","PreservedSpecimen","Plantae","Bryophyta","Hedwigiaceae","Braunia","plicata","Braunia plicata","(Mitt.) Jaeger","S. P. Churchill","S. Carreño","120","2009","02","01","South America","Bolivia","Santa Cruz",NA,"Vallegrande. Lajas a 4 km de Moromoro. <118-122>","-64.2972","-18.3631","2745","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2399183' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2121015","PreservedSpecimen","Plantae","Bryophyta","Hedwigiaceae","Braunia","plicata","Braunia plicata","(Mitt.) Jaeger","E. De Luna","Illegible collector name","s.n.","1915","05","01","South America","Peru",NA,NA,"[Illegible collection information.]",NA,NA,"3000","packeted","[Collection label obscured.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2279833' target='other'> <mi>dwc_moreinfo</mi></a>","NY02121015","NY02121015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2121011","PreservedSpecimen","Plantae","Bryophyta","Hedwigiaceae","Braunia","plicata","Braunia plicata","(Mitt.) Jaeger","E. De Luna","T. C. J. Herzog","5755","1910","10",NA,"South America","Bolivia",NA,NA,"bei Aquarai.",NA,NA,"500","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2279829' target='other'> <mi>dwc_moreinfo</mi></a>","NY02121011","NY02121011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2121017","PreservedSpecimen","Plantae","Bryophyta","Hedwigiaceae","Braunia","plicata","Braunia plicata","(Mitt.) Jaeger","E. De Luna","Illegible collector name","s.n.","1915","04","20","South America","Peru",NA,NA,"[Illegible collection information.]",NA,NA,NA,"packeted","[Collection label obscured.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2279835' target='other'> <mi>dwc_moreinfo</mi></a>","NY02121017","NY02121017_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2121020","PreservedSpecimen","Plantae","Bryophyta","Hedwigiaceae","Braunia","plicata","Braunia plicata","(Mitt.) Jaeger",NA,"M. A. Lewis","79-1024","1979","03","06","South America","Bolivia","La Paz","Bautista Saavedra","directly N of river, beneath Niño Karine, NNW of Chuma.","-69.05","-15.13","3250","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2279838' target='other'> <mi>dwc_moreinfo</mi></a>","NY02121020","NY02121020_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","04115365","PreservedSpecimen","Plantae","Bryophyta","Hedwigiaceae","Braunia","plicata","Braunia plicata","(Mitt.) Jaeger","S. P. Churchill","Y. Inturias","1194","2011","12","06","South America","Bolivia","Santa Cruz","Vallegrande","Del cruce de Ramos hacia Torrecillas.","-64.3197","-18.4647","1982","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442324' target='other'> <mi>dwc_moreinfo</mi></a>","NY04115365","NY04115365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2121013","PreservedSpecimen","Plantae","Bryophyta","Hedwigiaceae","Braunia","plicata","Braunia plicata","(Mitt.) Jaeger","E. De Luna","Collector unspecified","796a","1925","08",NA,"South America","Peru",NA,NA,"[No precise loc.]",NA,NA,"600","packeted","[Collection label obscured.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2279831' target='other'> <mi>dwc_moreinfo</mi></a>","NY02121013","NY02121013_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
