"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","class"
"1","2017-10-20 13:28:00-02","NY","NYBG","01873448","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","eglerii","Aspilia eglerii","F. A. Santana","151","2012","05","11","South America","Brazil","Bahia","Licínio de Almeida","Serra Geral, trilha Lameirão p/ o Cachoeirão.","-42.2219","-14.5044","805","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2933796' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873448","NY01873448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:09:48-03","UFBA","ALCB","105646","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","eglerii","Aspilia eglerii","Alves, M; Hurbath, F; Santana, FA","72","2012","02","24","Southern America","Brasil","Bahia","Licínio de Almeida","Serra do Salto. Boqueirão.","-42.558333","-14.633889","941",NA,"ca. 1m de alt. Folhas discolores. Brácteas involucrais verde-claras com ápices verde-escuros. Corolas amarelas. Anteras negras.",NA,NA,"Santos","Alves, M","2012","08","-42.558333","-14.633889","941",NA,NA,NA
"3","2019-10-09 11:09:48-03","UFBA","ALCB","105651","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","eglerii","Aspilia eglerii","Alves, M; Hurbath, F; Santana, FA; Azevedo, FP","98","2012","02","26","Southern America","Brasil","Bahia","Licínio de Almeida","Serra do Salto. Cachoeirão. Subida após o trilho de trem.","-42.549444","-14.698611","971",NA,"até 1,5m de alt. Folhas discolores. Brácteas involucrais verde-claras com ápices verde-escuros. Corolas amarelas. Anteras negras.",NA,NA,"Santos",NA,NA,NA,"-42.549444","-14.698611","971",NA,NA,NA
"4","2019-10-09 11:09:48-03","UFBA","ALCB","129470","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","eglerii","Aspilia eglerii","Alves, M; Hurbath, F; Stadnik, A; Borges, RL","154","2013","05","22","Southern America","Brasil","Bahia","Licínio de Almeida","Trilha do Riacho Fundo para o Cascarrento.","-42.543889","-14.550556","969",NA,"ca. 1,2 m alt. Folhas discolores. Brácteas involucrais verde-claras com ápice verde-escuro. Corolas amarelas. Anteras com tecas negras. Estiletes amarelos.","ALCB046995","ALCB046995","Santos","Alves, M","2017","10","-42.543889","-14.550556","969",NA,NA,NA
"5","2019-10-09 11:09:48-03","UFBA","ALCB","129475","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","eglerii","Aspilia eglerii","Alves, M; Roque, N; Cordeiro, I; Hurbath, F","317","2014","02","22","Southern America","Brasil","Bahia","Licínio de Almeida","Em direção ao Cascarrento.","-42.552222","-14.561944","971",NA,"ca. 40 cm alt. Folhas discolores. Brácteas involucrais verde-claras com ápice verde-escuro. Corolas e estiletes amarelos. Anteras com tecas negras.","ALCB047000","ALCB047000","Santos","Alves, M","2014","02","-42.552222","-14.561944","971",NA,NA,NA
"6","2019-10-09 11:09:48-03","UFBA","ALCB","33515","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","eglerii","Aspilia eglerii","Costa, EC; Malheiros, R","325","2015","01","30","Southern America","Brasil","Bahia","Sebastião Laranjeiras","Parque Estadual da Serra de Montes Altos, Cachoeira da Catindiba.","-42.998056","-14.364444",NA,NA,"aprox. 60 cm. Folhas simples, opostas, membranáceas, pubescentes e pegajosa. Corola amarela. Galhas foliares.",NA,NA,"Santos","Alves, M","2015","04","-42.998056","-14.364444",NA,NA,NA,NA
"7","2019-10-09 11:09:48-03","UFBA","ALCB","108553","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","eglerii","Aspilia eglerii","Roque, N; Santana, FA; Hurbath, F; Azevedo, FP","3530","2012","05","11","Southern America","Brasil","Bahia","Licínio de Almeida","Trilha Lameirão p/ Cachoeirão.","-42.221944","-14.504167","805",NA,"ca. 1,5m alt. Folhas discolores. Brácteas involucrais verdes. Corola amarela, anteras negras.",NA,NA,"Santos","Santana, FA; Ogasawara, HA","2012","05","-42.221944","-14.504167","805",NA,NA,NA
"8","2019-11-25 16:50:13-03","UFBA","ALCB","138244","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","eglerii","Aspilia eglerii","Stadnik, A; Coelho, J; Borges, RL; Santana, A","330","2015","05","12","Southern America","Brasil","Bahia","Licínio de Almeida","Saco da Onça.","-42.5074996948242","-14.6822004318237",NA,NA,"ca. 40cm. Folhas discolores. Bracteas involucrais verdes. Corola amarela.","ALCB069083","ALCB069083","Santos","Alves, M","2015","06",NA,NA,NA,"31339","auto",NA
"9","2019-10-07 09:11:03-03","UEFS","HUEFS","236578","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Aspilia","eglerii","Aspilia eglerii","Alves, M.","154","2013","05","22",NA,"Brasil","Bahia","Licínio de Almeida","Trilha do Riacho Fundo para o Cascarrento.","-42.543889","-14.550556","969",NA,NA,"HUEFS0236578","HUEFS0236578","J.U.Santos","M.Alves","2017","10","42W32'38''","14S33'2''","969",NA,NA,"Asteranae"
"10","2019-10-07 09:11:03-03","UEFS","HUEFS","195027","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Aspilia","eglerii","Aspilia eglerii","Santana, F.A.","151","2012","05","11",NA,"Brasil","Bahia","Licínio de Almeida","Serra Geral, trilha Lameirão p/ o Cachoeirão.","-42.221944","-14.504444","805",NA,"Caatinga.","HUEFS0195027","HUEFS0195027","J.U.Santos",NA,NA,NA,"42W13'19''","14S30'16''","805",NA,NA,"Asteranae"
"11","2019-05-06 11:52:30-03","UFU","HUFU","58757","S","Plantae",NA,NA,"Asteraceae","Aspilia","eglerii","Aspilia eglerii","Quaresma, A.S.; Cota, M.M.T.; Franco, I.M.; Araújo, I.M. & Costa, F.N.","80","2010","04","22",NA,"Brasil","Minas Gerais","Serro","Parque Estadual Pico do Itambé, Subida para o Pico do Itambé a partir de Capivari. Pto 55","-43.3793983459473","-18.604700088501",NA,NA,"Subarbusto ca. de 60 cm. Anteras nigrescentes, corola e estigma amarelos, filete amarelado.; Entre afloramento rochoso","HUFU00042498","HUFU00042498","J.U.Santos","Nakajima, J.N.","2016","03",NA,NA,NA,"37754","auto",NA
